time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000222938,109555466,9303523,64089394,4176092773
2.000518333,240524248,38446595,106631133,8420609618
3.0008698,111840691,14854611,44424238,4330715208
4.001176569,1785202,145147,932253,55733909
5.001559013,142663477,24181713,55129571,6188303930
6.001812698,164127892,15578523,88502748,4712058552
7.002059727,115759082,12164452,59204396,4526855854
8.002346153,121607157,15778557,26621975,5419755601
9.002650893,158793638,14062674,88953192,4093387452
10.003028746,82005460,9537843,39436487,3746896527
11.003326739,92839829,8021862,50537876,3194256519
12.003654292,17680072,1573949,8295453,725264713
13.003927703,144767832,14139160,76545653,4903378204
14.004244307,154805426,23803003,62045593,5458769458
15.004527097,114477033,13143894,53861291,4981496198
16.005001415,78773912,6571091,44725905,2706946919
17.00628962,61565418,14086481,17182321,2521442193
18.006554527,285459314,25667576,150083817,10194356333
19.00677316,785201646,81859020,362388657,19595236023
20.007019401,608187151,105972311,201396404,22026982466
21.007223652,746728298,102620701,307005754,21600523515
22.007431792,456877822,47005568,222500108,18567277687
23.00766501,332523237,32563874,143954411,16020917572
24.007882587,787160614,71421303,396810137,19320763558
25.008105556,414585640,55944211,174290420,33116671419
26.00833275,200852274,28237691,86330597,35817896375
27.008549266,173901167,24300075,74923884,35252698041
28.008765337,265064572,25506173,144996457,15799395587
29.009018652,476943316,58873423,210458879,16659659822
30.009232897,751796378,88381527,324172940,20520544679
31.009460379,602595954,78298779,251932263,20454866135
32.009687998,540229153,66907033,238734555,19172629710
33.009915079,591052875,61953341,284979626,18887824704
34.010143322,458733018,45179277,223338934,21013379213
35.010393628,484505831,51620102,226063552,26012475832
36.010622594,340604068,43950721,146336115,32942268480
37.010890311,210105093,27660082,91666224,30243590606
38.011149981,186637030,21013667,91184362,25147452879
39.011370825,372214311,41922939,177791665,16660439807
40.011594706,687454468,81375436,289471829,19859591505
41.011822786,610541952,82188562,260794998,19284595648
42.012042581,555920849,64996807,251848428,18512136171
43.012249517,421269829,52819487,181133325,16616672533
44.012459892,546297092,51393406,275446811,16746105962
45.012660972,421399044,47480619,193560864,23853755033
46.012909021,300404642,35097582,139601376,27218804148
47.013154638,190347357,25883733,80129113,32719484600
48.013420378,185060017,20450442,92142015,20498170805
49.013653822,308801888,38323732,141436086,16126086114
50.01386061,575731999,72235027,251474688,18179076709
51.014071047,550200793,66116137,242115614,17625661349
52.014278977,570829948,66186651,263953357,18548463072
53.014484896,423267454,49752017,180317814,18115836819
54.014737647,461086298,46731728,228749728,19870096617
55.01494706,363360300,40877066,169685910,24868535809
56.015176806,294830590,34133263,142239502,27199179361
57.015421297,146139963,19685615,65629527,26566459654
58.015682273,187645816,19521874,95267168,17019374998
59.015922462,443260791,57275753,192722921,17996717130
60.01615746,502645072,58607813,228335750,15908063615
61.016371441,511940413,62239964,230021395,18093174012
62.016614512,506963549,59056243,225094792,17328148999
63.016836356,557274594,61147860,265766302,20117084831
64.01705594,397203546,45891653,182742275,23868047936
65.017277802,324074514,36518131,152131994,26646471450
66.017546961,303866894,34268542,144471447,25682465567
67.017784368,122370629,16488640,52850365,19216523112
68.018014377,168409388,17114405,85835501,16117659006
69.018264876,394682550,52325103,170855586,15636868631
70.018464932,316529322,39482949,143214299,10638514503
71.018755348,157400675,16326047,71766004,7677047932
72.019063023,289958806,27283213,152343644,9853831537
73.019335454,108486960,15514704,46578858,14304982638
74.024596153,59137679,7805688,25543839,14036592196
75.025067025,51996187,6348010,24739228,7077427810
76.025336761,71927554,8934017,33745184,3476059045
77.026344484,54827870,9709116,16896985,1698499126
78.027313678,4371593,322466,2299309,123003076
78.733528087,30195068,2520458,16671863,785989123
