time,LLC-loads,stalled-cycles-frontend,LLC-load-misses,instructions
1.000294298,19943469,5765317618,940329,3905536260
2.000594608,56909452,10744694260,2839065,8271728828
3.000977196,39269254,5802664295,2037435,4332277364
4.001776628,3266854,823188737,499446,453096867
5.002039785,24769574,4517207177,2014051,3349599421
6.002294853,49821446,8026717019,3709444,6100232862
7.002517203,32505379,7319431040,1760916,4352551306
8.002849554,21289952,4939859676,1472110,5329979135
9.003104654,53529107,7366123125,2097530,4706206003
10.003350414,27614682,5577191537,2733227,3209102553
11.003546942,26897139,5746942045,3536897,3647748928
12.003861719,26102352,5997603398,2745939,3720189966
13.004159813,45313337,9246521705,1659774,6691198122
14.004455506,30235064,6934830633,2498503,4785521628
15.00482234,28162969,6581949629,1848645,4596271811
16.00580558,21966933,2796538882,1460335,2465979225
17.006022779,36754588,6974435171,2932067,5530635151
18.006229662,170063861,24605202036,23319038,18803969563
19.006450027,231578374,24846321809,49759092,22676614894
20.006675206,217988165,24831313994,41355813,21625352377
21.015172945,136268721,23995637369,23188176,18462350809
22.015378593,151490867,26042175429,51036638,16967892034
23.015583554,185740425,24463276839,13589082,17749683483
24.015807378,124348690,22107430740,11590121,29159121706
25.016033498,67262256,20454287410,11237056,36311873016
26.016242056,53853600,20417018217,11778075,38914961674
27.016543515,67778929,16641981767,9786134,19867230291
28.01676307,136036725,20941464355,16705922,16119381443
29.016989909,190003885,24604122103,32753919,20446988242
30.017224776,176604635,24734100512,30801023,20391285881
31.017452473,177523384,24100909313,39385654,19308871427
32.0176631,161374973,25040130639,28955107,17780291297
33.017891647,149138125,24491515171,26336426,22112160638
34.018114174,132741842,23335851257,18407905,27341850012
35.018330256,92391616,21246662650,10070260,31561192188
36.018554788,65285940,19855135543,11136352,31257790655
37.018768838,40583577,14633152020,7604525,21509653515
38.019019308,83084506,17671530820,10001114,18287074876
39.019235023,154225970,23182739802,21147356,17908308431
40.021371676,182886569,24168413508,34362084,19437369253
41.021599916,155783917,24098560645,28041802,19049180111
42.021832021,160257285,24679531396,39833793,18105372128
43.022059255,151281130,24337964657,20047710,16957922888
44.022284782,117804558,23210689498,19905008,23945543330
45.022508897,82997874,21466407943,10095932,28545062286
46.022732334,61917003,20190054738,10345162,32539698321
47.022960096,47059452,14612148928,7432950,19815007194
48.023181611,115034171,21029303810,16166203,20047179285
49.023410144,132476829,21274181565,22670928,16405545831
50.023609485,139508332,23492296360,21829633,17450601311
51.023834217,148570650,23891682032,33072680,17281897099
52.024060649,150664360,24261023382,24140441,19368316968
53.02425589,115235038,22457666131,18465922,22584281134
54.024474526,94761672,20911321560,18300302,23860247450
55.024743969,89541384,21186263206,10618367,25812679702
56.02497028,45251621,15489123618,7099730,22515732336
57.02518566,80212812,18451204356,10750735,22952083346
58.025390708,111225110,20354262292,17221071,18623123271
59.025606483,115415011,21437565522,18074286,15565749164
60.02581076,143508401,23365650923,25655380,16684625020
61.026030181,149921079,24045594712,27916727,19301305715
62.026269951,151922416,24052355162,26984535,22903697099
63.026479325,111021201,22529720006,19486243,24054352468
64.026689786,90478828,19872754095,13004232,22037148729
65.026935807,74558415,18520239849,9092719,22592198266
66.027126099,77576762,19263239495,11238629,23822004149
67.027340473,102439120,21182848077,16565406,23294159672
68.02760557,92323605,19485658884,14938979,16782665921
69.027843754,56819645,12964296575,8713179,7953072317
70.028103091,52351176,13133368117,9593932,11198285843
71.028363155,31050942,9937215239,4513496,13679631159
72.028657259,21586604,8394215598,4847181,13448413554
73.029113188,11104619,4064573558,2396735,5572883765
74.029454004,16154214,3296622232,1962689,2250321071
75.029937286,29141383,4226563301,2870219,2909970645
76.030813231,1753728,374961994,304182,181432830
76.729987608,8848490,1577226664,1000499,778208205
