time,LLC-prefetches,LLC-prefetch-misses,instructions
1.000200692,10151862,832038,4005441169
2.00046395,46992446,3377404,8331846197
3.000796255,22140603,2342155,4595639979
4.001711189,334510,146380,107857466
5.002002855,16011386,2188048,3640754429
6.00225407,23645314,4688363,5634406846
7.002507052,15713545,1763505,4357533755
8.002800661,9073966,1414144,5384740196
9.003093309,21219210,1766581,4703759806
10.00334338,9438241,2016281,2845811296
11.003643355,10740157,3100975,3484563668
12.00405189,8185788,1513905,2132787853
13.004341019,5201945,821981,1753799778
14.004566669,21347287,1176122,5913308526
15.004870332,14864780,785723,3475433239
16.005118125,16538684,1999515,5036220013
17.005424709,22623967,2366598,4471494911
18.005785788,1202782,233100,316635342
19.005999951,26508394,5073246,12427802349
20.00619587,65906879,11843787,20576410602
21.006413771,85333096,22445570,20881861268
22.006615086,78968408,17949210,21438251331
23.006794711,44505912,15184402,18592323856
24.006989614,31558973,11978499,15276234621
25.007176961,49503048,7539840,20204496051
26.007363419,44973666,6822100,32256213114
27.007555128,28496023,6292163,36153040117
28.007747356,24404275,5943888,38707310179
29.007993637,31236540,4617867,13664303921
30.008191338,60124593,10059691,16543215721
31.008383548,68327986,16955515,20483240983
32.008566052,58544578,13095926,19693322674
33.008760598,55858577,16557470,18575650074
34.008952961,48281579,12299736,18151479233
35.009138407,44638823,10114876,22849667869
36.009338963,41995442,8075571,27036236226
37.009534263,38054526,6392838,33982705670
38.009761841,28412063,5834549,30409818420
39.009948288,29494242,5413368,23573506926
40.010166816,55821317,11477994,19275006026
41.010376556,59025251,11746344,18612187450
42.010582735,62189579,12118931,18888800146
43.010784663,64745562,15449397,19361745311
44.010974652,51276034,12087520,19139418460
45.011163566,38853102,10377764,21318914330
46.011360888,39703443,7467224,23445279604
47.011561378,38201471,5493406,26161281186
48.011788985,23480260,4454545,25653854749
49.011970633,25234499,4222923,20159819464
50.012156007,45783637,6641650,15882392955
51.012356365,60645957,11900391,17796549347
52.012560965,60449552,13080151,18346565491
53.012739156,59421964,13535880,18767667731
54.01293207,47932263,12159303,19523172837
55.013124258,38960972,8056286,22530865232
56.013326523,37551723,7501692,27040772607
57.013513179,31319330,4752459,25027292027
58.01369396,28513144,4918362,24019730309
59.013917477,36836032,6203788,18626110686
60.014167881,48912976,8040371,16897131624
61.014382201,53032217,11261804,16368235292
62.014663817,59111423,12130592,17736208151
63.014865872,56032870,12935672,20215309724
64.015076665,47340871,11067053,21571091695
65.015260819,37229137,7735583,24594545819
66.015454256,33782821,6654703,23830769801
67.015644118,31505337,5103619,24729110023
68.015871531,39575723,6450362,23931313482
69.016081939,32519100,5680364,16914042502
70.01635912,38118247,6968517,11237067840
71.016573304,34660694,4367016,11111174340
72.016828212,19080891,4231077,11299494274
73.017036518,18963540,2404628,12377887753
74.017331801,9688828,1555616,9040973490
75.017622824,5414348,1266071,7425998789
76.018044943,2918657,622964,1745108564
77.018307964,13622413,2915493,3848355433
78.018901265,10216424,1423377,1643948758
78.951600477,2548088,571952,783464765
