time,LLC-store-misses,LLC-stores,instructions
1.000193344,2297568,8441989,4093477080
2.000477061,4336407,12648143,8455364297
3.000840219,1492754,7121178,4333352254
4.001231482,199745,359764,101167414
5.00147752,2745357,9111214,6017345149
6.001720422,781676,7440778,4728233962
7.002002898,1371683,7614822,4552368847
8.002186022,1013533,3023917,5281120163
9.00247148,873676,7333018,4105094449
10.00275825,2080963,7265878,3839017297
11.003034383,2388849,8575219,3225679301
12.003287019,1635643,4850681,2144723917
13.003543758,2456060,9530131,5865536587
14.003791138,3248730,10787944,4557499108
15.004037572,3191272,10294364,5036662847
16.004408442,1384139,4371678,3537087687
17.004772262,289119,760956,323640087
18.004957437,11897795,39326436,16863558118
19.005159489,14647851,41974640,20854837402
20.005363735,13159016,40253319,21149221615
21.005582668,12680671,40046655,20341561309
22.005739315,9738667,39183858,18454398113
23.005929722,12762741,41501643,15788548877
24.00612194,5222877,51578502,23793509752
25.006315663,2623153,27872717,35013352535
26.006490088,895283,16466715,34882681843
27.006671297,2495319,18430111,29192600430
28.006846602,5508981,22155888,15207867241
29.007056032,10622786,34735956,17496559409
30.008733067,12530848,42894360,20609398209
31.008924444,12243219,44164887,20525319908
32.009111296,12071775,43005303,18978059295
33.009309444,9748552,40411309,20261241152
34.009508138,7717833,43420130,24001541486
35.009715796,4038146,34696161,28424509923
36.009916154,2248247,27286813,32892498837
37.010105595,2116119,15461777,28631427041
38.01029112,5408118,23957794,23785605325
39.010476144,9425526,30989322,18789218936
40.010667638,10001665,36546756,18556800902
41.010868753,12316457,36727787,19428593916
42.011070378,10418174,40675700,19470746324
43.011270234,8207171,35476095,18469623168
44.011479016,7458287,29470234,21566793770
45.011670012,4433031,27629875,24555826283
46.011880328,2890823,23283963,27526130861
47.012109789,1676295,12451418,23268386342
48.01233373,3481072,16020279,18427913552
49.0125254,7021518,26929331,14736444404
50.012704217,9110443,30916955,17948919914
51.012917738,11962311,38118685,18797131180
52.013117544,9424083,37258392,19384612660
53.013304763,9239297,32789670,19581427510
54.013496606,5882601,32119380,22608473236
55.01370022,4234657,24610221,26255051752
56.013906622,1797544,18507832,23007296261
57.014205623,1576687,12122957,22644965681
58.014416753,5494458,21695296,20096650412
59.014614734,8908941,29036352,16480320706
60.014811858,7871329,29968752,17057929148
61.015008194,12364518,35466314,17922520074
62.015216646,9699438,42430578,18690387814
63.015413086,6781079,35020726,22913324511
64.015599878,4151980,27161762,23643932109
65.015779214,3899345,23051871,25672105405
66.015975808,2487271,17715618,20821052255
67.016178498,3414343,16967984,19746327973
68.016393544,6328346,23940871,20480769910
69.016605083,5337103,21801881,15010642373
70.016815258,4086462,15413754,7989818924
71.017048863,3542961,14624091,10585941233
72.017258621,976683,11015836,14061142638
73.017481104,857918,7284237,13715830245
74.017720967,1198868,5280801,7136320158
75.01791511,2212181,8751788,4642172313
76.018253567,692774,1454924,775034657
77.018702876,220758,397649,74111085
77.526627736,285185,1862902,606755831
