time,L1-icache-load-misses,branch-misses,branches,instructions
1.000267215,37071190,43878418,713567593,3953736469
2.000567742,39783319,80911380,1532517353,8381104862
3.000952106,29880381,41163933,836400761,4543539914
4.00128116,1541033,819948,9562364,50182971
5.001756274,34719685,44661170,1149221131,6109428593
6.002021702,33355877,59411749,858707456,4732751628
7.002293271,38766412,50230933,850230655,4533104489
8.002592305,12462627,17741854,990228418,5394012787
9.002858541,33043222,56680687,738397809,4088317605
10.00313428,34287817,35391207,716954683,3745563195
11.00342783,34193992,32699099,578160424,3221028398
12.003742464,32593421,31075521,531870721,2962114030
13.004019506,42921967,72186294,1295187710,7018475131
14.004342869,41162969,46037653,838215179,4452957162
15.004805706,36639188,43740307,797912421,4303965371
16.005314005,9428658,14757587,471798479,2463776530
17.005552703,91567959,82270401,1329705747,7228405844
18.005787717,202861879,256588884,3471023317,19207411589
19.006005444,167990254,181005290,4375529645,22836866607
20.006216515,210562275,219036438,3869359344,20956210714
21.006442922,217205636,187107576,3462693050,17638388735
22.006665521,148556677,128750907,3150183123,16314380455
23.006883444,220598217,230772401,3375589197,17767078091
24.007096405,222357460,167844864,5933306664,29452611733
25.007325146,117520555,91459541,7759517987,37361007752
26.007539742,129362299,68804133,7306453486,35026005791
27.007771732,152848468,103512719,4135359751,20692818261
28.007996402,141807866,176466517,3108937100,16739328746
29.008219525,197741684,227323016,3522770349,19117093898
30.008451806,206493728,200923651,3893293716,20431060347
31.008708197,185307597,188036304,3760102388,19958467612
32.008921762,215061121,211351126,3667409905,19043863988
33.009132786,180266715,142096036,4243960809,21324470368
34.00934926,201176422,176296492,4894017376,24419468781
35.009568487,197337134,131476758,6250890239,30764998505
36.009786325,128235243,86788397,6229103752,30122549151
37.0099994,85423242,77602122,5976645986,28789104438
38.01025944,129332599,149126312,3542559591,18340539382
39.010476285,170778911,213415286,3509700076,18928012092
40.0106934,183979102,203515547,3707033307,19903406989
41.010920084,179936419,197008347,3485889437,18457361856
42.011141585,151796377,149794793,3286954093,17183199665
43.01137541,178130030,189070732,3428636479,17372805989
44.01163025,163989315,144990981,4719301524,23830943787
45.011855347,136617993,100240352,5217769880,25352737508
46.012086855,115546113,93311144,6719841449,32461919182
47.012322912,94121445,89817486,3924154021,19390630093
48.012537317,124517324,157392347,4240972576,21856261445
49.012763383,143975875,172810305,3130327265,16767703389
50.01298185,161387927,180804380,3380133778,17976739343
51.013210674,157106128,182596197,3323632685,17540994461
52.013440049,187575788,180771615,3981179264,20530449699
53.013676159,147323649,147592341,4652909725,23397289806
54.013887507,136535085,122556312,5177013688,25501570736
55.01409503,130622563,113946232,5361140702,26380692394
56.01429948,86266257,73188521,4462349602,21648336851
57.01450638,97710229,107267849,4044044308,20221440695
58.01470285,115066781,122201053,2642501329,13831117907
59.014916555,125177910,158162259,3028148808,16151942236
60.015142802,150427522,171828248,3107583096,16596091952
61.015357904,182738180,182659968,3604172289,18774417645
62.015603743,166283573,169359027,4306558307,21855305574
63.015834641,157072920,142341503,4500508605,22379268379
64.016048812,132978096,121971392,5270673227,25804318213
65.016300209,110931218,104628356,4682152642,22678106815
66.016536395,73136219,71642746,4092277897,19927237838
67.016741195,95842957,102639289,3997980049,19738716737
68.016941738,104191615,129585608,3261395225,16800576336
69.017196908,73903828,88517617,1826528248,9635775272
70.017470118,77117029,83823722,1537536453,8200918144
71.017691698,70585558,77720843,2265031508,11388915987
72.01790916,43999815,42649569,2960634067,14312986970
73.018267893,36624501,31680077,2604607742,12483336345
74.018652982,17253181,13390676,798160277,3893990601
75.018997033,21957664,19369559,402074876,2109849650
76.020336643,25932692,26157448,606841213,3123919458
77.021276308,2859299,1695539,23265822,125171194
77.58535569,9909577,11273854,135273099,736622901
