time,cache-references,mem-loads,cache-misses,mem-stores,instructions
1.000267561,43217806,0,3172143,527441561,3855345815
2.000592694,83103439,0,6605802,1055520780,8187808765
3.001006341,61868132,0,3672932,608772136,4826581616
4.001922779,1495711,0,262644,2833777,17145162
5.002273429,68293211,0,6691198,727630021,5864255080
6.00255114,59871806,0,2811487,640785238,4628384528
7.002898123,56374861,0,3284293,626413797,4710036235
8.003246254,47801559,0,1800243,451747150,5170249440
9.003518462,54040968,0,3170554,602551348,4271279507
10.003803076,54733412,0,5247323,491299376,3839415529
11.004117868,46927655,0,4928499,435936570,3217227473
12.004451346,35512361,0,3402267,346441427,2533752487
13.004762901,68294938,0,4223258,869400895,6594578955
14.005145111,51151783,0,4529047,491328861,3888602971
15.059074534,60880833,0,5240856,689165692,5125778147
16.059584057,35753292,0,2884194,369962449,3105564918
17.059831444,8557472,0,921426,66084272,499373722
18.060051696,280177507,0,32211131,2562465919,18909437535
19.060289399,361513990,0,56730455,2645595974,21668372756
20.061998275,328090664,0,54625137,2625464748,21090521838
21.062230648,280637608,0,38249121,2554681996,19767981500
22.062466026,265399715,0,47983473,2181669534,17412913119
23.062704937,301716335,0,36391193,2101195688,15934941238
24.062951991,289652286,0,14836106,3132932086,25126474463
25.063209665,164759155,0,9959405,4246026476,37415220273
26.063462886,96406444,0,7767280,3973825952,35542872700
27.063718375,129298954,0,14127825,3439079436,29711910581
28.063959991,191795747,0,19682811,1994215702,14771307218
29.064191365,299564907,0,45961579,2481041051,19600567679
30.064435711,302019388,0,44397991,2600162970,20618270219
31.0646652,306759071,0,41460318,2525859993,19916829254
32.064911403,269894725,0,47997190,2219649978,17594459737
33.06512863,298004298,0,37049050,2479075249,19330846807
34.065359411,234570439,0,23071298,3030562605,25154193319
35.065602733,195417117,0,11833261,3556804692,30273205448
36.065850556,132724589,0,10273154,4075852969,36214160665
37.066120274,96950394,0,9472182,2634696554,23130617809
38.066379519,170178408,0,14787534,2670744679,21777432338
39.06663309,277221519,0,38857378,2393009251,18688487008
40.066869348,280856103,0,39305776,2472084740,19511825761
41.067122423,279679642,0,45925550,2435625531,19280915131
42.067345357,279549884,0,34199294,2419927142,18762020057
43.067591103,235409861,0,34975496,2358125036,19027125029
44.067831058,206564737,0,22040258,2761067637,22729828246
45.068077779,172050911,0,12167583,3307795138,28414890145
46.068305218,117946548,0,9123264,3141647068,27714131611
47.068597697,70475839,0,7287428,2337357453,20743214867
48.068830761,146769931,0,13687669,2204222523,17847091090
49.069072339,230531999,0,33121147,2039911660,16172266338
50.069320102,236448633,0,29601967,2208570908,17317442102
51.069551318,242322584,0,43206053,2095488196,16697982895
52.069794807,301521655,0,35494696,2483575195,19183569358
53.070048224,207333192,0,25198537,2751893932,22599065376
54.070296136,188492795,0,16794262,3008483022,25003846303
55.070536735,146668224,0,17140166,3105150753,26660057239
56.070782408,103273584,0,7871701,2366766877,20572647400
57.071046322,108590957,0,9641440,2647872580,22637273000
58.071334341,155542882,0,18993916,2139639178,17564321082
59.071583271,195698944,0,24003174,2030099577,15942944528
60.071823375,218542063,0,33102702,2053324480,16191924711
61.072096919,254328149,0,35476726,2292231601,18029248525
62.072385149,261970332,0,33727627,2668140557,21756113143
63.072625024,207521549,0,19993996,2878294894,23971748845
64.072904605,170411370,0,22151105,2773964795,23700867542
65.073151721,132337887,0,14812226,2466364798,20732804714
66.073366656,130019970,0,10485353,2849720014,24354950874
67.073595321,182935819,0,21598381,2925360991,24696182707
68.073856705,162241244,0,19184169,2230895979,18759068076
69.074132396,119177353,0,16102046,1177143735,9197164566
70.074412719,97537645,0,14618981,1295969850,10688088163
71.074677345,67437362,0,4038363,1600912000,13615891290
72.074951607,39598309,0,3968753,1541550488,13917831856
73.07529281,29355672,0,3329557,896558713,7999104934
74.076039338,12436389,0,1494725,146258610,1120201221
75.076360032,65816283,0,5339356,572039561,4580771066
76.077030034,9990640,0,1933713,99966084,780961602
77.078107215,4155904,0,603311,27277830,191438134
77.374511088,12282913,0,876007,84822973,600850712
