time,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000291586,3166932,3166932,7983731
2.000613395,3601231,3601231,9515393
3.000920909,27407818,27407818,64223215
4.00135011,2837596,2837596,8557551
5.001843542,60127605,60054986,48220050
6.002506373,3073327,3073327,9219998
7.002953419,3164372,3164372,9449902
8.003258004,3026617,3026617,9088018
9.00354902,3065359,3065359,9014677
10.003868161,3121549,3121549,9197391
11.004185676,3057942,3057942,9105129
12.004486689,3504623,3504623,10147333
13.004960729,2739268,2739268,7645164
14.005619393,146818029,147026678,170083510
15.006118116,1724515247,1724453942,1581927678
16.006469022,5157286658,5157339131,5261545342
17.006799902,4416779426,4416786569,6735464294
18.007254827,5214559294,5215364221,7579876477
19.007815421,938676747,937664860,1255661510
20.008411579,301088315,301262861,277543224
21.00897787,13810167043,13824284284,10360309568
22.009669147,27516676546,27519601924,17435343631
23.010309511,29468729625,29467468700,16343007257
24.011022735,29824335920,29825344869,17104917107
25.01178056,20763709832,20764140434,16624353583
26.01255189,18392504794,18391514669,14351510796
27.013436118,17381419354,17381301533,12366938691
28.014363228,16101029251,16101484288,11532817989
29.01511036,18716314000,18714355720,12289474463
30.015688986,21234996840,21234964997,15451490678
31.016367951,19519450983,19520586553,15503604033
32.016911497,13868392737,13865684574,10331976642
33.017565389,12427917017,12431713467,9675473539
34.018309317,28870257774,28870877454,17259890610
35.0190047,28313297466,28312952074,16067221532
36.019766238,26240423082,26239655783,16381680453
37.020356766,22790093390,22787645254,17523624701
38.021132595,19288421279,19290694696,15092420034
39.02198899,18446367694,18446485400,15340051393
40.022829552,19263214526,19262999821,13784081684
41.02370344,18149836365,18150700679,13011909814
42.024374447,17352320132,17350370101,13266951809
43.025038792,23084659138,23086742879,16755173601
44.025691801,6028240931,6024803742,4916411138
45.026735922,9321006982,9321831770,7215438424
46.027432897,25919747003,25921716139,16257024069
47.02811082,30145609064,30146767622,16665516895
48.028812152,30302656766,30301948639,16778168538
49.029555393,20869409042,20867990785,16814938663
50.030323303,14118667789,14117102050,12013466344
51.030929219,20229810651,20229826056,14902620842
52.031551662,22106761313,22107618616,17514671919
53.032168225,15765556027,15765061572,10842622069
54.03272898,16755450275,16756046972,12747051734
55.033179159,8471240684,8469282599,8545123894
56.033843708,13467323972,13471864415,9336611790
57.03457184,28269938139,28269451596,15725091747
58.035300522,27107074697,27106751952,15930959932
59.036180399,20314556850,20316898935,14833367506
60.03689189,16356156018,16352421640,12338556028
61.037579154,15736559043,15737990721,10477543153
62.038257982,19110717589,19108096414,15226783287
63.038917406,12807064666,12807007303,11625849255
64.03949884,11615776595,11615496437,10075856109
65.040102315,10946393338,10947953755,11887633393
66.040775105,20060473935,20061169436,14304394358
67.041465777,20586368025,20586111184,14074674279
68.042150559,16757959415,16757853132,15845924474
69.042723736,13216797607,13214831310,15897509327
70.043280585,12623098281,12622684956,14386670401
71.043814585,11238978377,11238545811,13810305207
72.044315608,6765628982,6765955174,7868099045
73.04492984,8667675970,8668439369,7547565233
74.045598514,12560822788,12563264811,7944393949
75.046199585,16502491152,16501253222,14012845826
76.046791116,16249311377,16247932736,13342260653
77.047337918,13489917232,13489432435,10387421696
78.047884903,12506592904,12506583413,8740834647
79.048438136,11896766409,11898222614,8612436559
80.04892872,5254375618,5252067258,4356127867
81.049419555,7373388553,7374083960,7551608958
82.049976716,11240001304,11239747663,8427787112
83.050538159,17425351001,17426987356,14549730220
84.051124383,16144745449,16144383525,16558192480
85.051680471,13125480903,13124598154,11548728440
86.052238526,12823495146,12824363985,10744438146
87.052773441,11478276153,11476986121,9952343973
88.053274685,6374451853,6374031223,4513425576
89.053841782,5703963647,5705907994,5111126341
90.054515379,16672205416,16674151755,13008608829
91.055077943,16400013117,16396984987,12156254005
92.055623143,6313647508,6312823425,4968003941
93.056213711,3348769097,3348765936,2355153118
94.056775047,3224851466,3224873995,2373321949
95.05733134,3824613779,3824593882,3525907067
96.05819257,2597336802,2597246429,2326276028
97.058730728,4655889328,4657392058,4574125479
98.059248331,16696803635,16696859543,13992873942
99.060012249,21448888899,21451711856,15172878197
100.060732126,26271188990,26270996428,19358395972
101.061422047,24891451538,24891177055,17767499552
102.06196711,18597542204,18595124840,14681800840
103.062467705,18751747857,18752402222,13916256684
104.062939025,15477201388,15476726659,17054875251
105.063378735,12071246141,12070797847,11729712662
106.063814291,10030630626,10029684153,10286842504
107.064187015,5544977974,5544388663,4815652168
108.064682598,112322891,112322891,152023488
109.065218299,37492391,37492391,65734729
110.065647023,3659717,3659717,10170209
111.066127784,25037474,25037474,60696062
112.066569395,3068738,3068738,8804012
113.067044739,78170159,78170159,83937004
114.0675525,726743841,726884603,469293970
115.067999467,2981913385,2982659982,1339854771
116.068513372,5118844222,5118258389,3813773301
117.068892514,4028780796,4028688460,5346823631
118.069273219,4550666258,4550457068,5159948496
119.069837445,92360340,92360340,86170933
120.070426036,659235990,659412310,891026659
121.070848067,3285987636,3286581730,4046427595
122.071263571,7575455120,7575202019,7850595551
123.071664016,4517042477,4516779310,6282873156
124.072179559,914468441,914214295,940316559
125.072748284,36504798,36504798,51224173
126.073549462,686896766,687146536,559849061
127.074124506,3153841288,3154286800,2039287091
128.074534154,7045413456,7044966694,7397902460
129.074939139,4370185368,4370199492,6270061691
130.075485189,3173793003,3173530359,3495408235
131.075987903,89908084,89908084,124228810
132.076511361,99780335,99780335,177940322
132.193958143,532364,708930,1884153
