time,IDQ.EMPTY,ICACHE.IFETCH_STALL,cycles
1.000406704,1953457,981002,2772847
2.000767411,2272992,1273394,3237547
3.001074833,17633899,9852877,55531747
4.001528227,2116274,1094335,2968679
5.002008541,22429836,9674814,66710384
6.002453379,2175908,1087735,3023701
7.002781215,2291331,1282388,3100049
8.003097533,2206472,1213251,3006198
9.003391734,2375650,1379885,3333426
10.003689722,2096556,1136651,2884618
11.004018025,2288807,1308287,3211806
12.00433373,2195924,1249973,3057928
13.004640667,2089074,1239601,2937177
14.004936008,26239414,11984501,72008558
15.005524333,536513994,223584759,1805627230
16.005990924,1480080048,494666187,5804446428
17.006334109,856222372,332779929,3238190379
18.006807441,1378640919,534318912,5016516246
19.007395961,396616609,145094146,1458325092
20.007945612,59486249,21214535,226963965
21.008993703,2167283874,935963858,7781486378
22.009966032,3479633563,1387352441,12450135977
23.010726967,5369424913,2268834764,23075221826
24.011465425,6647620179,2988790185,30458368798
25.012053844,5963291751,2585381155,29039099428
26.012817066,5316155373,2255616207,19685645290
27.013632173,4821498307,2036112582,18204493077
28.014471601,4860221793,1931796759,18505587991
29.015176998,4707325702,1942158630,21495560611
30.015897361,3889216789,1540279596,22775140934
31.0165531,2569641544,925167001,18849595950
32.017146594,3810060324,1463869444,21260539000
33.017660985,3219974191,1211670576,12032571915
34.018332254,5988123180,2545835320,25937964790
35.019022638,6170473698,2655844254,28260483135
36.019673307,6379111693,2865256450,25727811946
37.020493006,5920124165,2509570114,24637448557
38.021224155,5730847135,2428127640,23052802198
39.022028172,5085792678,2118460148,21195696490
40.022778723,4227633359,1644456001,20806667268
41.023471893,3684060046,1396180839,20622893613
42.024079813,4174898672,1620848843,24249613807
43.02472065,3877166111,1453818117,19194180055
44.025210797,5052205552,2049291776,22244965920
45.025877184,4806511552,1998984415,20816674259
46.026602164,5911079871,2505482869,25095283576
47.027383671,5686827201,2406037373,25001807064
48.028159757,5057421851,2072667585,20403277713
49.02898771,4050911672,1631757406,16162773668
50.02960002,3639323786,1351223479,17128433741
51.030205672,2795081456,1013448179,16224116983
52.030777707,1817808826,639271021,11985734077
53.031257667,2161364135,763626992,9996766650
54.031817317,3863121750,1408643089,16165089151
55.032512934,5543720539,2355101941,23076270904
56.033118918,4327280254,1762275609,17801901734
57.03386067,4451404397,1779676748,18363699394
58.03454904,4242027411,1623349796,18343126748
59.035233813,3056966297,1048486224,16625775063
60.035820809,2068002485,725999734,13007993853
61.036295582,1401402734,510567057,7976388015
62.036790323,2633772089,938048476,10533618597
63.037340686,4158250664,1664440445,18757592370
64.037952357,4915987126,2028148704,19017801029
65.038511879,4118583582,1593693644,18201061546
66.039099119,3325361931,1261482697,13526200057
67.03964976,2819830644,1049198511,13050442192
68.0402107,1929691173,668021616,11162408647
69.040741174,1159268420,398581794,7401508665
70.041227863,1842631436,675671135,7626681224
71.041771324,2650939866,925568201,10821056614
72.042341481,3831978699,1428377757,15916127825
73.04321968,4225198010,1692314615,16763064746
74.043936483,2830445815,1071692661,11502757461
75.044560044,2627744440,955338892,12309705424
76.045132724,2204855873,773538443,12377474911
77.045649753,1253267014,445838990,7332524264
78.046148766,1590582399,551679460,7001381185
79.046666776,2762719846,1068446002,11222510525
80.047254715,3933974051,1581247386,16398574331
81.047946139,3894495047,1545729308,15961780608
82.048605479,3593052333,1361127882,14842861730
83.049272768,2817476788,1061971423,13009268938
84.049816642,2007315882,690396267,11482725607
85.050326579,1199477986,414089051,7321408321
86.050821391,1674619981,597170820,7276967353
87.051306493,1621077316,567822353,7031630576
88.051839916,2273975760,863706705,8319098089
89.05251179,4123155301,1595226870,16972831291
90.053080199,3101128021,1164982549,13662107905
91.053616516,1327402244,534475388,5897077732
92.054195256,719000638,267673895,4641913895
93.054739634,347540822,83440605,4906162635
94.055319419,342394548,99206949,3505389226
95.05587363,425899402,146389888,3549007008
96.056437931,344701133,104320922,3434821389
97.056993665,776863526,288644707,4406424697
98.05752456,420873405,164331034,3242111865
99.05809882,1532563110,518317014,7781342588
100.058863605,4616752830,1833894635,20109749098
101.059733831,5187875480,2211416897,17515330161
102.060482235,6617142764,3008381317,24417431336
103.061232908,5678067329,2761112610,24095332482
104.061732306,3353842064,1293546138,14370354413
105.062340175,4099997204,1576500541,18525792686
106.062948059,3393522873,1305217725,13364770363
107.063470211,2924003794,1148694243,12539567188
108.0640376,3226696535,1219174942,12196131012
109.064629208,1567533489,702200651,6975117558
110.065173669,34570442,17735284,92540064
111.065704743,15231492,6788897,44022808
112.066184248,2379447,1091871,3303617
113.066685338,12772927,7843867,25088985
114.067153503,2411482,1035004,3340004
115.06754012,2201760,928935,3078808
116.068205075,122796485,58854673,411688939
117.068578824,525573652,199606676,1764251309
118.069092403,1486523566,510432441,6012689826
119.069476048,886864569,348905523,3450197509
120.069842967,1334444764,503956241,4966257980
121.070399429,382371389,137922944,1430649294
122.071004411,25692044,13285182,65832310
123.071426749,551644632,213670770,1849108971
124.071837446,1514379541,508427905,6198351340
125.072289214,1006257264,355205067,4202837170
126.072851554,946565273,368264391,3626040752
127.073420262,9894595,3935901,27120015
128.073980596,23123743,11790648,57230402
129.074394288,523860635,200299302,1772621707
130.075017138,1503262657,514502423,6179184878
131.075479372,1035350059,359973726,4437629434
132.07587487,1250160743,488860556,4579595656
133.076406734,332313175,120195056,1656802145
134.076932535,60472014,27594633,164372679
134.302042746,1468293,717642,1990705
