time,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000381744,25341132,25341132,59929875
2.000763992,2991013,2991013,9094069
3.00108336,3861394,3861394,11424615
4.001404459,41764268,41626791,70148121
5.001826837,22013445,22013445,34187123
6.002281388,2590813,2590813,8164293
7.00262022,3901639,3676448,10991279
8.002933293,2961264,2961264,9064231
9.003232514,4462767,4184526,9940336
10.003542772,2593596,2593596,7931835
11.003833199,3081228,3081228,9233512
12.004125852,3191616,3191616,9403516
13.004556355,2975975,2975975,9007003
14.005032439,2568856,2568856,7787774
15.005400257,2949314,2949314,8333941
16.005915841,746566804,746998711,799076320
17.006270548,3374777563,3374942471,2242642738
18.006628273,6012356954,6012132158,4337473875
19.007378157,2850511672,2852282680,4414180030
20.00786345,4057109333,4055195596,5197547935
21.00822689,1598075869,1597846579,2121036777
22.008779573,97869576,98039500,132281290
23.009502303,19036213365,19037876365,14405828384
24.010249042,28223563011,28224880939,15567269238
25.010977355,30184262157,30183708141,18118002029
26.011560247,26489050995,26485810182,15385445987
27.012297617,23334846121,23338095244,18628350436
28.01308012,22092650693,22092939235,16330764194
29.013806456,27419512559,27418746044,19464460784
30.014415084,19064507801,19062458831,20288252554
31.015014909,22511727564,22512206132,21527699629
32.015680849,16678858394,16678868644,19924295680
33.016385715,20292062145,20291880443,20205645844
34.017058361,23003835767,23006151393,21194530868
35.017725974,27280006135,27279906166,18907810163
36.018437689,26804738889,26804142710,17259348119
37.019024198,22827738718,22825693329,11725336587
38.019665029,18568148281,18568694320,12815954072
39.020324703,18671306200,18673650602,18615277719
40.020997863,19397676431,19395461516,19731230987
41.021650049,18173609665,18173352202,13544571965
42.022305101,18042671650,18043884844,9916616702
43.023011228,19282063155,19281968415,11889682409
44.023670634,20597879486,20596952947,15304391839
45.024221732,17477262838,17476346793,10792700727
46.024732561,7268024283,7266177024,3522339941
47.025493015,77193442,76833765,68466848
49.190884164,4660603418,4660875919,4994538427
50.191530355,18736684665,18741591448,15206622867
51.192258859,30163144736,30163208445,16847627792
55.405545732,17418214627,17417226883,12413799184
56.406200286,21643842717,21642290952,11658019660
59.333912347,16306580357,16309527206,14917899690
