time,IDQ.EMPTY,ICACHE.IFETCH_STALL,cycles
1.000419522,1988785,981448,2770141
2.000772519,2174940,1179854,3086187
3.001071449,13423223,8810911,27082276
4.001505477,14968551,6844691,45682404
5.001984938,6707671,2823330,18116890
6.002407473,2172004,1104593,3023424
7.002740663,2086668,1143438,2842991
8.003037677,2138507,1171338,2908778
9.003336182,2443328,1463972,3356556
10.003629615,2142334,1167866,2942576
11.003926721,2208848,1269376,3021046
12.004230417,2268374,1280670,3103813
13.004687182,2366677,1413507,3258173
14.00514235,1808939,917284,2468720
15.005655403,301562848,129002693,987129964
16.00611429,975239279,319717294,3649449796
17.159514008,1093689843,377915558,4560851494
18.159928408,1248674706,466943319,4415802193
19.160506123,988430977,362745897,3608664544
20.160955007,114982247,45433245,398794099
21.161956835,775486063,335025195,2728453565
22.162670406,5684906312,2317164625,20756868490
23.16342542,6418113115,2914772582,29273992361
24.164174963,6004215735,2673372600,27062631298
25.164839182,6112884986,2685332469,27598862497
26.165522283,5428248198,2320680690,21155329771
27.166329183,5371550622,2236719131,20458898539
28.167052432,7236350132,3254566762,25703910774
29.167702754,4046686008,1589934492,20029840894
30.168493408,4199988168,1725163373,19696924205
31.169165008,3115079360,1101033026,17345694377
32.169837532,3907987268,1561573111,18974196104
33.170587531,4102784130,1626893302,20818027234
34.171314044,3763074492,1374264051,26307450352
35.172029965,3561423431,1399600666,28986060849
36.172674702,1895199950,564964634,21441764918
37.173208631,1880845611,583376271,18546066448
38.173862897,3411304952,1341286894,18577070990
39.174529205,3756536690,1458326934,19152974068
40.17510872,2683832270,984210943,15819589281
41.175752736,1688464161,446671517,17871195037
42.176397528,856562138,141936084,12651939826
45.197798197,2523827990,1035968316,12412075813
46.198502466,1835950403,674871755,11882360072
47.19955613,534322067,157742692,4711057995
48.20025801,2088921884,638509542,16795879269
49.20090049,1746515451,492296402,17556156553
50.201472439,948515971,358990911,5166800335
51.202257831,2503032601,1079261642,8337339823
52.202983209,5945851668,2310396624,23606177168
53.2036733,5984746621,2669075859,30189519272
54.204359064,6366192059,2852172796,29019719916
55.205131703,5796474947,2538805436,21311916544
56.205977716,4715190281,1943542035,18818436907
57.206928583,4660955650,1957664750,17246366088
58.207682125,6604470801,2977418659,24104704677
59.208482737,3881310946,1492474511,18827718663
60.20958271,2942468924,1204697390,13813207707
61.210208597,2778979401,1140860173,12919597263
62.210763521,3706291668,1330446959,19643577193
63.211437993,3745624904,1374880379,19498303992
64.212146895,4130429534,1630599644,22064072639
65.212862493,3603263096,1347602884,25808868486
66.213535709,2856321556,953344154,27096540996
67.214197664,2184195875,681964492,21111011218
68.214752123,2316574602,839160486,18625844631
69.215410301,3203387362,1165108716,18516656829
70.216114862,3781465669,1446914079,19675865549
71.216793919,2409362797,756789239,18354152981
72.217448317,1123768820,126845482,16955482072
73.218026672,2955936196,1102505102,21007422871
74.218694611,2761196638,991406292,19843706797
75.219354287,1862038488,575625750,17396923687
76.219814721,1338386752,467189049,9916280200
77.220449094,124421006,44418870,992532274
80.601356997,2688342467,1118615935,9443361071
81.602069279,5066547353,1965831527,20357733719
82.602801553,3406553093,1510099481,19382787195
85.174089819,3332859470,1463861723,10890743410
86.175041785,3209707646,1356687412,16551865258
87.17587535,4692492956,1999337734,18201515958
88.176806766,4598878366,2004235867,19093322959
89.177613228,4774328235,1867078192,20889948463
90.178269921,6295810629,2733078018,26118241172
91.178919618,3471041438,1303211958,18726620402
92.179470622,3194613241,1196680955,18135705380
93.18011113,2340922393,862710351,12674074149
94.180648956,2939158661,1127930840,15209527024
95.18134469,2902318618,904976442,22913583162
96.181921287,1812436971,458569673,17621387988
97.18248072,1580473206,512155747,13601294867
98.183074186,1770636953,632688461,12134478802
99.183623006,2188007430,824484884,12232348421
100.184289309,1585007845,459326877,12922377086
101.184884375,825658363,127014204,11386986787
102.185586909,2175667904,771672101,14435758768
103.186266172,1633696689,533423234,13427401475
104.186791964,1216578630,426991278,10269555181
105.18729121,3217247189,1204449284,15369607435
106.187933306,4898438433,2113584492,24185090335
107.188498317,4888789319,2076231228,20369891566
108.189365402,1320066170,479843728,6315440297
111.124731266,7615044096,3030960173,30185297095
112.125445958,3203641545,1346277440,14791465254
113.126130557,3481532645,1402239816,16151776655
114.126830265,2639643605,1060609034,14912108974
115.127502144,2520872736,984646863,14887112133
116.128138451,2248304752,834398558,15521525465
117.128696133,1645970224,611160635,11275428172
118.129352752,1818236424,685877288,12962760670
119.130035783,1522425222,556259168,9443310092
120.130678261,1731799547,718519709,10183523995
121.13122944,1080723596,362263899,8784035543
122.131785577,1394517435,524830454,9581990330
123.132342045,1274731488,405914858,10120756103
124.132889789,1114440021,370644983,8938050969
125.133398667,680977993,261206384,5247568758
126.133923615,1843648838,671076879,8891541637
127.134465554,3186927039,1176276731,13856548881
128.134988966,2770874955,1041658786,12123237464
129.135683778,4098711511,1548547943,15818541550
130.136309295,3844474910,1534850253,16074844904
131.136856389,2644112949,1025116184,11970845790
132.137431167,2877307618,1131185626,12573880659
133.13800875,2326737650,913432378,11692627969
134.138570137,2298865399,843037634,13720180227
135.139127929,1802340686,642289589,12669530862
136.139668401,1416348897,502334224,10113513955
137.140237261,1879351719,652778050,13107737752
138.140788184,1599613488,601869520,10041719215
139.141329234,794391355,274564977,5960065911
141.763242782,766529585,295550990,6026168195
142.763804309,1324549338,430036596,9440710394
143.764361978,1349262389,465068532,9480674885
145.847814654,1066027844,415908872,6766769392
146.848354986,523910778,131334023,6137955882
147.848853892,717952216,248109370,4416745336
148.849377586,1311325026,439210939,12561313712
150.497170016,2317093467,795775625,11816543159
151.497790064,3599340210,1383744449,16802147924
152.498351237,3708895301,1391285074,14240958759
153.49902202,4282153869,1612794595,17336676994
154.499579634,3417745873,1450658852,13764704519
155.500294612,2925190909,1158878444,12570866949
156.500857993,1916426006,799381284,9462580155
157.501521717,2101367659,894841328,10112513887
158.502431245,1355036503,492819131,7907149852
159.503004912,1970850611,634932395,15258779907
160.503562172,1739245402,580995054,12597531887
161.504220284,1411727679,481028213,11600970315
162.504877143,1419017033,531216609,9093247565
163.505436143,1746288597,651437800,10621697439
164.506012634,1013148032,298657559,8718663153
165.506564291,1301178470,414092247,9665079811
166.507202155,1103605517,369479865,9910391020
167.507751751,1163824499,411572113,9481829185
168.508257939,566688884,208724713,4388038530
169.508776786,1877532068,698817460,9059731655
170.509296427,2958143400,1072549387,13010879586
171.509842334,3970171404,1480936962,16942623031
172.510465313,4346145795,1732942214,17592740195
173.511061573,3552890551,1424672964,13541532152
174.512554066,3122075072,1173834405,13141675461
175.513112645,2239224403,900801951,10897474605
176.513788914,2108188460,855108230,10051459039
177.514377744,2172557604,837846940,12375255748
178.514958819,2163316319,727477538,15739540565
179.515535186,1564785094,485553105,13752824687
180.516078586,1264063022,401706407,10024984583
181.516644533,1585385917,640896455,9319605001
182.517205722,1536781837,560838247,9378139520
183.517778214,1080094900,352225056,8984260372
184.518325098,1132121196,301108780,10370886453
185.519176265,256106846,103984770,1853501750
186.519765003,1126086304,361741163,7782045696
187.520315403,1147155248,402570941,9440749719
188.520824008,731959255,281517393,6276930698
189.52162897,417414392,165241592,2626731572
190.52230693,2475405018,928653261,13131796827
191.522965045,3734881640,1487805766,19737283838
192.523640014,4090402810,1620475408,17119027312
193.52425888,3988606254,1588992619,16823532419
194.52481026,3430074233,1322404781,15167987170
195.525357438,1758270245,665506653,10283279852
196.525923177,1579882429,589119569,10071206912
197.526487075,1389344365,508151219,9519211535
198.527142281,2078377229,716225518,16142978021
199.527792799,1035430658,271967065,10996441882
200.528360136,820963930,188671992,9366662713
201.528933704,1015799114,388692732,6835572711
202.529481391,1261438230,457622755,7518252269
203.530028009,576785616,125096498,6040736256
204.530536729,787415527,287328397,5619670789
205.531066876,650733709,252424640,3882037877
206.531616925,1765657446,588733695,8856348098
207.532286529,2222557976,826341781,10847773065
208.533083868,4243700419,1659685346,19865813515
209.533778066,5641198519,2349333937,21360887418
210.534431219,5968917143,2550654524,26964982514
211.535109178,3819140281,1536031098,20875915840
212.535821774,3664914319,1338719096,22492194229
213.536512527,2508891014,940795044,17192476385
214.537112973,2916615730,1000449829,20231969587
215.537762511,2552741182,929486155,18067516595
216.538439401,3169777364,1176224801,20164576768
217.539101566,3734626956,1314402356,19453714120
218.539657071,3867917006,1414523810,21150820544
219.540331374,3141386631,1143414609,18196207960
220.541224072,3046035208,1038058056,18554792084
221.54180028,3740059917,1482946666,19630827171
222.542478547,3946027254,1588131517,19852415743
223.543167652,3307022718,1307125250,19052491558
224.54379191,2974688627,1159200059,17940821536
225.54447148,2984468787,1135193488,18257319100
226.545129805,3163127379,1276035353,18009126377
227.545815631,3421455538,1328260939,19170796871
228.546502784,2809966067,1072095578,17540476612
229.547193392,2971459219,1170867832,17838989927
230.547881397,3118475947,1164589664,18737022620
231.548491985,3191848695,1308333097,18005069468
232.549165959,3015457958,1178051382,18210647886
233.549848854,3079104871,1194665839,18403740687
234.550457396,2911300238,1124988219,17622471482
235.551138532,3415041198,1342148235,19215166114
236.551684922,2410608391,964724194,13758555153
237.55233298,3911746178,1481091105,17843849531
238.552828269,3973415068,1601409913,19797996379
239.55346954,3108035343,1182099830,16744070806
240.554064654,1767317455,617564949,12530652516
241.560700863,1710313614,573700976,14017238239
242.561323579,1522051650,541088081,12293940847
243.561848767,1273427317,449387959,11890577180
244.562349696,1405431259,498869708,11990583289
