time,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000450588,25627405,25627405,62419013
2.000830827,2945553,2945553,9048525
3.001142296,3727060,3727060,10695389
4.001608047,93693867,93178002,139871299
5.002091038,23595262,23595262,26435478
6.002589829,2841267,2841267,7059878
7.002923555,3440718,3440718,7948440
8.003224614,3034968,3034968,6989188
9.003679788,3162367,3162367,6966288
10.004008284,2651099,2651099,6685339
11.004305171,3072180,3072180,7256089
12.004796431,3097141,3097141,7192055
13.005289725,2910176,2910176,6884224
14.00575817,2540658,2540658,5978541
15.006313667,797396765,798011504,1079657519
16.006689452,4221802496,4221976609,4946070507
17.007037358,7866026785,7865808532,7020788559
18.007374342,5124535395,5124339124,6392252346
19.007923973,2884792596,2885129039,3512388738
20.008527875,354343159,353806501,507262761
21.009273661,12828573395,12827890997,9916082453
22.009974066,25807111966,25809418950,16076493862
23.01052074,29805249604,29803421210,16419485776
24.017223511,30939338311,30939709557,17619286216
25.018017118,19421183463,19421880358,17017444851
26.018670342,19983519844,19984080622,15530250503
27.019381925,26409969631,26409863693,18499891911
28.020170866,20775253085,20773237547,19639276654
29.020917928,18344423503,18347982709,16145509157
30.021507958,20532244974,20528378064,20013950228
31.022205997,20676290534,20676765059,20779453949
32.022873142,18187498982,18187511870,18135492496
33.023554108,18706762215,18708823404,17892081295
34.024223991,20159658901,20157671319,18179236628
35.024843935,18945632057,18945044697,17539639447
36.025393089,17471674014,17471624832,17655811865
37.026009471,17752423231,17752198197,19315485134
38.028828715,13817848388,13818989494,12844158071
39.029479975,25671668212,25671416334,17710999104
40.030202536,27692736093,27695654078,16392871979
41.030967348,26281435887,26281059318,18215641106
42.031576398,24408676502,24406249250,15660855404
43.032270391,23280588174,23283024614,16351792453
44.033011522,21476117692,21475371056,17896550972
45.033702558,18185344252,18184485568,15858702655
46.03425694,21182001356,21180920555,19818796708
47.034872622,21024582132,21024369396,19691498870
48.035545102,18787597816,18790556651,18023957685
49.036228521,19889989768,19888358560,20269594648
50.036915671,19916728253,19917288315,19483609893
51.037621855,18787828721,18786682886,21583742593
52.038189612,18969717747,18969637041,18780661747
53.038756403,20735122448,20734651343,20769501267
54.039244642,15691107485,15689688390,17357139352
55.039873926,14948854417,14950666838,14261335232
56.040572109,26407409630,26409410455,16529922168
57.04119575,27118842811,27118988128,16439916183
58.041897874,27818676025,27818492494,18518011387
59.042686014,23089137056,23089218346,15351680088
60.043439,21982671964,21981870172,16425829102
61.044173381,17746417636,17746761538,16527108260
62.044755143,15303788371,15301028235,14867030764
63.0454389,14265696542,14268418642,15619054986
64.046112889,13774815039,13775166857,14323276202
65.0467775,12955514600,12952791169,11731232342
66.047431893,13453194393,13453217824,13756715019
67.048030057,12892495681,12892171351,14855797911
68.048611035,12322604643,12322541504,13615172875
69.04910392,10040666489,10039367981,9913652255
70.049990845,5167375901,5169475898,5770567945
71.050747889,17395368735,17398500971,15734946830
72.051561952,26133389666,26133393012,15358120173
73.052407083,19010341916,19007968911,13815160541
74.054344399,13381245192,13383012319,10616326128
75.055032938,19781271965,19779105174,15117621421
76.055619868,14751401620,14750247661,15219628508
77.056291394,15398150572,15398519246,18141396450
78.056967963,13052716623,13052832935,13601166192
79.057644039,14242945593,14242843794,14024680778
80.058318563,13439663301,13439657292,13415253296
81.059016429,13277766101,13277770544,13966025416
82.059695182,12414180691,12414212885,14605504629
83.060227399,12440613509,12439405777,9609234798
84.060680601,4257604852,4257355771,3083361561
85.061224337,11494653604,11496859397,9314240252
86.061866508,17554172943,17554909936,14184258258
87.062480519,19086070334,19083569274,14498041351
88.063178464,12786604614,12788268599,10225791179
89.063730571,14104361027,14102893677,9005474625
90.064332238,11680841090,11681028552,10626375880
91.064937054,11063587179,11063567293,11532863411
92.065483462,9562539241,9562377366,10403866951
93.066044719,9245776710,9245807528,8788217227
94.066606097,10273394060,10273389641,11997557172
95.067182361,10050981698,10050976027,11971831959
96.067763392,8897495862,8897486388,10958221143
97.068412199,9416523359,9416746833,10977172380
98.069211927,4910418961,4910669464,4976392475
99.069819517,12529875287,12531065324,12914963983
100.070477127,19405113373,19405159224,13703851762
101.07114426,15584356309,15582935898,14296880214
102.071843597,14508354149,14509473093,9409948761
103.072517333,11765903251,11764803850,8669941571
104.073106105,11042460429,11043080748,11366547032
105.073671189,9752283618,9751359959,11414353879
106.07424071,9299613028,9301544106,9367297057
107.074883538,10215853838,10214187257,9916191118
108.075542256,9948270622,9948245571,9761666609
109.076212322,8935281515,8935338679,8748133312
110.076791342,8990568976,8989417669,9647102118
111.077336538,3858906285,3861295480,4488815765
112.077944255,8622059810,8620231534,7396847784
113.078624657,14600158746,14601828248,10979286623
114.079323069,16903592241,16903682994,12940326687
115.079904296,15117041758,15115987079,16329800791
116.080556665,13202323292,13202157453,10686747717
117.081242987,11050045610,11050087393,9600882817
118.081909114,10080522644,10080492570,11799746212
119.082582558,9725078106,9725622161,11478676329
120.083158754,9457473327,9456669030,13225331453
121.083741443,10347941867,10347938247,13388952093
122.084317582,9387718510,9387728124,11157651766
123.084863461,7681347186,7680896192,8724921514
124.085906371,6016820390,6017093640,5552292202
125.086495446,12824929158,12826512013,9586236780
126.087181768,24343521919,24345532460,16514645348
127.08796596,17616383684,17615462527,13584669593
128.090400557,18209035734,18208664615,14200185794
129.091089717,22919369607,22920119355,13673227158
130.091662645,24208454429,24206903474,14392444631
131.09244364,17322221278,17323365700,16026791391
132.09318656,19644130208,19644596046,16172238303
133.093776028,21535486132,21534834677,14881003159
134.094497067,19648555045,19649177936,13818139678
135.095250295,22248243152,22249457201,14806826647
136.095803305,26508528667,26505672345,16165822414
137.096524928,22238702717,22239692930,14908495139
138.0972717,20012762646,20012696057,14322662025
139.097979406,22880382073,22881168217,15941106778
140.098708722,19983401768,19982881639,15332056816
141.099454193,15688012024,15687024580,12456712501
142.100268566,16996775946,16997293035,11734151861
143.100989823,23792231038,23793038611,16062546223
144.101580568,22340641729,22339547137,15442270444
145.102136671,19364072499,19363452254,14613811594
146.102696546,21598025701,21598984378,14894468922
147.103330803,18624573377,18625548503,14934423355
148.104032832,25313722003,25313762813,18963662514
149.104783808,24925370509,24926045136,17277269303
150.105522634,24201327203,24200674598,16449291789
151.106250674,21170179850,21169918242,14413728891
152.106952336,19451381992,19451161117,13306585568
153.107609529,17626867270,17626372810,12597072566
154.10827319,22162663991,22164225308,17997165463
155.108863583,18732275831,18728692226,14564386415
156.109451123,8908967203,8909206001,12413782789
157.109994526,3862432455,3860853176,3376136601
158.1105184,72241400,72241400,130056233
159.111058728,37210995,37210995,64044640
160.111593359,3570807,3570807,7590116
161.112108173,25594607,25594607,60084024
162.112518684,3261736,3261736,7419729
163.112998288,108011058,108011058,119674207
164.113524143,1018845885,1018995648,1491051343
165.114006547,4576686415,4577473516,6751791400
166.11444692,5030557265,5030237599,7579130721
167.114864481,5082935608,5082836744,7601431837
168.115392456,1617687043,1617168709,2313934995
169.115961207,50611967,50611967,79741965
170.116555271,1815986241,1816177714,1070516570
171.117119949,5422460520,5423392810,3142124329
172.117625153,5591104207,5590715673,6041671920
173.118200028,3799917034,3799181805,4572824774
174.118785205,26711601,26711601,41432415
175.119381027,24379345,24379345,44298097
176.119930802,2147068843,2147846697,1474572990
177.120362096,6670331805,6670388085,6441868151
178.120793035,5123418127,5123010929,6462555615
179.12134813,4100879467,4100452531,4845296632
180.121866678,95503642,95503642,163837708
180.942561079,52687597,52843769,87287375
