time,ICACHE.IFETCH_STALL,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.00033762,998023,2638700,2638700,5462462
2.000701916,1366148,3401175,3401175,6736601
3.001019749,1333276,3376612,3376612,5376399
4.001479897,761886,2205902,2205902,5484416
5.001861831,1063131,2770439,2770439,6138648
6.002201113,1241741,3054332,3054332,6489498
7.002528705,1164016,3037291,3037291,6957748
8.00285726,1073167,2695357,2695357,5806100
9.003198053,1252976,3303166,3303166,7288655
10.003529578,1056282,2754168,2754168,6889414
11.003861283,1260383,3207893,3207893,6948462
12.004168833,1177903,3213294,3213294,6784783
13.004556291,421984371,4030897146,4031982544,3597201286
14.004924884,503576648,5889638175,5888914217,4820966662
15.005302383,546321950,5321754648,5321766158,3122877246
16.005761975,303452705,2977332567,2977405201,2429937776
17.006396626,29105524,175923241,175477657,119721202
18.007159408,1689076554,13332151562,13338091842,9648652087
19.007918789,2159569372,21816182598,21816431167,13359889019
20.008671705,2152232286,22272238780,22272008098,11797237735
21.009426591,2329084223,22232485754,22232662329,13189572398
22.010208811,1972735307,22054202974,22054440102,11771118632
23.010977306,2541751750,20750047406,20749042362,15901098362
24.011784756,2437065952,20813813244,20814230136,14853911922
25.012621554,2562129084,21631191931,21632353249,14831509744
26.013406604,2368053772,21240263608,21238753045,15981321515
27.014195807,1359583110,18030008538,18030137927,15322151969
28.014968896,1677346929,20374030563,20373885098,15584149516
29.015751997,1589440392,19494992928,19494215638,15307723939
30.016535265,1091369529,17352512747,17353363298,15886377306
31.017331678,1056304493,17748618285,17748806794,15656842060
32.018126658,1428794989,18067840786,18066856807,15560042322
33.018906738,1271958859,17150843762,17151672582,15337952795
34.01970985,1254376599,17429605219,17429772888,15820782387
35.020502473,1425434694,17907917544,17908722763,16078553951
36.021278747,1130252408,17413916552,17412039610,15739641017
37.022069196,1114645696,17266359919,17267212322,15940665934
38.022702515,1480349963,17754909653,17751542324,15677708374
39.023268092,1763389838,14595048129,14595320628,11709276040
40.023992359,2102592531,21808071600,21811322534,12542399553
41.024761191,2258004707,22011013704,22011658779,13156113322
42.025612107,2075711638,22241370336,22242195458,11999505453
43.026402596,2360257469,22048456552,22047757552,14307934847
44.027212391,2338010337,21538754950,21538041463,14158442948
45.02806087,2473677224,21176113818,21177535585,15066799186
46.028853906,2502117497,20881040902,20880427031,14354566503
47.029703127,1369280868,18231670872,18229347160,14729208811
48.030486238,1356758863,17782441556,17783737421,14716389038
49.031282513,926358703,16054746544,16054748299,14866557447
50.032080375,951555426,16249498821,16248603333,14185775485
51.032757605,1141534825,15943819255,15943023140,14171691025
52.033539012,952394928,15718454420,15719286253,15250081537
53.034241921,1016182433,15106726736,15106281584,12741626178
54.035040199,1057461552,15952022712,15953341390,15202372128
55.035840924,875712882,15218551579,15217719034,15665161230
56.036542111,1007440745,14993691889,14992792984,13620527929
57.037278924,924313062,13761829009,13761398065,13146767540
58.037822033,1163999658,11361154687,11358983728,10037254304
59.038542374,1731465137,18016231230,18019256816,11410592838
60.039345078,2162739791,20926498325,20928796210,13145626241
61.040144096,2236050941,20894928096,20894798233,13461927218
62.040951354,2041454471,21636893928,21635259096,12572311794
63.041763224,2302792890,20217488141,20219288390,14072186116
64.042559987,2134709181,19399802872,19398909528,14697496120
65.043381526,1785420529,18585516843,18586684897,14345064389
66.0441656,1543298085,18214645663,18213482980,14784993481
67.04497819,1398373544,17042091152,17042087892,14139495027
68.045679463,1022875608,16267853865,16265915143,12826152243
69.046456577,1001655505,15306618473,15307462191,13134996180
70.047258529,1089520724,15841054897,15840227524,14625395466
71.048061066,992039037,15646433869,15646489766,14818132842
72.048734605,979496288,15578502124,15578571642,15551124816
73.049512793,1162843493,15820420468,15821213413,14978725073
74.050176516,1044748616,14598833520,14597199021,13728392061
75.050820927,677734920,11599895334,11599075223,13313644128
76.051535457,863138528,10930366652,10929807415,11284804091
77.052156818,1388691550,13467347358,13468295961,9847561866
78.052897825,1969876061,19429619756,19433063666,12201476459
79.053705321,2319700373,21082902295,21083412267,12782665897
80.056184857,2042591975,19776509759,19775585379,12274344312
81.056997976,2045661423,19652946124,19651791358,12657512493
82.057671741,2157126936,17950864171,17948695406,11657892982
83.058354803,1035269970,12072407373,12072373602,9922942760
84.059009208,611545185,11147770392,11147746924,12430423770
85.059678517,634193256,10766904453,10767005692,11061748119
86.060421363,498180061,9969192514,9972933883,10378847371
87.061225086,527995037,9969164023,9966826065,9986925494
88.061896458,696971633,10514867722,10513442292,9973836626
89.062583831,447759534,8872227998,8872258830,7125899910
90.063284767,442050031,9137299972,9137300402,10399523940
91.063901426,612798213,7313710200,7312045703,7702211363
92.06450813,614634814,5245543291,5246199493,3915338874
93.065181562,1550341613,16614024397,16615592660,11002612076
94.065998297,1907610458,18447159805,18450062967,12069893161
95.066799728,1555545733,15241579821,15240438243,12488423476
96.067542561,1535100739,13679690695,13679316940,12634485034
97.068348064,1108801210,12280454804,12280992210,11833355232
98.069014022,840763489,12016673303,12014200113,11985043981
99.06972864,538381434,9523620522,9523796356,9692448094
100.070389946,639467476,9493852642,9493572336,10119995467
101.071177771,757460655,10174590078,10175106948,9399886052
102.071984267,514998469,9907235569,9909226716,10810995576
103.072760786,495971530,10023043555,10021023545,12437758864
104.073445126,599787012,9623983745,9623578473,11077482693
105.074201608,465695425,9300016710,9299541391,11864515889
106.074850151,802173160,7636087666,7636264123,6115774038
107.07565656,1607533828,16963696699,16964330249,10848898112
108.076454377,1768617679,18300570328,18303364180,11347160584
109.077260063,1584417523,14586876382,14584181995,11923969379
110.077925265,1719648830,14666044800,14665581503,11317174866
111.078699661,1023489406,11380711473,11382974615,12323573384
112.07950502,839736166,10880170406,10878421020,10705927994
113.080297141,739241156,10416578667,10416541159,9990308341
114.080992334,441406913,9177598605,9177125092,10781072375
115.081646922,612444946,10096228899,10096176821,10872893730
116.082312045,675209100,10675716825,10675668914,10548982375
117.083004713,466549090,9380843689,9380866724,11799465513
118.083720376,529445667,9591996400,9592273300,11941835089
119.084367787,645389481,8786023793,8784279319,8666698541
120.084978079,641299581,6107876026,6109144296,6667204218
121.085768278,1479395895,16292710813,16294409824,11398578464
122.08655403,1842338378,18565236186,18566030092,12117806822
123.087234608,1525395207,15054805656,15053233794,9552018811
124.087972938,1482574733,14273585429,14273049496,12496439809
125.088657644,1015179255,12827355213,12827174928,13500073678
126.089348305,849342902,11326356512,11326474420,10789637812
127.09004132,635855629,9059943321,9059942068,7858366413
128.090722756,595528557,10285396893,10285409174,11451280410
129.091499479,538500940,9975168362,9975528136,9645405286
130.092242455,505488551,10013559673,10015168013,9846299105
131.09304172,514387639,9809594000,9809175875,11433320770
132.093863783,482737882,9414209947,9413278170,11746133818
133.094498792,429898385,6703228511,6701025271,7044600332
134.095110105,476320818,5204421867,5205066291,4346061192
135.095711195,663346443,7834683056,7835335338,4442275494
136.096354834,794120088,8194945501,8194977172,4803527099
137.097165418,1328350585,13710868229,13712581462,10419708050
138.097863586,1640792926,17430490506,17430420475,12043293271
139.098668746,995397844,11526337074,11528205035,9818376161
140.099327653,291782577,4305309543,4300467811,5551677682
141.100016783,185789531,3255732081,3255723611,4632022001
142.100659808,204560667,3630850675,3630844305,4664028751
143.10132997,172841871,3333971586,3333992255,4546620979
144.102009955,171238468,3235291355,3235295877,4641854251
145.102674152,201325676,3588263589,3589015280,4725777153
146.103438468,872059586,7787004264,7790032178,7411494652
147.104131782,2023216638,18121599461,18121482247,12663412121
148.104865581,1686769263,15869203457,15870573017,10491234777
149.105617981,2154858713,21396030102,21396153237,13438987228
150.106374212,2214477554,22239414285,22239563296,12547062888
151.107161116,2270354815,22035306413,22035507307,12935356344
152.107969436,2117008151,22160308809,22160679498,12807013855
153.108775715,2529745692,21511339432,21510194491,14814077951
154.110204754,2184925458,19843329608,19843129347,14015833258
155.1109132,1755995093,16206470189,16206022893,10801187001
156.111658909,2104726882,19309562099,19310422497,12880268271
157.112431956,2077494721,22298729260,22299219709,11965650823
158.113203759,2335714458,21956861572,21956888126,12798872930
159.114025765,2485683625,22150210196,22150881334,13734354095
160.114823759,2460942204,21551833868,21551440346,13814421069
161.115623296,2454288695,21354534894,21354437170,14599640670
162.116359632,1985956119,18725375261,18723165586,12032485165
163.117043956,1781339020,18919567395,18920632552,11450454962
164.117762319,1791416972,19488084176,19488467974,11996475482
165.118507068,2098278120,20038058846,20038330612,13211963517
166.119294014,2416511240,21518450804,21519013877,14085539348
167.120131534,2194525762,22060506967,22061047874,12666016656
168.124201981,2205983559,20394781789,20393922558,13051368865
169.12495466,2284901435,19364410857,19364292113,13446769231
170.125704919,2441877033,21219247260,21219217968,13807168124
171.126479627,2331899411,21169598166,21169914905,13398693748
172.127219413,2382941323,21425986967,21425317895,13043343530
173.128001638,2403604923,21515901022,21516540224,13376217699
174.128758519,2326830198,21805510438,21804351444,13186699140
175.129497303,2345055251,21497905257,21498736134,13374988939
176.130285132,2278779707,20907973122,20908291321,13908899166
177.130895797,2178649081,20152767309,20150346439,13751040989
178.131585898,1985125413,18873610116,18873702024,12058080132
179.132103443,1158747113,12209128494,12205716820,8957969212
180.132621561,698523272,6961182333,6961140907,6639381947
181.133254847,41094106,549871928,549377169,371837252
182.133848351,8918911,45172187,45172187,44779920
183.134500138,5509677,36954174,36954174,26441246
184.135117497,8597053,27391913,27391913,64196802
185.135611934,999676,3285298,3285298,7231246
186.136063415,983530,3304697,3304697,7194289
187.136603475,20271638,146361293,146614409,172726747
188.137121945,419694838,4217434016,4218769928,2758984393
189.137510985,487002359,5744160357,5742951202,3310785926
190.137893364,507876380,4849297295,4849313359,2904803989
191.138531033,264679053,2544948971,2544553034,1973917303
192.139194978,10483705,79209427,79209427,126991341
193.139696854,333311072,3140385501,3141405438,4500170847
194.140219516,596849194,6886048696,6886496055,6493464635
195.140850063,501302453,5171204172,5173770187,4690734798
196.141531672,266045101,2238837443,2234804132,1688593581
197.142199103,3881925,26702945,26702945,28805901
198.142866557,5301172,36460659,36460659,47799935
199.14353014,327329976,3780501191,3782524577,2664462092
200.144115802,550752528,6977822349,6977106834,6715213034
201.144579775,477646081,4483551697,4482729241,6269663307
202.145238381,342670617,3358112203,3357626788,3542564480
203.145858955,14663507,105661079,105661079,103907750
204.146349366,6858518,55761179,55761179,82492915
204.229755347,158598,351434,539948,1321297
