time,IDQ.EMPTY,ICACHE.IFETCH_STALL,cycles
1.000367558,1672695,838458,2511253
2.00071213,1817207,1051682,2685276
3.00098527,2343014,1541337,3431245
4.001374005,1961743,1184821,2924916
5.001791925,1606487,758949,2367245
6.00221163,1868119,944917,2889944
7.002511658,2027099,1235208,2924766
8.002786758,2018209,1225544,2938714
9.003056782,2295985,1466939,3376018
10.003330051,1849203,1099459,2837238
11.003598576,2102372,1265441,3125763
12.003868291,4857991,2217676,21414065
13.004406148,2174066,1313142,3296093
14.004854196,1481489,762188,2125311
15.00532511,305744971,136838714,978866391
16.005654595,947054724,313835052,3567368989
17.005971565,1344662571,526013092,5933096271
18.006437146,857990383,340658435,2946041521
19.006828864,1088641038,400613631,4025867588
20.007335831,375104401,131541283,1421196290
21.007870048,56364376,24786978,184580882
22.008844471,2675824614,1143626325,9372271188
23.009526135,7036035578,2833278449,27675660056
24.010070239,5840148751,2635359861,30308734691
25.010725446,6076849065,2736618509,27864844420
26.011340176,5645079165,2429913077,20312669321
27.012086135,4801678789,1982688535,19661426145
28.012963789,4904025129,2083049763,17770342154
29.01370295,5692610468,2514764332,22005783766
30.014298068,3310540309,1056453562,18566162360
31.01506345,3118668779,1173962501,16146208242
32.015759128,3161933302,1015310662,17612838774
33.016395617,2965953604,798923177,18636211370
34.017059259,3199872447,958039344,19516369118
35.0176889,3555977615,1156020293,20161113774
36.018316391,3154156173,971087698,18710401117
37.018950787,3201830032,1006945614,19103356550
38.019595804,3134243010,882381158,19013149180
39.02019521,3237373464,1084339265,17007871195
40.020774963,4141955673,1545464425,15713587480
41.021381332,5503723146,2382131227,24578489515
42.022150302,6645146960,2862551810,26529487426
43.022943042,6265365653,2707398975,27152314120
44.023682777,6313383232,2711782197,25425869391
45.024311051,6150281389,2568268644,23916424981
46.028939196,4819242248,1884175425,20932087069
47.029537555,4524762184,1654167081,21502211604
48.030230706,3617504032,1314183908,18514295654
49.030925321,3494120692,1137251979,19470846514
50.031570537,2601447740,798173200,15495810070
51.032223811,3352613395,1072452488,19602247173
52.032817023,3340510582,1064568781,19836493775
53.033378887,3256432205,1013550325,19401846809
54.03402811,3198314808,1021822230,19079865388
55.034560262,3129688394,1065286024,17298369265
56.03515691,3434137081,1210889156,16341079576
57.035688556,4983494677,2011321569,23088238069
58.036335045,5146792030,2156656944,22352139660
59.037164306,4102417264,1709898760,16179307641
60.037848125,4712758692,1973677916,18688744433
61.038580949,5631634293,2352429908,23914222388
62.039360682,4520823625,1843840146,19638813333
63.039919156,3723670587,1449089855,15466675680
64.040589466,3131460507,1097115541,15468752941
65.041210518,3198720243,1140138185,15962748235
66.041787332,2390634643,807773685,13330221748
67.042334819,2052095005,582883265,12731661074
68.042967685,2274359726,703093228,13257034160
69.043610018,2279692314,727426163,13051350770
70.044264356,1895897642,542419640,11902237860
71.04488626,1808041757,590123093,10298714152
72.045397145,2465816154,904321359,10106995779
73.045908235,4288840223,1692904261,18547160703
74.046523008,4358335235,1701851496,18633771867
75.04708676,4422507522,1748388959,17335158258
76.047736803,4938731506,1896491614,20822234295
77.04836366,4131862231,1573731022,18489045217
78.048887385,1892432598,594201569,10444727874
79.049422379,1562255155,442834857,9427510424
80.049968441,1836604614,617994313,9964355269
81.050518487,1786650301,529482360,10305949768
82.051071843,1483172119,425609399,9057439183
83.051638802,1731429560,563170862,9697621905
