time,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000434536,2638009,2638009,7105090
2.000800819,2977077,2977077,7674104
3.001107611,26742943,26742943,61879101
4.00156038,3255855,3255855,9524277
5.002071358,42755337,42636069,29770529
6.002570942,25920210,25920210,26890705
7.002954529,2984117,2984117,8706292
8.003262428,2873546,2873546,8488664
9.003631201,3179187,3179187,9159020
10.003930102,2910640,2910640,8759224
11.004266218,4075725,4075725,11657059
12.004570225,3093102,3093102,9216401
13.004991291,2844927,2844927,8008292
14.005459313,2453491,2453491,7498002
15.00619039,1260047759,1260493302,1137213361
16.006660647,4616423197,4616887947,3005434402
17.007006592,4163246005,4162757002,3160128980
18.007346416,4570921014,4570930259,5966038729
19.007904821,4918612670,4918182135,5070223026
20.008480018,93000862,93000862,65513740
21.009319833,2156717055,2156431154,2014900080
22.010396731,10946554658,10947002414,8089830089
23.011432884,12409877823,12411766331,8092672186
24.012132943,25726471129,25727811339,14161581051
25.012844551,29162548677,29162440585,17360079279
26.013519183,26708016388,26707070416,17311325229
27.014303295,23083834265,23084298654,18578585181
28.014996179,19826295037,19824679573,17318592593
29.015726668,22692505370,22693310775,17064465169
30.016470704,20786063362,20785416007,16067436854
31.017142979,17555992083,17555612169,16924876097
32.017783311,18098620290,18098026132,18946452837
33.018835172,9363463337,9364369087,8008355345
34.019582419,20022953437,20024736293,13850571582
35.020434071,29153864467,29153554877,16026854710
36.021105654,28237533834,28238040093,17045596632
37.021838141,25453077323,25452748463,19200384534
38.022588379,21509609803,21508381658,17046481685
39.023331192,21083733849,21086060561,16204890701
40.024103572,25261533617,25260483733,19356363293
41.02479597,20709727922,20708612598,14443803525
42.025372305,19425103485,19423598867,15176881285
43.025871672,17843212405,17842143630,15931338329
44.026902847,6998522144,7001032735,6260264257
45.027589119,12583429922,12585189823,9493296615
46.028318198,29905701972,29906113081,16957803143
47.029067269,28225582364,28225755605,15961880976
48.029790457,27496707986,27496087183,17448575836
49.030610604,19382569224,19379824600,15615061419
50.031319127,19448751072,19451960811,15081050913
51.031912354,22694149168,22691631007,18909378970
52.032466696,18707695167,18706811668,17300865579
53.033121616,15421722887,15422141015,15017729568
54.034113078,9945985750,9945484210,9287326084
55.034791698,15406342549,15408660914,11892955886
56.035499447,26501220506,26502767957,16196637522
57.036158219,24185340250,24182471355,14665009720
58.03692552,19281157308,19281745178,14610967607
59.037607499,17165890637,17166421071,13171607662
60.03835592,22426646487,22428853333,17129138192
61.039045776,20492757443,20489005552,16570414193
62.039716034,17707578689,17707655035,13502126019
63.040236921,14263893675,14262813790,11146922389
64.040867805,13004300084,13005171842,7993138142
65.041528849,20709161901,20711514569,13606639011
66.042286645,25541863294,25542293267,16843731131
67.043048971,22438432052,22438770358,16257012044
68.043761891,21169843717,21168583091,17225203782
69.044336936,22847264916,22845897224,18008293434
70.044978272,20123346701,20123625423,17087029921
71.045570024,16739640054,16739113308,16502634690
72.046140586,14859723833,14858647649,14822079784
73.046743828,13701805094,13703295230,11947405024
74.047314474,13839602724,13838202345,14371035755
75.047811178,10053495971,10052509900,11444753378
76.048281079,9646927110,9647260267,11830010141
77.048854013,7728079687,7728754413,8959917446
78.049333646,6655690471,6654689980,7684907642
79.049780562,4092785525,4092438447,4214317143
80.050405852,1997689004,1997788685,2330260340
81.051013005,3302119076,3301720228,4328468797
82.051526976,72272668,72272668,74421724
82.791461686,43424299,43578965,73433320
