time,ICACHE.IFETCH_STALL,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000365459,1455567,3577924,3577924,8079496
2.000772585,1838487,4088335,4088335,8922531
3.001133287,12302568,40100316,40100316,16911301
4.001726899,5068561,39779357,39779357,31253150
5.002250278,4420743,28968681,28968681,35992011
6.002627735,1797482,4061518,4061518,7673463
7.003006522,1273191,3076884,3076884,8287791
8.003355269,1193311,2940249,2940249,7503130
9.003730994,1382342,3234316,3234316,7890307
10.00408204,1304583,3197824,3197824,8584584
11.004440594,1722525,5761306,5600074,10945213
12.00498209,1323566,3109811,3109811,8476350
13.005394204,169250154,1376511849,1376922739,1274364318
14.005767153,483039332,5719344743,5719317850,5765636048
15.006168281,484254060,4594003190,4594015089,7034437983
16.006636464,543145509,5534538274,5536092926,6346089518
17.007173778,73681974,695246835,693296287,480119585
18.007819952,145993933,1252325563,1256886975,1255097006
19.008563906,2482537507,20835712324,20837348070,14711123898
20.009357216,2225162907,22202267408,22202530028,12689800036
21.010129153,1902791846,22113475636,22113400135,11597537028
22.010894007,2262748487,22219930292,22219830625,12439571199
23.011665157,2334118128,21588072680,21587317466,13886367240
24.012491933,2472569138,20788448532,20789871287,14894503646
25.013336015,2447702087,19864307087,19864298017,15359856818
26.014152019,2734205706,21589681510,21588619884,14298075261
27.014980601,2195130925,19910816603,19911642888,14091695123
28.015776573,1388514855,20389930546,20388001473,13225256795
29.01659048,993107015,17307435681,17308470174,12319897724
30.017415207,1346785220,18879367555,18879095548,13820237149
31.018201589,1344250040,16573138458,16573031398,12949557757
32.018905344,1341417116,9837292081,9836877078,7209974232
33.019650112,1954445035,18816821314,18818004067,11328765253
34.020421198,2227137019,22150729945,22149898701,12799377198
35.02121549,2310180125,22065681314,22066670705,13322224884
36.022015017,2198669538,22012357394,22012769310,13813594045
37.022831064,2278555783,21732086829,21732140770,13339531654
38.023646314,2546655981,21375072940,21374177083,15303021940
39.024478838,2277205376,21166764111,21167809758,14661265222
40.025335401,1924826690,19880760405,19879584866,14367849522
41.026145315,1775367968,20693344412,20692161050,13904169927
42.026943795,1384464881,19607501539,19608605048,13065550525
43.027677228,1070312100,16971811910,16970435501,13077606884
44.028473899,1219251392,16189689357,16192076932,12519753051
45.029241057,1728095079,18370391626,18369988393,13085612736
46.029990122,2157166622,20431586326,20431228135,12958403697
47.0307644,2091320760,21657515717,21657798526,12656137221
48.031591508,2144655875,21242506734,21243095139,13008663262
49.032441088,2310331255,21419978961,21420195263,13675055361
50.035729617,2230960530,20711735362,20711760798,13761218143
51.036666521,2152296833,19143447494,19144237536,14139707918
52.03750986,2055353191,20038696733,20037710082,14287491141
53.038315609,1665046499,19248471173,19246388699,14157822868
54.039022028,1201891887,17071024885,17070176065,12817786161
55.039813322,965662723,14801283072,14802882121,12435082658
56.04057125,725767130,10548561466,10548187915,8458891446
57.041327264,1446663314,14661633409,14661672563,10133507394
58.042140086,2099222149,20760107148,20761633532,12749360066
59.042923653,2080353758,22004973519,22004693683,12295665220
60.043768612,2210600729,20971402049,20971948166,13177807083
61.044599269,2127724313,20600330070,20599277982,13895295515
62.045312567,2295179196,20467831757,20466691950,13781731836
63.046149727,2091058462,19630298001,19632543199,14192476005
64.046953177,1693597610,19012763715,19009663709,13745844804
65.047769096,1402721119,18374230071,18375167460,12754904980
66.048575308,964867125,15902276510,15902177411,12049372559
67.049234935,700208472,10589637395,10587745527,9483405176
68.049961732,1425043223,14923739409,14926411755,11413431500
69.050749006,2116582396,20418510781,20419492127,12963479040
70.051580965,2172732185,22081383198,22081527757,12428878196
71.052408257,2282942459,21363574955,21363741566,13204487593
72.053251031,2258597828,20697140134,20697281343,13722771377
73.054099862,2369897948,20392094835,20392140851,14649972130
74.05495233,2158693003,18548948404,18548039923,13510830687
75.055770499,1753169009,19367252022,19366958136,14213283948
76.056593008,1390565835,18110140437,18109178452,13515520307
77.057429206,1083807978,16578575994,16579235322,12388368616
78.058186695,648499384,10901450107,10898587159,10756029410
79.05877837,332785566,3932239337,3930897634,3162552739
80.059504246,1080907421,10943582955,10947425583,8350496666
81.06021653,1218105704,14888596672,14887519359,9544740737
82.060786074,915904105,8301393384,8298604315,8567711556
83.061555505,971923672,8586061900,8589382907,5977215998
84.062246392,743729401,9372726768,9370061825,6474532857
85.062966466,308545121,6744557182,6744205773,5802149707
86.063626379,362461642,6281755988,6281508867,4897435373
87.064111521,221479640,2024755928,2023941147,2752939822
88.064787361,305757020,3189543911,3188975886,3001640407
89.065352632,17155170,79046450,79046450,114640953
90.065774966,15965056,155245114,155245114,111893537
90.099120205,172607,381600,541499,1190102
