time,IDQ.EMPTY,ICACHE.IFETCH_STALL,cycles
1.000279733,2096162,1094895,2964677
2.000588484,13283280,8637784,26866154
3.000887636,2814457,1741249,3923097
4.001323797,2303658,1269033,3169169
5.001786192,25142423,12931686,65926682
6.002277883,7206860,3169191,20320265
7.002614393,2639130,1617352,3627021
8.002906944,2457573,1406899,3396349
9.003205012,2590377,1576232,5688369
10.003497411,2247301,1295276,3041209
11.003924517,2134133,1164612,2917959
12.004313579,1964879,991820,2645567
13.004770846,2015831,1073072,2757608
14.005144944,2036407,1127719,2808576
15.005614188,371115086,156059320,1273931096
16.005978717,1055221491,371281683,4234566486
17.006303367,1457002159,568621900,6247999624
18.006625875,1362061337,531737792,4996034411
19.007194608,729781581,274105504,2721818028
20.007741794,82572497,33248872,285716667
21.008787197,1616284830,701313019,5633537715
22.009510989,6630163443,2631742075,25718980952
23.010235612,6170816393,2866911012,29383664515
24.01094503,6205454600,2802783896,28019990007
25.01164482,6313079569,2709226979,25124173596
26.012435418,5353700839,2337509876,20834504304
27.01319193,5988845976,2508039145,21993313701
28.013894472,5378092652,2219918639,24137013785
29.01461356,3148525025,1198310062,19253269028
30.015279739,2559016952,912613704,18470723835
31.015760843,2720139922,1010285403,17200927548
32.016651891,3463028786,1490777454,11747922036
33.017696589,3077206203,1098256761,12568017084
34.021644669,6012497068,2635860983,27935940092
35.023671622,6183544134,2757871984,27876038290
36.024254452,6523417317,2826054611,26948684796
37.025039228,5483001782,2318754584,20979994763
38.025869019,4833299318,2017132645,18045535343
39.026596327,5498126274,2283986160,21947631659
40.027294692,4289389423,1703953220,22070173305
41.027968135,2724674901,960660885,19039769281
42.028537597,3027701822,1082006111,19793570890
43.029223304,3441242707,1434608554,13459032543
44.030215486,3008176260,1101492942,12286285108
45.033786665,3737232111,1717179247,15603302356
46.034540356,5018924905,2100380691,21017707817
47.035234294,5954118265,2665113283,29086052845
48.035957424,6072579732,2640083037,24074266075
49.036606811,5176812978,2166614723,18861778207
50.037299633,5667649623,2225430182,22461788425
51.037925111,4474483584,1742935065,22013187833
52.038498054,2457619946,791202363,17219171504
53.039000123,2104639350,751087158,13809117322
54.039590993,3359488265,1308243788,12844316692
55.040207928,5153918452,2136382277,23403178082
56.040925144,5980980822,2514603759,26488256160
57.04160689,5351300684,2274009571,22473376160
58.042447505,4693032133,1930003729,18583848770
59.043183899,5448577766,2192256369,21921859595
60.043889342,4549314123,1844237642,21044463834
61.044564544,3110636490,1153425786,17913828530
62.045192664,2294613021,760534901,15750063519
63.045793465,2858740567,1108098028,12862403729
64.046409727,4269943564,1691888832,18024695763
65.047041031,4837726084,1965050183,19589778173
66.047667737,5743507775,2476182833,23501069231
67.048389896,6190076780,2638135925,25644237105
68.049206819,4218005457,1747115643,18574896509
69.04987644,4538569860,1781250220,20893358623
70.050474196,3907192443,1508753576,19166892144
71.051104652,3308791365,1301451594,15809525811
72.051762618,3873551994,1504049848,19380995641
73.052380466,3728016501,1477042646,17955380385
74.052850608,2674103082,1036409937,10401449333
75.053355736,2213336261,817103652,9224970939
76.053825586,1742140051,638415889,9043617918
77.054305059,940707898,312951371,6442722155
78.054743655,592486648,215717744,3533772451
79.055350512,172300524,75104588,537988228
80.056188376,516535744,200274361,1919918624
81.056748321,572113263,228195932,2515316773
82.057319512,42077550,20274716,113318999
82.215558397,367333,180060,435536
