time,Total Resource Stalls,cycles,RS Resource Stalls
1.000310874,13923528,66040730,5230019
2.000654539,601217,4113367,302722
3.001078866,42994827,219296714,16758927
4.001546888,218485,2813433,133718
5.001997616,28070983,140214771,10625901
6.002422116,45576779,221333636,17875002
7.002825677,2855647,15217167,1274616
8.003205359,367981,3508205,209761
9.003514365,251150,2917411,148216
10.003904779,270938,3072499,167745
11.004310716,322364,3195305,170939
12.004785028,219849,2903994,133201
13.005238503,664859482,4074468845,339385472
14.005646176,1139050205,6230203780,570976575
15.006036622,919608555,4832511127,438684361
16.006415982,788469324,4588708037,360026397
17.006957866,49604004,203509116,31101911
18.00754669,7510561,42967375,3015007
19.007963154,160432042,1001977454,88390926
20.008500681,1027533749,6015818205,511867551
21.009069055,2361614849,12494308094,999263988
22.009623374,2853515319,15593092068,1187252399
23.010227361,3102472431,19671230933,1182125033
24.010845976,2961109325,19911962790,1101060922
25.011496649,2928870964,21248440291,1097753624
26.012126243,3479947866,22080006456,1570051732
27.012803122,2984607607,22004936425,1293521521
28.013443053,3525186977,21656837710,1832096807
29.016337241,3015386298,21911668547,1210533543
30.017004396,2341711739,20975597288,1053264906
31.017637971,2404724210,20230526038,1267774852
32.018321335,2113643736,21431478120,757209367
33.020140028,1557827271,20545041673,526938215
34.02079033,1602465827,21227248975,594421311
35.021431349,1303127819,19566008066,470427733
36.0220696,1432617433,20544254314,461058183
37.022738408,1392124599,19611782954,495453308
38.023410646,1254426570,20717529053,406376075
39.024063576,1574031669,19188949488,592731091
40.024715113,1709868648,19619387746,700264065
41.025375417,1996346136,20035523595,779183016
42.026031841,2021620442,20408152240,799894090
43.026685069,1229282954,18337917811,391721568
44.027348405,1073078686,17251462948,350285705
45.031710541,1324405241,16368835308,475639574
46.032343125,1096060786,10103165805,400531781
47.032862515,822223407,6145445600,371117433
48.033386406,1383153624,7002178902,906708481
49.033913565,358731847,3832885558,267788072
50.034399684,249583582,3506465628,152496784
51.034873399,193880324,3226371476,127277117
52.035341971,206426395,3457517592,131631967
53.03581799,188535258,3252441146,125460223
54.036266229,215517739,2901937154,128558923
54.95365493,888560693,3500414132,534400867
