time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000286037,5629045,121930558,699169
2.000624841,132082,3995764,22468
3.0009367,73167,3554332,18097
4.001393404,3263632,71272368,772507
5.001724094,5756464,109538284,2307408
6.002027599,4626769,111083847,10194763
7.00233037,114900,4028256,21311
8.002647583,24982,3149334,16936
9.002952294,29992,3162645,18734
10.003297235,20444,3173426,16383
11.003615147,22344,2845487,15790
12.004035177,2769191,61019179,1629261
13.004414782,258661723,4703889141,28786228
14.004883646,369447500,6679383186,54400771
15.005282381,122811958,3549631270,30360009
16.005840075,235622443,4261948958,28450050
17.006341547,2593349,23171037,124744
18.00679511,2350716,18985570,97693
19.007227578,66466899,1467430406,7948969
20.007754845,385770160,7258941077,40909660
21.008344743,660029125,12076728560,82276743
22.0089326,863279809,16935290149,87654479
23.009538693,918655423,18463070534,95958935
24.01021275,979879374,20484183656,86441424
25.015508015,970046598,21927204004,66476090
26.016164927,915488435,22153471121,82613975
27.018363947,899184534,22067558759,81428224
28.018983338,704368218,21879886350,74126095
29.019630817,806659480,21611349020,72767228
30.020302868,776492645,21413633315,42753456
31.020980827,685317097,20533566796,50122942
32.02166237,632241497,20971230810,26457730
33.02234193,559532227,21191985849,33637257
34.02307149,471740737,19395961010,41143186
35.023731047,499184219,19487962316,39896390
36.024385703,516885231,20552020870,48762569
37.025042418,414778844,20103810744,32178558
38.025697063,461362122,20821929275,19758935
39.026370499,477349827,19778221863,36539278
40.027027789,549560608,19564349416,44860600
41.027693924,426063421,19931684963,38444910
42.028432491,400700096,19006304663,37295344
43.028989298,362367779,18836463567,24188517
44.029628417,264719759,14669379267,12279593
45.030294214,286251349,14700313486,16589685
46.030837707,258101358,10759316000,33515882
47.031483298,110163035,3939430620,11315949
48.032141855,214986427,5812107421,26646156
49.032667362,72232255,4751361186,11770457
50.033158058,50196705,3600935427,13503094
51.033642668,31520288,3237896391,9229220
52.034101021,27398630,3228153348,13238887
53.034540456,37389663,3392716246,18350907
54.035085732,27442020,3327744414,14627105
55.032149867,118746820,3036236049,29504576
