time,Total Resource Stalls,cycles,RS Resource Stalls
1.000277357,21406101,87647370,8588763
2.000605271,492733,3819954,262306
3.000939809,482460,3550073,264798
4.001378565,5752767,48722229,2496405
5.001728564,13096935,62270124,4981369
6.002030485,32924215,137607275,7348965
7.002327471,474345,3789047,272696
8.002616608,294338,3037995,168559
9.002915918,334230,3002972,173684
10.003313039,274860,2789804,162490
11.003629134,358318,3148231,194516
12.003991132,7455195,38264154,3060330
13.004315382,779961759,4742306621,378451458
14.004691101,1254939621,6550720366,531776255
15.005137861,849999098,4516710832,459264569
16.005627225,779250583,4344605289,370386095
17.006128373,9032231,39623759,3793410
18.006588444,4549097,20147759,1745514
19.007076837,33828070,204517208,21298907
20.007603876,871478956,5108370977,449351788
21.008086867,2104062989,11408859440,944813219
22.008683072,2880169982,15713899030,1205604880
23.009279105,3180494856,19265019835,1215048754
24.009904535,3024246359,19901720575,1110861847
25.010538435,3057775447,21808477112,1130764264
26.011196045,3428758501,21854410948,1484560636
27.011940803,3363960227,21854141699,1567210212
28.012600974,3409331932,22085349281,1725538387
29.013251955,2998240412,22128439900,1254412275
30.013873606,3183329616,22159363607,1615044722
31.014529718,2907162050,21980005788,1446961473
32.015164998,2347094343,22119904655,923857242
33.015797022,2182849407,22172833721,731579989
34.016430137,2078841665,22182975717,718779393
35.017093511,1957827299,22096979533,619471214
36.018066708,1741263144,22093424217,493239650
37.018694095,1986090814,22096912302,530549332
38.019317496,2139583400,22150396489,500239039
39.020776689,2137621556,22101857975,532619727
40.021430402,2859718268,22224584639,737194013
41.022065106,3050136621,22143786605,772441858
42.022716748,3171257614,22220163641,704371048
43.023363756,2661907368,22177382513,648457712
44.02402569,2583969418,22091249524,587607050
45.024666509,2960793780,22208110141,698796387
46.025324119,2351812333,22169862686,554941927
47.025968396,2068130671,21983189348,550558521
48.026617543,2260643773,22140936775,626954438
49.027272347,1895730012,21969956332,418271654
50.027968463,1710742794,22082737263,394646642
51.028643853,2064227574,22148880455,551564725
52.029300973,1754074625,22060871851,428695646
53.029970328,1876568539,22143669411,438085473
54.030638219,2234490707,22195392618,490627147
55.031303842,2467264815,22198563938,539378065
56.031934586,3044562446,22244281773,693274934
57.032602844,3336071293,22270920226,809322492
58.033232289,3416522479,22160920476,825919533
59.033866084,3298479446,22133591957,734652525
60.03451464,3137476585,22255655941,733524269
61.035178793,3068466457,21390791044,875867566
62.035845936,2300473933,21048586341,646291469
63.036765259,1856255100,20174673666,669943117
64.037426765,1654578118,20170285717,581410769
65.038049469,1677557530,21362132887,465828316
66.038707058,1903257308,21868435541,504260450
67.039371877,2687867025,22087928490,794506149
68.040054941,2992564733,21390697172,901963241
69.040702324,3824742972,21410984921,1072417423
70.041364234,3041541088,20894517357,938631358
71.042062115,2995011689,20741266971,1037220222
72.042717965,2090105278,20359018459,909502748
73.043362051,2027851538,20642789294,914807527
74.044024254,1637483444,19608473172,851456968
75.044674857,1759460602,21887417622,710547037
76.045349553,2010524629,21002340991,941790964
77.045972464,1985119096,19768220540,827767034
78.04662568,2362852081,18536543247,849452719
