time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000367223,3528188,63454974,1941514
2.000705684,169765,4593481,32649
3.001173241,662287,17564437,353885
4.001629938,4058170,81953629,700945
5.001941468,8978740,166136248,3823932
6.002237756,5006297,140330706,6204577
7.002532211,7995232,1260883016,139025139
8.002820328,27607,3154759,18120
9.003115969,29618,2987377,20523
10.003471793,24503,3097402,14029
11.003790232,24868,3150873,19098
12.004082837,27740,3094124,18653
13.004527303,1282390,16546793,223278
14.004894254,245845360,4393515052,25156983
15.012241066,377048306,6648837495,55197682
16.012608763,105962946,3368000992,32348219
17.013109819,247095127,4163678596,26840220
18.01358666,2546641,22222263,114907
19.014112045,3601889,43710148,521752
20.014573751,63737757,1325208103,7787484
21.015009858,374766664,6496060179,39173867
22.015481248,724290587,12656255122,94210206
23.016050181,854344766,16447398132,87812958
24.016609124,950467354,19681569931,91448832
25.017222279,878868600,20309448248,96351002
26.017861915,998876794,21608037654,70239683
27.018506145,872234958,21893044732,97395990
28.019183477,986102119,21908845265,96956094
29.019849747,822687541,22143315242,73920413
30.020478356,708062289,22179366605,127391008
31.021143093,651086215,22145672559,103520616
32.021839357,651907703,22113574409,96384737
33.022461123,423315677,22117107705,74326070
34.023124568,351354586,22049434903,90857892
35.023799259,312561778,22165898813,120146748
36.024440943,269053805,22177848863,155055198
37.025126145,318640662,22102578291,141824104
38.025780469,304161992,22198705073,169540936
39.026432521,268819026,22161583293,177485418
40.027052474,328425728,22226083262,220580049
41.027707283,256244595,22220689722,262429303
42.028344059,304387055,22214027746,257985637
43.029000125,325697595,22212839266,248924543
44.029662486,378918425,22107455203,172719078
45.030298973,295894850,22172976867,198055180
46.030944318,221758636,21920767522,198644164
47.031595009,445168872,22030773298,107100481
48.032246263,343985951,21651667353,100810580
49.032909403,318457318,22015593685,98150126
50.03354647,288977213,21951489223,134314507
51.03419192,269767366,22127678401,158683393
52.034853959,322036416,22096286437,162428432
53.035523769,276322361,22161560480,184701088
54.036176526,263327502,22175491989,163489409
55.036815313,237346114,22168478902,201988388
56.037491801,180532257,22227730680,295769836
57.038133672,144856496,22274213256,323914899
58.03881122,210508432,22268503618,268992190
59.039477643,212615048,22255104414,285011448
60.040510276,223378554,22231104385,268036951
61.04116493,176927411,22143073780,249317749
62.041816966,308431902,20442881385,124101929
63.042463511,303737080,19901007265,107080679
64.043122193,411107368,20687619544,29412728
65.04380733,320526509,19971108528,16205031
66.044463069,210277119,21233995848,197175741
67.045093577,195449876,22091202017,216962778
68.045717997,190932396,22110365728,235062684
69.046371446,184258346,21825395244,298869570
70.047055506,490165569,21874893941,268609598
71.047724552,305858921,20374152622,168578618
72.048395798,346712455,20961822117,160006660
73.049056269,416865481,20874436954,75097822
74.049721773,338472919,20605893707,29552476
75.050391597,308474460,20314213509,33209589
76.051053238,338092870,21505763348,89715586
77.05167452,459670830,18752428780,120666920
78.052292769,335151950,21695237812,144854679
79.052916624,197659436,18948263011,182473335
80.053482256,112796614,13799519035,107649866
81.356340341,515970400,19472114375,191688350
82.357006083,380438685,21324967957,69528823
83.357659952,297217446,21982918290,130237252
84.358310683,263870548,22057138089,170814389
85.359110136,119459852,9682340305,68880812
86.529967463,236849872,21356519984,165462857
87.530612962,230291045,22176413320,222295746
88.531259126,223619093,22174459734,242823554
89.531943214,205422323,22230891378,317465166
90.532598406,208402782,22143206767,293254875
91.533277684,264504030,22181966244,197194790
92.533933988,251978085,22151309137,181973750
93.534621768,183291180,22180301668,280169405
94.53527051,179246106,22218114576,306107359
95.535960264,211908666,20542776652,166234041
96.536629311,279375694,21476860644,129251273
97.537307583,267885565,21874945536,132633862
98.538005938,230014260,22146330312,182139296
99.538662433,225054245,22145747882,214879706
100.539557686,243033124,22179235314,176308213
