time,cycles,stalled-cycles-frontend
1.000259424,140347531,97907710
2.000559135,5659268,4797612
3.000834102,3416693,2967974
4.001208981,272801434,182090679
5.001482062,248266331,170412813
6.001729283,116651353,72310246
7.001970268,987727102,588169996
8.002232771,2775996,2463153
9.002482246,3017018,2695027
10.002732063,3030088,2695862
11.003024463,3027353,2699762
12.003292082,2907746,2605229
13.003649626,2308289,1993404
14.003964755,4867771233,2836259767
15.004261428,7860052540,4885714535
16.004582283,2990452484,1477838772
17.004901361,4211575406,2500552253
18.005269647,22729267,15296164
19.005703718,42754605,28485448
20.006033642,1130855945,578457071
21.006358287,6293147822,3467026065
22.006782487,12450935370,7718134619
23.007226077,16779265204,11262162320
24.008487131,19606792802,13313214084
25.009216414,20035613008,13659423441
26.009693279,21848021021,15180312353
27.010184848,21941091867,15140958136
28.010674842,22140847816,15356019095
29.011195159,22125495174,14900244305
30.011697967,22173571517,14799656798
31.012217057,22169336078,14474518465
32.01272455,21959522959,14154747544
33.013212091,22101792205,13985743831
34.01371308,21990509652,13536021345
35.014196768,22133502105,13293528366
36.01468239,22123218966,13520671610
37.01516794,22173876411,13705683985
38.015650897,22133158619,13508630661
39.016135113,22210795060,13503165183
40.017801183,22226080161,13574102946
41.018286516,22225371330,13780848693
42.018786998,22202460031,13741773462
43.019286314,22235855075,13775804996
44.019762685,22205136299,13829617221
45.020237834,22169401602,13536552355
46.020711971,22138522013,13631677110
47.021183976,22212436229,13996001999
48.021810568,21785457850,13530899112
49.022295692,22073513823,13752526213
50.0227764,22165680443,13714865998
51.023274196,22050521927,13647668445
52.023754529,22016434306,13593492671
53.024728143,22136588203,13716038578
54.025243411,22205480008,13536114795
55.025738758,22218144167,13350901309
56.026260488,22201604351,13416696199
57.026743647,22244131846,13839172595
58.027233901,22138453638,13533729116
59.027720308,22181350293,13340497184
60.028145269,19368103989,11271218323
61.43849389,27306917567,15939656485
62.439001709,22115437583,13658736223
63.439496959,20438964365,12387288972
64.440007233,22081459070,13516988950
65.440506032,22040201254,13470920666
66.440986189,21557560576,13100362373
67.441487516,22064521755,13318894216
68.441969817,21790971756,13054464333
69.442456591,19479395140,11284896143
70.442952074,20116453147,12048744244
71.443457008,21051595977,13020325319
72.443956554,20722161166,12712170792
73.444475522,19906801346,11818271490
74.444955197,20365442386,12520198247
75.445457752,20957053998,12716780693
76.445962102,21825957831,13226163311
77.446441907,21089006514,12627532287
78.446925146,20859879462,12600529841
79.447436012,20788884292,12582225790
80.447958229,20055491720,12069885928
81.448451634,21866555730,13520504637
82.448959632,21954373960,13527891839
83.449449825,21957134809,13384529558
84.449955781,22106299110,13420354495
85.450443618,22192916475,13427727355
86.450961903,22176071479,13522445097
87.45146762,22206514961,13695025757
88.451943636,22240035657,13566074003
89.452428046,22223227443,13315174774
