time,Total Resource Stalls,cycles,RS Resource Stalls
1.000340858,265748,3187262,157591
2.000661929,326717,3492161,184660
3.000943262,327769,3418063,203933
4.001337826,113033,2475180,84091
5.00173025,231679,2881908,138443
6.002093561,316886,3393077,193734
7.002377028,273052,3073592,169693
8.002646152,209485,2874675,132352
9.003016283,289806,3179646,176701
10.003360459,278209,3142945,176927
11.003638673,291476,3155821,171092
12.004003518,261645172,1689386467,128191215
13.004310131,1110487448,5925826272,501385503
14.004685728,1187754622,6446509663,631382830
15.005050369,255063208,1307832103,139083044
16.005553184,700822382,3881329458,337504113
17.006001571,5547564,23756296,2291633
18.006425158,4248296,20079411,1620098
19.006833244,495835518,3245334721,235658626
20.007251806,1788727559,9777239954,799210087
21.007767547,2460699307,13455963326,1082421648
22.008332635,3086497998,17768888660,1217160821
23.008919386,3004250753,19450565890,1153182688
24.009527791,3300216929,20889452148,1242605574
25.010136829,3243036594,21973947343,1197591831
26.014852153,3660268410,21936939425,1747874547
27.015455935,3917141870,21847630881,1921931150
28.016075646,3008091399,22035828734,1304031788
29.016678363,2941685923,21338591122,1558008038
30.017295449,2974855640,21459412759,1714123388
31.01789916,1649498830,20607768484,714350856
32.018514627,1795888012,20923867105,895762678
33.019143402,1601525593,20567889552,852142749
34.019761993,1098306286,20184147740,527277484
35.020384266,1067069635,20233022493,500611898
36.02100061,1012587884,19667775977,517132647
37.021618645,975587149,19795840210,485127243
38.02224628,1040007975,19915500303,520209206
39.022858592,990459821,19657276118,500147145
40.023461012,1004748691,19812375161,505256439
41.024046828,1023224950,20302714860,508156865
42.024682566,958749410,19785584469,480644562
43.025300412,944193607,19794370212,474012432
44.025923376,973262751,19805286079,490437072
45.0265315,981503549,20327423200,488654249
46.027154795,951348356,20067778085,465668898
47.027764988,947685101,19756534771,475028665
48.028385733,1004761480,20269149783,479332614
49.029028576,1016724842,19803000904,507027809
50.029635081,1033582579,19818237417,518700578
51.030264244,1206248962,19103986409,571029258
52.030877446,1301778117,18883329406,630267322
53.031491888,1221619068,19154043825,597094991
54.032110772,1263281539,20259946548,553177959
55.032739321,1180080071,19140130230,559116361
56.033354892,1122270741,20156038955,546063573
57.033969495,1336552297,19194114613,612129658
58.034579507,1484046364,19796420634,779180232
59.035220526,1103758060,19996321451,523607460
60.03585221,1401366400,19249582453,686076580
61.036473563,1017307513,19814453993,500157737
62.037108838,1011519367,20093308731,490477562
63.037731272,960992767,20401765067,445461498
64.038344613,1005909126,20082299045,490280188
65.03903242,939407186,20171518522,436414516
66.039647136,886229633,19919806620,435220316
67.040260204,1037752139,20065116469,534400626
68.040890052,926867055,19850119728,473399240
69.041506253,912751459,19711105335,458935478
70.042120049,949676391,19791442426,469879356
71.042740026,891850454,19838595901,428267301
72.0433576,886288579,19978175999,433188880
73.043971868,1060367203,20077253504,560182873
74.044600782,876472611,19819496726,438520673
75.04521954,903212514,19804401797,458646349
76.045821088,966599354,20006623729,473979695
77.046419419,960664334,19430226792,461442575
78.047075986,1219103035,18920470354,570516470
79.047678651,967847441,17638470830,535080292
80.048296057,1065712056,17743786031,568117995
81.048897295,991607183,13135122030,637530822
82.049478753,962690674,11181519622,601787041
83.050095068,784877346,9588060864,501843846
84.050733639,588326040,6320822455,382652672
85.051264504,324794381,3659837988,202453805
86.051829867,363276235,3716598339,221161046
87.052429038,4069729162,19546843874,1573920956
87.836001611,499921520,3120657878,246572793
