time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000306782,11643799,310979188,6370009
2.000644839,126850,3885673,17771
3.000951402,120995,3788831,10353
4.001410327,9794390,198180792,2186410
5.00184727,20644576,419057485,7304011
6.002240276,15385133,294851784,5257098
7.002636241,921369,18754560,602742
8.00295942,189185,4237951,20018
9.003259577,25450,3085164,18881
10.003570704,17112,2907337,11757
11.003875679,19093,3155232,17992
12.004197572,18412,3103275,11977
13.004641012,234935377,4145828413,24504465
14.005019252,325373513,6245804815,46723943
15.005409943,158961849,4431526670,28623403
16.005768833,242808743,4198652670,28377885
17.006288746,5152095,133702870,779589
18.00676863,2562361,20112692,115707
19.007332665,16787061,490703101,3130097
20.007784331,295599007,5147533347,31405363
21.008346321,613629114,11045990820,75298941
22.008952888,883124999,15492405660,95611832
23.009552946,994858808,18971046258,89086311
24.010185006,963954637,20135861054,102902584
25.010838653,983199151,21536927777,92038839
26.011507984,916800958,21840463052,93962062
27.012206758,885795673,21864182031,89237422
28.012872975,640660964,21516380316,80071340
29.013530944,757099493,21879585699,88635820
30.014241857,513961660,20774382408,45829244
31.014909056,542763224,21163304501,59575383
32.01557973,491448805,21206135126,46886682
33.016234329,283373536,20489117599,28324169
34.016913451,290776780,20687110136,35974650
35.017572068,236647752,20385432850,23882356
36.018219533,215777901,19799921713,21438405
37.018884348,211608863,19792975630,19696828
38.019535579,220242042,19950085953,22444435
39.020181335,207465857,19864111117,19899611
40.020840332,203823508,19861463632,20769492
41.021512585,219704291,20307185210,24801746
42.022174887,193005359,19848676163,20737072
43.022808537,194903444,19939627686,22158035
44.023459269,207136063,20062295637,22286729
45.024115181,188700340,19808295092,18800446
46.024756638,194253287,19942817056,19145226
47.025433498,204848826,20122909347,21876558
48.026090784,191039302,19803404403,20474894
49.026736863,188992801,19878159482,21511548
50.027356292,239579122,19473150613,27903133
51.02803782,277551956,20044757490,32861311
52.028760336,253067284,19145676132,31380379
53.029431204,238305430,20412949771,22619996
54.030086302,230332269,20175266673,20591246
55.030759522,343844047,18269701812,44196370
56.031421249,238464914,20042512307,20794364
57.032114069,242338401,18948104742,22734284
58.032776886,263604633,20317466853,35215953
59.033453544,263569733,18825095038,28026302
60.03423232,296322810,19634693345,27028228
61.034924634,256373451,20005353083,30887450
62.035574291,192359996,20206235461,18980854
63.036283962,191690171,20374158584,19280279
64.036933862,176776521,19862257151,16141250
65.037584577,165639232,19806009672,15187745
66.038238404,186434199,20156731002,20279175
67.03889563,166788783,19778177058,15169724
68.039552683,166736058,19722886893,16511513
69.040195318,172520788,20152169330,18173064
70.040837963,161951084,19982295696,14724107
71.041502503,165219065,19846421032,14545774
72.04216602,169494748,20481593753,18744270
73.042823531,160448177,19911258923,14493399
74.043472269,157029016,19897928738,14107590
75.044077534,156756585,19842630489,14332527
76.044723828,172457000,19997698917,17880679
77.045371552,169162607,18948378334,14436565
78.046038804,251248241,18495960945,29261938
79.046660878,149365466,17744473261,16455871
80.047309949,144695795,17571652266,14567350
81.048013218,188560206,17597167715,16410880
82.048571137,200500455,13742142631,18741467
83.049212583,112640989,9545583705,9345759
84.049773924,128621997,8873476296,10414818
85.050406087,99972348,4331430032,13171411
86.05102623,50639746,3311517580,3762927
87.051555407,1025077226,18633839108,214247547
87.738750644,113172947,1966635768,15815701
