time,cycles,stalled-cycles-frontend
1.000239251,3627483,3089004
2.000586562,3772719,3247747
3.000972766,372579287,250463004
4.001377916,3153570,2608057
5.004890671,209962102,139472394
6.005166751,348242182,226456498
7.005422685,23512452,17203220
8.005676955,4129291,3589508
9.005933777,3020392,2709339
10.006223216,3117661,2774125
11.006491578,3147789,2812482
12.006870516,2980408,2667487
13.007169144,4035835733,2017647718
14.00746734,6349415976,3339676453
15.007799154,3990567365,2003706806
16.008237143,4172009698,2389271129
17.008650107,23858234,16220827
18.009100066,42908609,28477006
19.009432047,1171735128,605878156
20.009786979,6264509755,3378050606
21.010238705,12020178086,7504632850
22.010695762,15786627542,10352681136
23.011154602,18632548294,12612382027
24.011619139,20039637059,13675337142
25.012110097,21597541382,15120285656
26.012615773,21791426193,15070985329
27.013119539,22085782395,15301224239
28.013624773,21385408766,14610877301
29.014130584,21497823759,14441912259
30.014629023,20949064464,13450023155
31.01512988,20889833902,13526446633
32.015597088,20869835541,13118719814
33.016100786,20524701092,12364370320
34.016603071,20674404604,12538252831
35.017111459,20107479979,11814848547
36.017613171,19951735122,11661679131
37.018114932,20157731078,11878387962
38.018607155,19876774849,11568543784
39.019107719,20158161903,11896556653
40.019589392,20143928172,11860693303
41.020083352,19533588148,11218896815
42.020581247,20102574212,11773049984
43.021089067,19962716460,11612413504
44.021590662,20003037519,11666572909
45.022095026,19872101568,11533040751
46.022596293,19683500325,11344105000
47.023091181,20137325713,11842610558
48.023590898,19834079433,11476223594
49.024099633,19739674693,11395200881
50.024610798,20263742671,12027763139
51.025094454,18705788591,10767459446
52.02559123,19572726882,11396476129
53.026100785,20372373416,12095272391
54.026611801,18952713118,10787183180
55.027107214,19936299768,11614517385
56.027605754,18611271148,10731938460
57.028112249,20310740504,12279802859
58.028606088,19862277502,11536960129
59.029112567,19177907694,11055448615
60.029606583,19965386419,11701393391
61.030134327,18857751547,10701840777
62.030652849,19929458627,11632257900
63.031159802,19813251424,11423119682
64.031658182,19788108027,11417473981
65.032155338,19774236287,11374595402
66.032650634,19972200816,11586665915
67.033153933,19804247789,11408408770
68.033640039,19817473372,11387129670
69.034123852,20176124317,11839522937
70.034610514,19680235201,11291130993
71.035103108,19838984693,11427333907
72.035595741,20042909679,11655718475
73.036097038,19656741279,11217540036
74.036595379,19799471388,11364301368
75.037094017,20335174584,11886613501
76.037593319,18971501523,10628034128
77.038094511,19648968070,11430114441
78.038594205,20163665326,11848199847
79.039093683,17316516759,9281731762
80.039573214,17449717398,9409765234
81.040065259,15778858770,7815639343
82.040520152,10727048237,4159902847
83.040939196,9357898709,3181226164
84.041372507,7726837095,3013905774
85.041787423,5346196963,2096255682
86.042309175,9989289728,6438179659
87.04270997,10691372640,7239884759
87.352409589,229442702,157587429
