time,Total Resource Stalls,cycles,RS Resource Stalls
1.00028576,444113,3693547,242124
2.000668898,506836,3790868,269486
3.001026293,49040549,255076588,19962806
4.001487165,255862,3118326,149379
5.001941576,56255662,267405629,20228194
6.00225606,57832116,280303063,20744675
7.002556567,532432,4147130,294963
8.002857311,245404,2960406,141777
9.003165513,282755,3257060,160175
10.003474564,249471,3065535,147174
11.003842136,322765,3341850,174182
12.004163978,328250,3384232,178731
13.004629786,187469,2596392,114337
14.004994893,687022228,4137949991,340026821
15.005356582,1228550511,6615526815,533308692
16.00571888,829365722,4232946300,474354895
17.006201692,879405374,4899353082,408233012
18.00675802,147449563,695587949,87216939
19.007358971,4940015,22987686,1943612
20.007973069,87159762,510079407,52775555
21.0084505,888361195,5399968696,430751318
22.009029377,2166014266,11964800936,931456300
23.009602708,2762305510,14983133804,1158162319
24.010105403,3228074085,19162179579,1253527872
25.021490553,3081745752,19955008132,1152843165
26.02216013,2933112123,21066845247,1093658939
27.022804503,3668044865,22205786364,1494502049
28.023440198,3672979029,21806745955,1565315530
29.024105672,3712630599,21926322082,1980648604
30.024781667,3288112778,21821204035,1687940134
31.025473896,2219402468,21329167069,1108830816
32.026142618,2240704761,21745489799,1053972837
33.026797665,1962224341,21787439402,791826023
34.027439396,1221167804,21894328325,348078249
35.028113079,1171929706,21789005004,357379881
36.028792235,1230261712,22032932374,358646988
37.029465344,1431098978,22079987729,541579178
38.03012696,1130537083,22059857056,311867357
39.030812165,1319543039,22089396600,361615772
40.03146138,1792626913,22159976833,485817100
41.032121954,1743689028,22113953573,415526920
42.032779999,2221862635,22043718260,894278996
43.0334545,1565963706,22070257820,456168149
44.034103246,1395043428,22066632464,403736286
45.034786607,1593922747,22097094645,601105103
46.035417756,1511375152,21935344169,459854808
47.036056669,1618304363,20516146359,664508196
48.036695695,1812641800,21469309090,746033223
49.037397005,2208232233,21870849926,795259116
50.038031335,2055525285,21138019855,728405527
51.038705088,1940104918,20869311613,732142155
52.039383118,1428327880,21071952315,504198303
53.040046973,1734971634,21837491352,656538659
54.040719296,1376497732,19920180552,444768052
55.041379919,1196129566,19895671395,440379398
56.042057703,1402369899,21548131462,558057297
57.042725398,832884848,21947632003,311309739
58.043373461,766637512,22078186428,307470597
59.044023009,733441629,22067833676,297237405
60.044668854,762652138,22031244153,339147721
61.045329014,859719396,22044390598,378744594
62.045980885,882063728,21917028662,373968494
63.046646003,916044546,21948196855,334895621
64.047316224,886955649,22078733472,414378816
65.047977335,674122480,22154100732,340560373
66.048653774,676310983,22199307189,345412781
67.049308473,720602405,22179960462,376636202
68.049984161,989346911,22117401819,490203333
69.050650369,1479260157,18872772019,806507532
70.051331964,1034795022,21998789626,447599478
71.052000634,837932355,21944648347,399735117
72.052638981,949433096,22011505701,413143283
73.05374163,1054466793,20836280768,461542612
74.05441671,1101441017,21934978150,438964735
75.055092282,1415533020,21962459940,554573195
76.055767352,1383801538,21650781589,499196016
77.056463868,2518549414,22050713032,1753663331
78.057152611,1532108811,22015481708,931364551
79.057827896,647348774,21947869102,293426938
80.058511433,596469880,22077929417,280868387
81.05922508,713756213,21558904303,384502078
82.059863119,1051478497,18892551610,625326050
83.060517556,773278943,21269504266,413299423
84.061053701,1166267528,14624940245,826348164
85.061739982,1608645768,13033432295,1160800273
86.062402444,1267551954,7884641581,1084221209
87.063064458,1032322310,6014956264,822831623
88.063742297,1409154139,10824251722,834869101
89.064404667,1269598473,9882293109,935220867
90.064969469,1271714260,9493737953,972940438
91.06549918,1454636605,7813121131,1051074654
92.066002222,798815735,3230050873,569280741
93.066517042,640612413,3337258208,324279203
94.066973944,389046314,3778808956,239742698
95.067434007,284323363,3154071736,196392820
96.067917093,275557019,3156389969,192809393
97.068407083,703079284,3375139806,515920324
98.068985719,567018561,3698882418,389298551
99.069474699,2902578563,14450337108,1669393211
100.069940446,853259497,7624402218,646711484
101.070819667,509990701,7132139501,350933336
102.071292121,512975779,6470741175,359820292
103.071829048,481469398,6328421379,344036807
104.072289766,497299432,6269872683,353029554
105.0728432,453797680,6052682425,334395657
106.073302074,481601772,6340083962,343439284
107.073749183,469564801,6179908149,339118963
108.07419049,467671819,6308653218,338357461
109.074636588,470775733,6349038040,338422177
110.075188836,460462724,6274436504,337897667
111.075627947,473726479,6294039419,343929585
112.076081691,490789056,6500072732,349977108
113.076525167,474344752,6057657997,348008808
114.076962671,480823927,6423410918,342911679
115.077423465,478083507,6399446964,346184289
116.07787315,472438838,6119452829,345628895
117.07842427,475102263,6041646248,347254356
118.079096231,445857102,5723823153,314392451
119.079569474,96802710,1313320018,68397099
120.080039291,480562278,6414938171,334865067
122.005913388,910764970,12194104032,657120136
123.006457208,483871897,6183164033,348804341
124.006904718,481829632,6264363678,350062261
125.007453556,476581296,6351368368,341670801
126.007914856,467887002,6127578270,339990336
127.008350223,628750317,6296399413,400742171
128.008902622,783312876,5042154702,401090344
129.009347212,2257524508,9721881691,1406912167
129.948353774,675945738,2456397978,433234716
