time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000287109,5456766,155539652,2353414
2.000613213,111032,3942685,17221
3.00108337,70350,3575234,16757
4.001587035,3519250,72185531,1218238
5.002000983,7454788,151227801,2864377
6.002327628,4889015,236696564,38287156
7.002634521,903477,176453595,26062251
8.002939308,20600,2998578,17612
9.003241089,22067,3146064,17855
10.003591214,19450,3080059,15577
11.003896413,11288,2823411,11700
12.00422892,14451,3011602,16672
13.004545843,9162389,148815042,3947739
14.00490192,269982329,4979814536,23849794
15.005363361,315473705,6158792667,37511922
16.005912178,167398038,4452271182,29721751
17.006307319,103669345,2243758683,14714009
18.006831913,218883743,3187704351,19438505
19.007384664,3713442,45322351,494382
20.007791818,16559153,489212022,3500086
21.008238919,305818564,5317399566,30546367
22.008781511,610937710,11201841618,76465891
23.009374867,850080004,15223466846,84411084
24.00997202,969310605,18817182145,92425486
25.013524016,927982114,19649773776,81229005
26.014186083,982120142,21017573261,90339022
27.014883783,1005931168,22159887364,93192294
28.015553679,1017388440,21685563363,88416474
29.016228549,840860868,22020947859,100957049
30.016892373,787853674,21727174018,71960801
31.017590232,620623810,21559103456,51198174
32.01825688,666950864,22022747955,67805123
33.018870481,427954430,21663638824,71644580
34.019521219,360579869,21894094628,76375754
35.020156675,319768236,21851274378,78263757
36.020829893,303286466,22009992887,65524829
37.021521208,297014035,22087481132,83145430
38.022165355,218245788,22086125881,88684458
39.022830345,263247797,22061130234,77927081
40.02346153,260945545,22160392591,121270948
41.024120983,266109149,22129024414,140115822
42.024807839,307729306,22149323180,135872797
43.025451936,225697429,21991446819,112171827
44.026102445,252482012,21990654329,102716347
45.026737575,271959320,22121519810,75464069
46.027364081,239233589,22082775805,88102757
47.02799887,216048148,21089114734,71111925
48.028645828,223305713,21922811406,81805321
49.029308272,264881425,21743692698,104823341
50.029862599,253476066,18592249330,66811596
51.533722359,419934685,24445639204,104115468
52.534396133,466348451,21177475532,61922543
53.535057986,382686480,20158070818,54912548
54.535714946,426229330,20524756319,31457063
55.536382914,376524497,20560126868,28053809
56.537045969,323603913,21888993655,18415780
57.537716469,259471491,21990260364,17729999
58.538383362,205104682,21925723498,14453756
59.539000411,199299833,21986046377,13894936
60.539637932,208592868,22080186712,18443513
61.540275247,213283423,22092859652,18382606
62.540941464,236654747,21967581218,19145290
63.541612383,259798922,22112396493,41020221
64.542283821,179657220,22089338042,15987672
65.54295538,177469995,22072369254,13866955
66.543625404,169129879,22133317489,18271711
67.544269387,141891973,22163224435,14166420
68.544890506,169734158,21930121389,19645004
69.545563843,202044439,19890013768,18637959
70.546197925,200297814,21756636426,38073570
71.546865645,206201057,22162334004,44175904
72.547525995,191958719,21775072338,36935358
73.548187141,295506311,20357690008,57653769
74.548854828,401361645,21786243133,51409526
75.549547045,440712457,21331943974,41472411
76.550225227,423413398,21631279758,40969207
77.550913404,248573818,22023106969,25889891
78.55156415,182619970,21947321599,17034742
79.552207694,183646075,21536820930,19477940
80.552884754,158201851,21991703967,18058526
81.55355855,165864648,20787059160,20643995
82.55419066,167225931,18708383860,16488946
83.55483385,114941067,18173376140,16813866
84.555509428,166576667,16907367766,16662987
85.55609371,139431566,12260971367,25868754
86.556864929,85968606,9599394977,28849940
87.559627468,113209393,6730033560,27900489
88.560187991,244397139,11596128525,38922683
89.560785107,113615841,9924638097,36110442
90.561379094,84900859,9588594931,25266127
91.561904077,76327422,6600311321,43249233
92.562541754,67806835,3838485832,72689020
93.563045626,27030332,3260861009,6220601
94.563506766,28151063,3219806537,4500548
95.563999185,37940290,3574779126,7059662
96.564494585,25852563,3135929851,4218087
97.564978197,43692729,3343674503,23847860
98.56555835,318087862,8483751059,46134158
99.56602794,245411883,11201401814,61593434
100.566505846,66093125,6553594093,13648838
101.566971783,70536504,7137573125,15125289
102.567453271,40127979,6134638354,11839978
103.567908644,40279460,6293772133,12172444
104.568361722,48496719,6242919210,13132234
105.568960703,40047594,6131268044,12960974
106.569545941,43266243,6203717615,19306343
107.570111495,40969501,6284954698,13549461
108.570582859,37934206,6214550181,11462920
109.571097276,38821870,6093614430,12315090
110.571629683,39163545,6351525475,14919827
111.572087583,42934933,6762460630,14761603
112.572562818,37894426,6337980158,11982026
113.572997676,37970171,6143854558,12942320
114.573555056,33818972,6405478585,11512473
115.57402158,35892759,6262126981,12076432
116.574464847,41636748,6341533087,13226510
117.574897328,37261395,5991084662,12839146
118.57531692,36132298,6210127980,13138493
119.575750665,40796823,6185086013,13856548
120.576186252,38009156,6348581369,12761613
121.576638669,37312366,6120533709,12183889
122.577080493,40201868,6132920069,16905087
123.57753654,32543699,6260629362,12982492
124.57797147,33048676,6272024453,14131984
125.578479139,40495853,6188264868,14060260
126.579001493,79530951,6584506100,33165795
127.579441997,30990574,3211660747,5421894
128.579875319,281217147,9312496414,62361328
129.562068885,106238209,3218017633,18853498
