time,cycles,stalled-cycles-frontend
1.000259587,3357695,2960170
2.000561667,118408676,94682283
3.000803712,3509868,3111458
4.001162724,2600438,2195749
5.001446319,181731358,120328371
6.001694152,171148109,115008227
7.001931835,226279234,138516758
8.002168979,3347661,2963626
9.002413196,3194899,2877439
10.002730916,3103739,2772523
11.00297356,3237841,2908653
12.003226291,3121306,2818255
13.003602691,28928469,19961474
14.003889589,4549784968,2405262595
15.004237204,6213548975,3759341403
16.004541606,4781772020,2842208563
17.004835497,2468326031,1374854951
18.005250036,2980717256,1729732014
19.00564938,22783717,15409307
20.006182464,164886036,96030932
21.006591297,4846865876,2632910630
22.006995826,10898423726,6439403888
23.007438796,15539347854,10170620222
24.007835388,18131413031,12083287000
25.008280431,20297907233,13789667360
26.008759449,21307290016,14693887840
27.009255954,21939557412,15246693014
28.009758703,21482488593,14786021063
29.010247947,22129726832,15274546850
30.010769389,22080820411,14641306271
31.011279715,21912329425,14531874635
32.011751692,22009103738,14411912141
33.012243981,22073890465,14058875420
34.01274394,22074719086,13502079709
35.013226403,22078812984,13495987563
36.013722715,22016288324,13329934877
37.014206374,21947616300,13156488293
38.01468414,22080746870,13273861898
39.015168527,22117884195,13239872956
40.015671303,22161214023,13553794475
41.016173158,22041441244,13164774968
42.016680231,22120633811,13296986605
43.017180126,22177155551,13489152571
44.017660066,22143795630,13327606642
45.018157344,21925489000,12971844068
46.018645508,21015365917,12226698182
47.019131334,21816259213,13192139316
48.019605742,20631917875,12303280778
49.020114849,21763226059,13094604215
50.020622997,21292833486,12419767707
51.021108039,22052793190,13639998079
52.021603392,21574232025,12780019283
53.022092113,20883028828,12529339804
54.02257902,21805022987,13345089814
55.023079141,21359811260,13074226224
56.023582234,21904315635,13082444703
57.024071403,21857514414,13076001380
58.024566573,21926602788,13078621994
59.025050937,21993403483,12788249819
60.025549876,21948816273,12765527811
61.026032876,22104773192,13236933301
62.026521603,22018643352,12782959464
63.02701365,22109541618,12934876158
64.027504507,21170084020,11853449922
65.027982647,22151394204,12845300933
66.02845202,22121264362,12580596508
67.028952025,21879352029,12824711268
68.029431829,22106787061,13096047007
69.029915568,20435454479,11620924347
70.030510762,21818347438,12661057236
71.668658775,26677852684,14803567459
72.669153713,21483654974,12422257433
73.669628005,20276186318,11321040990
74.670112851,21923744042,13084911211
75.670605805,20985253339,12271255882
76.671085485,21347138589,12708209196
77.671580386,21752265236,12670684031
78.672086972,21713008009,12352069891
79.672577905,21007076403,11807643997
80.673080734,21531015024,12662924008
81.673585509,21972343332,13234129659
82.674066169,20846201622,12378911457
83.674487615,17259522348,9477832832
84.674956347,12552574832,4512065813
85.675417681,9673937325,3270833607
86.675821997,6434525933,2310511204
87.676303172,11442159354,5385938301
88.676801742,10215890571,4084236463
89.677289996,10430144557,4121562284
90.677736573,6770187593,2564895962
91.67820656,3319042908,1240232735
92.678575979,3489774854,1255579792
93.678908225,3185259985,992451378
94.679259371,3163211049,1189444304
95.679609697,3341147950,1160986006
96.680023736,1978187990,737165066
97.680389035,3269880865,1123043570
98.680798284,3131485671,1056215201
99.681159321,3220831105,1044733659
100.681506049,3346403608,1131331727
101.681900901,13145299575,8536347297
102.682334762,8700265579,4580405557
103.682727166,6469519966,2550086914
104.683098791,7163124378,3027039981
105.683469275,6455520796,2560963767
106.683894079,6245816937,2348094483
107.684302791,6795120965,2796313044
108.684752954,6247356548,2361879856
109.685183708,6114406523,2289923458
110.685595569,6186368787,2274775296
111.686013945,6425247382,2445114984
112.686444602,5974472168,2120459179
113.686868731,6163076776,2271279216
114.687286164,6246226050,2313506273
115.68769866,6155657434,2260189881
116.688046598,6298222871,2372838187
117.688375839,6426794906,2461076825
118.688731775,6020785793,2150022977
119.689158232,6299705806,2420197530
120.689578249,6209649939,2294249041
121.690021613,6361903606,2482519421
122.690436295,6525624141,2563943074
123.690766403,6597857657,2573686317
124.691173287,6277314924,2349538493
125.691508805,6326196833,2385017679
126.69192115,6331810131,2371247713
127.692338717,6216154587,2285246663
128.692774362,6419053296,2451884760
129.693122839,5532801549,2398775580
130.693472874,8112799189,4679852302
131.379368838,2085665891,1103562470
