time,Total Resource Stalls,cycles,RS Resource Stalls
1.000290942,416073,3444377,216843
2.000631762,11667779,74873024,4861963
3.001026512,429328,3498436,218278
4.001495798,203670,2750234,121662
5.001844448,34189358,200115969,13270365
6.002174096,43476040,136464494,9141249
7.00248152,116135179,274712989,13272912
8.002786247,353421,3531095,201465
9.003087695,287641,3007977,167969
10.003395572,257718,2902441,154652
11.003712081,344111,3209048,193811
12.004146148,3959164,21244098,1595100
13.004499856,752979213,4501005725,386095748
14.004891763,1155941963,6151042711,580734915
15.005324902,758483094,3927296328,441180829
16.005841175,685053266,3701482171,336512652
17.006396016,8298417,49568863,3695463
18.007044203,1439005312,9929941554,529341666
19.007676883,3266403969,21857332659,1149571651
20.008349595,4538592809,22119208341,1579766270
21.009045963,6043108230,22322365687,2082261124
22.009719595,4665782010,21888982972,1660459661
23.010412058,4804910947,20989854836,2932904959
24.011099657,4810189156,21785179311,2694711561
25.011750857,2942201072,22041742806,1026882859
26.012426486,1895270401,21673222907,655307657
27.01307112,1191337098,20468536240,402253411
28.013745707,1037089305,20133142584,336709225
29.014400662,917199855,19922877627,298511409
30.015059672,959159650,20440450077,301646245
31.015721523,2138830532,21115373669,1091461926
32.016380803,1764212999,20325609962,731285799
33.0170187,789889772,19613090098,260861344
34.017625234,737717683,19748841152,247762909
35.018269754,742039624,19606434061,248697933
36.018987174,1131530200,20528937248,396576959
37.019672829,2266651458,20631722686,858813835
38.020305721,1698028373,16127167118,727586733
39.020950204,969489176,15346972011,324250733
40.021603922,963469438,14684914607,309528776
41.022258414,935578427,14458631192,287857971
42.022893585,1040659471,13507955861,325252846
43.023453002,901354742,11671461334,295437609
44.023940135,1012316269,10443001828,364303221
44.785336932,364572313,2051700214,180946421
