time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000291367,123162,3940820,14183
2.00062612,232503,4625708,24319
3.000962608,11138769,222485432,5193449
4.001427362,3141298,62037376,1774470
5.001897208,9714302,138409459,2877646
6.002232775,13750011,266763649,6776453
7.002548185,1236287,18288176,351015
8.002863214,103542,3631149,17616
9.003179817,23232,3095339,20711
10.003505916,27700,3257060,19818
11.00381233,23660,3309079,16856
12.004276149,10765,2847685,8500
13.004658178,223917376,4271006970,21486941
14.00503752,440304914,8531800074,54744452
15.005589392,151353074,4457936167,33610761
16.006172038,233806404,4579262980,29949178
17.006712327,2499916,26782007,158223
18.007379848,353585503,6902720583,26220612
19.008028006,1286789192,21654870409,71381282
20.008705944,1246753696,22044812166,131288754
21.009391955,1399034510,22316725449,202270980
22.010075664,1110752703,22189498848,193922343
23.010761077,1009637417,21132983648,98295808
24.011471391,1315211378,21223707677,61751945
25.0121497,1390686973,22052884935,59876581
26.012815029,678451966,21515704753,44690681
27.0134892,443568451,20486907234,23581967
28.014034191,416253239,20208398852,25778963
29.01469314,348246569,19795114634,9870353
30.015366514,354632614,19946466760,18937700
31.016039765,424963314,21180045412,52589359
32.016700826,493527238,20891137671,77327830
33.01736996,333313648,19837091844,9710640
34.01804347,324264894,19695857859,12438954
35.018704855,306165524,19392435060,9700870
36.019369294,370522422,19796948414,15694256
37.020030577,698004483,20464663674,61807192
38.020682576,466994834,18149409449,59284697
39.021345294,211867097,14352863675,9850947
40.021998406,205442896,14587197109,9940321
41.022670454,222754389,14852079960,12261444
42.023333248,218206035,13306281442,10788504
43.02397875,184788060,11844016693,13273354
44.024514083,214823033,12405630991,18138847
45.025007603,156675913,3782306097,16113480
45.138275127,3988004,70313798,332618
