time,cycles,stalled-cycles-frontend
1.00026502,4655699,4080810
2.000535187,388386122,294195124
3.000817853,3630555,3154888
4.001161177,2789298,2313558
5.001433009,396299566,269249309
6.001685434,291976130,200272234
7.001921834,3937962,3459812
8.002154276,3469956,3026962
9.002409591,2980118,2680175
10.00267979,2862053,2546365
11.002929736,2975976,2659888
12.003247676,2395983,2092817
13.003533707,4579371177,2660867388
14.003816042,8311821184,5266609483
15.004909256,3642556015,1956384535
16.00526548,2719875647,1556169539
17.005663931,1693325786,1011312613
18.006152447,7462108414,5194407313
19.006616317,21895641416,15751719431
20.009316461,22187443697,16251212471
21.009818391,22329722307,16499760558
22.010316919,22089530390,16108000483
23.010820004,20967694307,15475564257
24.011328933,21656157671,16325437447
25.011823903,22020707129,15498634280
26.012300254,21367683471,13634769860
27.012789748,20866007506,12283693540
28.01328236,19856720043,11336338429
29.013748709,19949578420,11173390130
30.0142232,20110046470,11428686843
31.014739885,21346552423,13362396709
32.015254543,20540195660,12088788129
33.015732673,19944773204,11151432291
34.016231428,19832381825,10876585214
35.016732857,19537080321,10582356631
36.017224092,20510204310,11757957439
37.017694215,20951392822,13548167231
38.018163095,16594113587,8825891493
39.018642023,14784332578,6172886655
40.019131041,14557697531,5845420001
41.019601273,14358957011,5599894896
42.020006695,13091103136,5213106747
43.020475803,11620479759,3416249587
44.020946507,11042017228,3540506514
45.02132907,3602312708,1748406842
45.045876694,41082525,21336729
