time,Total Resource Stalls,cycles,RS Resource Stalls
1.000272796,4797325,34004687,1731126
2.000592088,467192,3771996,245831
3.000914084,417619,3527302,211641
4.001344992,3080278,24492121,1388149
5.001686921,10184451,61428748,3595529
6.00198712,10007938,45904044,2345843
7.002292211,461453,3905512,286671
8.002696405,245968,2769598,132636
9.003016675,251718,2989247,141013
10.003318816,220951,2939397,134183
11.003610451,290742,3182305,140885
12.003932153,274524,3034022,143227
13.004364936,159691,2899179,109236
14.00480253,304686388,1775969062,142497098
15.005170599,1023360308,5949664748,566158844
16.005522426,908564332,4486791463,474770399
17.005982745,861443647,4998649280,479204984
18.006351036,119722571,625198276,69798051
19.006847364,266810207,1552447934,103759429
20.007449222,3017691499,19968502361,1078603452
21.008073562,4546728874,22210941190,1553204472
22.008650152,6006163536,22247311143,2060722881
23.009271518,5280692948,22179033324,1920426962
24.009896988,4236051540,21001811928,1432659198
25.010551603,3817587564,20858532963,1497815004
26.011216323,3638699765,19995930831,1439517131
27.011832967,3335080429,21158016615,1207282917
28.012459058,2464457820,20852696457,879754486
29.013092502,1921924225,20071137355,673184413
30.013724524,1498253384,19058994436,502582413
31.01435212,1315804962,19184108263,401854689
32.014826519,2096546944,18677093163,781823630
33.015227674,705475440,2346142510,489308795
34.015832919,1600954506,8902152934,710248888
35.016429254,3796940109,21753735416,1297469295
36.017048607,4658940690,22191790884,1657590858
37.017649548,5597859009,22262760265,1945336563
38.018248671,5422396779,21955794434,1917467774
39.018897571,3709564025,20878653769,1360596898
40.019520477,3722582613,20399177035,1382012723
41.020156045,3430778051,20404269720,1403275076
42.020796006,2682472772,20638809208,944404781
43.021422754,2249168086,21387463512,788764294
44.022061931,1625049593,20174522343,538104015
45.022684304,1377950586,17782694427,464095773
46.023318997,1068366205,16030955303,317164924
47.023894344,2661286059,18246774243,1001920913
48.024502908,3784398661,21404436607,1327177652
49.025131259,5052195685,22250800528,1803930191
50.027415566,4886984202,21890525057,1671469757
51.028041473,5784795071,22214921993,1996794456
52.028701345,3330181508,19573552895,1295204031
53.029363628,3666203343,18888619479,1449653431
54.030016225,3229009591,19755562012,1247527733
55.030662842,2427544048,19955721430,893432294
56.031312042,1819678908,18687894056,647529518
57.03184252,1159180292,16799306213,395594613
58.032437507,1235573208,16536784158,434157171
59.033035165,1331039205,9025513508,584467451
60.033645732,3153255032,18832973627,1120105449
61.034277812,5347416985,22023067449,1903346451
62.034941257,5014639767,22058107900,1796268222
63.035554584,3955139543,20724663660,1407676979
64.036238401,3502097674,17768920034,1410468514
65.036915843,2759132236,16628310535,1161064599
66.037562527,2331751639,18275564101,923428336
67.038184554,1648082616,16407160542,612438843
68.038825073,1180320004,13349484727,397846298
69.039386005,1527586211,11962062856,609401448
70.03998287,2350800738,13296211194,998914998
71.040587745,3959139457,18566324936,1477166324
72.041255238,3549175737,19367785900,1322304623
73.041894193,3507467792,16975660609,1340604269
74.047432575,2509587737,14753361464,1073004536
75.048077158,1970369646,13699842761,848132000
76.048724025,1477462052,12351190202,585877530
77.049226038,1293896065,11128963591,497554241
78.049814904,839565246,7124180522,335091260
79.050415012,1551977745,9359649623,687796672
80.051052466,2733213858,13629703303,1181170552
81.051684326,3255805332,16733936352,1253405134
82.05232663,3086086163,16307329965,1310624766
83.052856543,1894845970,12966681429,803477198
84.053386097,1757061961,13100759859,725333256
85.054023376,1371089307,11582263507,555123548
86.054621663,1009165457,8992760624,390945278
87.055228086,652460573,5451321242,272539724
88.055750573,1565907556,9093380147,766553054
89.056362599,2158834674,11954624033,982040175
90.056895614,3154897841,16265075307,1236398198
91.057549334,3168113936,16764632936,1312515839
92.058115992,2297190090,14022110280,963251272
93.058753268,1918373036,13875521349,799485756
94.059323626,1271239936,12377754974,500620214
95.05984944,833453682,8860003991,328214847
96.060364747,578138552,5099936664,243635506
97.060965016,1446877201,9938714749,650976001
98.061621245,3795298941,17294883717,1363594724
99.062256395,3144672157,13729164353,1328656227
100.062794155,1593944118,6944860588,712770090
101.063323457,719513911,3383913248,388400768
102.06386216,629154192,3696686081,400055830
103.064374138,491172928,3492169394,312078239
104.064911872,488336460,3294830359,305613845
105.065504647,1886905914,11483622220,856101005
106.066146131,3231118560,18870228103,1376349307
107.066793248,3458957284,21660819989,1349221643
108.067420355,3203415694,22222355619,1198822689
109.068053442,3191683449,20542470113,1198432165
110.068584987,3007006541,13250979380,1235097385
111.069127938,2524383519,14969574414,1027717452
112.06970354,3999045697,17884754823,1568463765
113.070273691,2621527222,15832233734,1077275996
114.070696439,2529442625,13670230418,1099326007
115.071159786,1692746070,11575036047,871874979
116.071546184,1547761232,9256349233,747509895
117.072050119,37355990,155889494,17234770
118.072493555,19776988,113510664,9461440
119.072980407,549698,3762290,273674
120.073367485,143610,2903272,99997
121.073820215,3073835,25068733,1418774
122.07422623,134520,2900126,91741
123.074580155,81184186,342871926,30863207
124.074938442,755846493,4670231188,365133337
125.075272,1142517250,5905820247,564271615
126.075596607,833064254,4957236991,424367122
127.076121548,443086663,2751494143,221301339
128.076674805,53188712,278702035,32832332
129.077075745,475785686,3013873350,251752500
130.077492973,1416307970,6931860745,762925730
131.077888881,868993972,4674287241,445736054
132.078412609,241836332,1140494554,86944929
133.078987737,11016844,55857799,4826182
134.079424507,529757903,3282795130,275178610
135.079850945,1403167845,7038905676,683095674
136.080245139,811374686,4887702512,396716973
137.080803231,926989865,4276622908,465459771
138.081257595,29738019,132416189,11873077
139.081765379,15668571,75856764,7018481
139.13606833,104964,166781,86082
