time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000264241,94404,3506984,20596
2.000663561,71977,3814454,15707
3.001016592,1255584,26831550,656003
4.001399427,27379,2571554,570
5.001726317,3076781,71713545,1942511
6.002007372,93007,3886090,23835
7.0022989,10536,2960087,11904
8.002568876,22881,3194147,14640
9.002843337,15256,3144849,10267
10.003120639,14504,3045092,9413
11.003411567,19913,3292689,18601
12.003674064,15978,3168505,19896
13.003973071,40134979,627599568,10233307
14.004283046,296458655,5782078381,33953726
15.004688887,202705822,4665415994,47529918
16.005025736,248712755,4961908902,46914879
17.005522692,109998513,1807845367,8908034
18.006032516,8837311,128617148,1813227
19.006621896,943621390,17917415886,76017348
20.007223782,1348935022,22125210801,94997883
21.007837883,918180711,22216314694,241584757
22.008430629,1066679064,22094161544,207416560
23.009028024,1120877157,21658621742,181951373
24.009670139,896170518,20515214403,152491073
25.010310481,986117113,20059513686,174440877
26.010928879,1499829491,21637367031,48708476
27.011551848,934276904,21317143866,44300409
28.012165737,529855635,20535701869,43082974
29.012764444,483385912,19716021658,34973987
30.013349682,431890534,19079898205,41943583
31.013802855,658391808,17748833937,52350799
32.014348255,1007184505,18022506510,78575888
33.014937745,1050762204,22114525453,176729769
34.015550568,1115474166,22064228281,161536157
35.016144868,1189322026,22223370190,193401549
36.01677763,998969845,21735027077,160181223
37.017398117,1101407361,21497320428,177840409
38.018007841,1183248178,20841519114,107881920
39.018649739,1030178014,19081956105,41211898
40.019290735,656211841,19368163109,45399193
41.019921353,477823692,18027292974,42768064
42.020531436,429492272,17266465155,37284664
43.020934117,421650537,11362614631,53290649
44.021478701,840687357,15348924050,70981041
45.022074922,1004500365,21248750118,175571595
46.022576865,1108864783,21684678000,168568291
47.02318638,1071891502,20948820724,135158775
48.023789291,967749471,20624287271,189851146
49.024435916,1179306523,19565984538,133313039
50.025068581,915041308,17532158557,54021328
51.025683303,520486428,18038287190,63473682
52.026304103,359409977,13400736851,95041050
53.026848731,458474530,12406314843,73019934
54.027311863,629853606,11861068195,63480327
55.027897101,817142252,18080484284,149372962
56.028527297,1057959502,20581193280,143068818
57.029159146,965077614,19709320087,182341364
58.029797548,972981036,18145008536,116930036
59.030419753,691264721,16905861800,91259598
60.031056469,642185825,15317448399,79216123
61.031695586,545331515,15617481771,67982424
62.032302419,487668997,15132226098,71573543
63.032873014,518335149,11705272405,74301229
64.033437358,668004486,14376176932,95037434
65.034050982,817598191,16781723801,126594666
66.034708596,829093357,16569878892,118222667
67.035342666,766493542,16598823037,161024297
68.035891804,726828928,14668031439,115604945
69.036433031,604225171,14080562741,106443120
70.037054999,480528774,12501615217,78197986
71.037543003,401073365,11646723638,78842521
72.037999515,261319115,6362145361,42457879
73.038466018,342014791,6415466116,35810960
74.039078281,624826277,12151197103,100581306
75.039744029,708638523,15042714232,121036798
76.040368552,714585787,14667397596,120207648
77.041023031,737495618,15653026976,130570203
78.041635675,552212526,13101018930,111980864
79.04224814,467618661,12322556450,108246828
80.042745738,332503564,10310820630,86105507
81.043222008,204883575,5375246949,55384727
82.043751367,331224644,6613632634,41353153
83.044227675,594494595,12019081797,99547424
84.044865918,726922376,16268301537,125286256
85.045480521,789765926,15556962280,141314676
86.046121352,688446268,15232749036,122478549
87.046648601,551762571,12125239193,68036978
88.047154797,468708430,12270310741,99041381
89.047651687,364749298,10213210420,82456108
90.048095282,242430145,6023980038,42344190
91.048526793,337737285,6546682496,35885026
92.049117396,497436495,10201194898,74470327
93.049730167,536066708,11918003962,113968087
94.050244235,484434905,9788933739,100018052
95.0507654,614729643,12621945290,91038495
96.051380679,665092937,16209162637,97992123
97.05197912,444045284,12630230689,99393290
98.052440741,172102172,5342250815,47276416
99.052904573,98777726,4760401766,28907195
100.053520379,301398748,10123096985,117608481
101.054139969,351030346,10594082054,294101945
102.054655492,107174424,5120525827,208389197
103.055151973,173004613,3644620752,65199465
104.055669864,101855313,3641384889,44553669
105.056153676,132801725,3398663558,12986141
106.056747129,144023159,3290361196,20932947
107.05733101,718947958,16950751601,75650197
108.057939982,850749914,20702680758,155116948
109.058568863,1257023373,21920009109,80685363
110.059206392,773660614,22192572369,105144803
111.059797182,578462850,21027814004,100642846
112.060191875,720957895,15356557580,154428219
113.060700019,615315902,13573308144,115285903
114.061135103,852178061,18620265749,137188053
115.061560371,607570666,14285811340,110694170
116.062076132,419706248,8836375656,95162522
117.062586813,326553886,10080719701,61225825
118.062968377,228600222,7338126696,62046914
119.063501256,12342062,261836026,10226511
120.064003857,6192618,98179285,1120152
121.064487584,74983,4297505,38753
122.064888908,29223,3011870,491
123.065331213,978592,24539306,339734
124.065739317,54949,3324063,19552
125.066070498,13327453,281383095,13790797
126.066380476,267742308,4872906843,29812841
127.066766798,243654748,5311293090,52487575
128.06709634,227427185,5490978441,43749391
129.067633651,116263022,2432140526,15903325
130.068158069,3334778,78616987,745140
131.068579201,197496230,3707887135,21533403
132.068951851,331232981,7044135672,74896677
133.069317731,216258594,4490154640,43282852
134.069815059,50963726,623257021,12323636
135.070340217,5223400,58326491,539121
136.07071585,201583246,3570923060,16068635
137.071181858,314668603,6919678627,73414939
138.071685513,175671462,4427690387,45417509
139.072184854,142819913,3370480997,53260383
140.072577649,9581160,117373315,690002
140.381783681,65674,1649648,32835
