time,cycles,stalled-cycles-frontend
1.000209627,3993832,3547775
2.000510008,39840525,32231592
3.000807641,3883705,3462799
4.001140717,3076242,2614881
5.001476682,69096485,41326596
6.001797041,4208757,3774478
7.002122146,3771965,3380555
8.002418936,3658830,3271768
9.002722312,3699585,3311042
10.003014924,3703470,3317698
11.003281042,3927098,3532819
12.003615555,3797024,3423152
13.00388841,243008465,147472284
14.004202431,4881047223,2440398764
15.00445581,5265718281,2661915603
16.004716089,4885381043,2566984294
17.005129319,2289339902,1238360654
18.00554997,304239627,171186772
19.006005378,13193057113,9329896121
20.007518368,21424882790,15401897277
21.007931932,22109788749,16104474995
22.008387396,21929555917,15979796634
23.008842099,22227218998,16138647098
24.011173327,20066060625,14150126088
25.011602924,20975733626,15100150464
26.012066605,21025942373,15246918424
27.012532004,20476781319,13498602744
28.012993991,20675255920,12971588647
29.013466968,20454424757,12264681619
30.013921093,19547810931,11378615075
31.014373966,17878895657,9812774223
32.01474482,10731207552,6940158201
33.015182202,17068723181,11696716418
34.015641514,22051552034,15938233695
35.01609867,22218623751,16127744501
36.016553553,22066624420,16105595626
37.017019067,21523857167,15424226195
38.017503907,19705735238,14120944687
39.017976796,20019696718,14214456287
40.018447422,21121322738,14779712852
41.018903618,21267376204,14163796304
42.019364775,20653594609,12809990955
43.019827188,19984767294,12151978038
44.020256835,17663344019,9575685817
45.020676337,18640664082,11187650873
46.021106667,18119437534,12456504204
47.021585778,21949323999,15877367962
48.022045188,22258839817,16199121563
49.022478028,21910623650,15962614212
50.022955395,20869054178,14844204457
51.023426487,18984510595,13309514860
52.02390572,18882080423,13194662876
53.02438089,19154252062,12551769714
54.024859228,19213778181,11939829325
55.025322783,18356275906,10973030396
56.025785367,16601611594,8493406983
57.026120452,15269847857,9004952385
58.026532024,11903159227,7293549734
59.026971959,21340489449,15231652596
60.027450171,21118561714,15157296623
61.027914937,21212926025,15134734890
62.028399052,19637292232,13891355003
63.028878556,17519472853,12023585352
64.029360973,14631225617,8568835477
65.029819478,12392268782,5596900707
66.03020935,10614084240,4078315026
67.030605138,8699461686,4203390656
68.031046203,12070307156,7257350788
69.031505632,14232091394,9031330010
70.031972563,17384318773,11725566586
71.032444709,14754133842,9177705876
72.032915683,12648406900,7144913539
73.033372976,12308795708,6341849268
74.033829012,10336741691,5079059849
75.034234401,7815114503,3093776967
76.034589293,6956958799,3249164028
77.035046536,10220641641,5833651783
78.035519939,14496304378,9354701241
79.035988605,16742938745,11301964097
80.036472637,14367585483,9258717622
81.036945824,13359901042,7567392913
82.037429748,12652480224,6392613369
83.037824649,11040968100,5329074051
84.038177605,6431752611,2542479461
85.038560276,6615597966,3095821933
86.038933743,10478871140,6268480898
87.039393261,14139579612,8991939424
88.039787826,17133324632,11532576072
89.040170836,14941053190,9698741570
90.040642558,13368374045,7828050035
91.04113036,12257718760,5948218320
92.041611639,11673531025,5693056714
93.042022936,6583993962,2311146843
94.042376362,5957126150,2979761628
95.042727116,7337582203,3751757385
96.043092343,7396359213,4187143231
97.043479524,13622692470,8472405669
98.043910906,17788335782,11840181631
99.04430596,10235628877,5426830777
100.044706509,4153260439,1543080582
101.045165176,5270506377,2371645178
102.045619971,4441263475,1957549710
103.046076338,3058483111,1147373175
104.046529438,3878106508,1703674303
105.046923644,3782398005,1524759447
106.047330126,4383196896,1866516707
107.047722388,3448444648,1169742742
108.048167099,14288469749,8899928976
109.048640597,20124783011,14227357291
110.049100116,21517308632,15766970720
111.049539204,22237355861,15828043285
112.050019235,20021926300,13508823150
113.050337826,13319896823,8700594019
114.050740784,13720582946,8479926451
115.051168012,17050732494,11280213307
116.051583012,14920234381,9153594569
117.051927024,11332882800,7006141116
118.052327657,9446210781,5411177645
119.052698531,5614640049,2788868332
120.053108599,919807514,552912717
121.053530884,73473875,48433471
122.053906918,4195432,3626762
123.054272769,24954963,17142667
124.054624857,3914638,3251994
125.054920541,3316086,2758393
126.055269358,125182764,79478904
127.055614214,3805854721,1946423090
128.055896814,5903287558,2912631859
129.056142261,4892892750,2546996224
130.056553618,2957493749,1627859030
131.056988433,79163588,44282969
132.057322511,2578719580,1326838957
133.057617924,6754775451,3417087899
134.057921517,5217735493,2745255942
135.058330196,1520571287,949418584
136.058771804,33605620,21995160
137.059169449,2563070890,1317330206
138.059533053,7052526601,3570572817
139.0599388,4723557654,2514574358
140.060319091,4011920744,2265784390
141.060608112,155095601,101286013
141.273427093,781886,849218
