time,L2 Read Hits,L2 Reads,instructions
1.000265155,8261,31864,559811
2.000587797,177574,439015,17768059
3.001043632,9236,34868,652466
4.00143974,7119,29088,553035
5.001745902,228892,593457,44521412
6.002033187,108940,268906,18961756
7.00242138,8485,33219,544871
8.002822811,6251,27328,487638
9.00313543,8088,30341,502104
10.003426649,6009,27254,494181
11.003803054,6647,28301,494236
12.004148359,8460,30675,488900
13.004560569,13142116,21677081,1522086482
14.004997519,69592779,104712242,6011851829
15.005321754,44128142,79351618,5028737538
16.005706127,52138492,85190145,5585388327
17.006243844,2925930,5386575,443345093
18.006790551,8359405,18094974,1351526995
19.007376246,154789362,259402145,13661259574
20.008000527,273178316,426647628,14298171492
21.008618219,169723686,315922847,15685469511
22.009240666,208507415,363732767,14702104704
23.009878603,180951365,293185845,14913813251
24.010539205,115373416,225926780,14080364771
25.011190749,90435054,202625565,12758435817
26.011827572,222943087,367617710,15052891124
27.012446821,153902503,268970337,20119142930
28.013075905,142315157,217243891,24684350365
29.013697896,143808268,198481105,24333713540
30.014319442,75887326,116974822,24965194921
31.0166162,109924838,164038497,22713382774
32.017151387,24616487,43383684,2826641949
33.017752984,188847345,298752294,13141567514
34.018393095,200252888,351359646,15141277978
35.019092756,212375899,349425289,14926525178
36.019654648,213773705,356899460,15274388057
37.020266094,171514791,300861885,14834137133
38.020906141,115645162,225283756,13877945584
39.021562664,144018937,281358497,12859372488
40.022200778,152327151,270926432,16962041089
41.022799802,156762496,258996643,21189858084
42.023440174,151680456,235265917,23674221239
43.024073352,109283364,161059223,24965224541
44.024691895,88843961,128008584,26674722244
45.025283815,76763336,125765345,16710377504
46.025843416,145771804,228108684,11661046878
47.026437888,202961078,348929712,15243073952
48.027030959,211136007,350986211,14864405723
49.027648689,208457665,348811674,15191409030
50.028263213,186791952,323360499,15074832801
51.028895451,132921069,248129082,13900033954
52.029539348,131097745,243482735,13431451260
53.030183586,158929238,260755830,17545684636
54.030705588,121721641,190074341,22097544392
55.031327862,72113912,109366208,22484101947
56.031922319,58346293,93751908,18618670613
57.032513032,109097565,166950321,9758879546
58.033131065,170716271,281412316,12954954532
59.033773415,164922180,290546714,14502382951
60.034426778,193692944,325708718,14740479115
61.035079121,138140364,242097965,12841801144
62.035726595,131992537,229855719,14436405452
63.036381133,113703646,196011435,18082683076
64.037011581,106609504,168565214,21755624829
65.037545198,77031684,124520904,21373961273
66.038044968,47732946,77840421,14239898367
67.038644567,129629555,204519077,12832472166
68.039241235,184923791,317248278,14317414017
69.039895549,170647042,284892660,14117316289
70.04045036,161842434,279148097,13309128718
71.041051524,129214926,214547403,11619869794
72.041678862,104447051,175102643,13519000536
73.042235592,101011584,163707688,17811735606
74.042766912,68570045,111528415,18763407349
75.043357566,44989862,71485013,13452102827
76.043879564,89900536,137519022,10926844265
77.044484933,136192829,216282759,11068448018
78.045107699,150223389,257833655,12987542506
79.045775107,147705487,254253092,12624269181
80.046426936,93825916,171551349,12779115051
81.047071842,107837701,170772865,14984415959
82.047730096,92952546,149426619,19228479095
83.048237976,48736974,78867482,14932809006
84.048713865,24482475,40162155,10654634243
85.0493159,80639553,120823616,7018449231
86.049913927,113935965,184365205,9175743470
87.050584469,134540047,228539092,11991823887
88.051234032,153165395,269165672,13170105442
89.0517693,108120329,189467361,11316938835
90.052395798,109547919,184156098,14157441697
91.053036536,96985154,153344866,18415050561
92.053667559,71578490,113831465,18993021353
93.054179118,28598466,45703704,12298444652
94.054740118,79501609,119837596,7075042456
95.055238346,75907375,123053301,7044756211
96.055854071,88703394,147514282,8811826921
97.056488978,184669312,300350449,13361885553
98.057018365,113246610,190202506,13431957965
99.05754573,70697583,111529840,11091717941
100.058155489,12296257,18568949,6192840971
101.058709508,24479530,46349254,10110603738
102.059251055,14795765,27031370,7211222474
103.059865721,12402018,24576570,6348020191
104.060476091,21927938,31658170,7234285805
105.061021797,26704674,37991720,7163923081
106.061562938,9606280,13924655,6863469630
107.062073494,28392650,41926414,6219114600
108.06268378,100993683,155453875,12821203715
109.063303905,135616795,252344161,14610752009
110.063939542,216202947,371846383,13904044570
111.064626703,221144546,359649460,15541507421
112.065229277,215725338,331299785,16982986669
113.065770066,160219533,256315850,12709983072
114.066336187,155271576,273140262,14153613476
115.066890582,187691752,303019797,12877163060
116.067344291,103970779,164620840,13122578239
117.067896504,108918065,172290747,7786087995
118.068453354,116409927,174236580,11913907603
119.06898246,26133913,49289209,1841332255
120.069415112,556899,1292758,68317706
121.069906635,9893,37737,722319
122.070340763,9799,36914,719809
123.070828457,231100,579754,36799522
124.071229871,9586,36855,718269
125.071679182,474352,1151213,77214915
126.072018872,30593826,49816408,3571510097
127.072406553,82557284,126497703,6783614260
128.072769457,37759291,68303505,4899286971
129.073313056,28569897,46628790,3150844372
130.073873877,322173,932994,79873891
131.074287934,15367894,27735555,2256753838
132.07474139,78999813,120807077,6505205930
133.075148996,60392916,96786743,5950593694
134.075690517,10024058,20379882,1343256890
135.076254405,489721,1045994,52844665
136.076658481,19613432,32523019,2439015595
137.077054966,91850289,149149117,7001425924
138.077455417,55525116,93301131,5538275971
139.077842615,40562699,76932399,4610108087
140.078405266,1184213,2160773,121487396
141.078958708,1111578,1955065,111104098
141.328888993,2197,10545,121393
