time,L2 RFOs,L2 RFO Misses,instructions
1.000270093,10374,4392,566650
2.000687186,185675,116315,17828005
3.001127416,10076,4450,554011
4.001540148,262711,98894,44650391
5.001850604,175027,60078,16621208
6.002150901,9332,4277,539106
7.002463216,5925,3983,497401
8.002755398,5663,3881,498191
9.003061469,5708,3722,487185
10.003464218,5757,4107,496317
11.003847435,5667,4002,499763
12.00417813,7172,4759,599727
13.004577504,6386081,2098588,662277717
14.005015848,74379878,8970118,6148543274
15.005432744,42287403,9979325,5234687450
16.005785973,48722030,8887655,5081256012
17.006305976,22030444,2426904,1464426440
18.006821013,1834157,287645,104790412
19.007411144,165482205,35148748,12859410158
20.008009181,232579598,31972961,13709559810
21.015288062,100361507,28663734,16040979059
22.015922416,129562571,29119244,15091046782
23.016559829,184000169,29665297,15267570029
24.017201927,131257982,33708169,14198078739
25.017859037,121791897,48081207,13505844851
26.018480292,270056488,53521794,13599828096
27.01911941,162174840,36961454,19868274642
28.019759023,75038821,22382574,24300245263
29.02037637,70320719,18738182,26277745350
30.020993612,58607766,18699300,25926791497
31.021606746,107492866,17364793,22521825800
32.022896006,137143735,17776326,9401475206
33.023503745,138802220,32385787,14551356294
34.024116209,203751768,30816100,14521094370
35.024751545,142101007,31811848,15269749806
36.025369177,132355404,33259600,14879091983
37.025989778,155338714,35678289,14313672802
38.026663058,189819403,40820215,14685577453
39.027331464,129555280,40030098,16464018469
40.027955243,172478797,37810865,18751762276
41.028601455,128470621,29421654,20918039338
42.029257778,75447303,21012861,24808948236
43.029855894,83685909,18562695,24943323595
44.03044554,89236706,18276203,23454187538
45.030932788,138445618,23901368,16483877856
46.031475475,165665492,28959331,14703689286
47.032060876,173012015,30627110,14701974090
48.032686959,161628866,31171259,14688395322
49.03331981,160613152,31993803,14527649804
50.033983274,154665315,34717237,14360886844
51.034618003,165944411,37440185,14423298719
52.035274144,160046260,28512278,17105065150
53.035907952,90188848,20148916,20497136280
54.036444769,57278231,14874875,23465202896
55.037063587,58601480,12399621,20367194162
56.037530453,100896490,13029591,9748928598
57.038127218,139558220,23206014,12255461367
58.038669649,155129473,31153827,14663736740
59.039307976,163608118,30585897,14704195851
60.039964652,145979507,27736811,13200209002
61.04059807,136660509,32149568,13813324942
62.041240162,128900261,25479917,17052283308
63.041891534,96114249,19124451,20715707514
64.042483576,63542810,16100353,22323559297
65.043287559,53819699,10977427,17827127050
66.043889044,114140799,17359535,10169648102
67.044524905,136227394,27545043,13513957679
68.045156064,162017005,31493534,14840502322
69.045777641,148230594,32604645,13548002140
70.046403564,134429918,27657061,11823392992
71.047043837,118240400,23691320,13503119839
72.047684388,103178064,17538069,16640505041
73.048313721,57649011,13502025,20543859240
74.048866786,43324294,10412510,14661168273
75.049423815,85209453,11297584,8690277138
76.050027839,112965992,18010985,10748955989
77.050661336,134582082,23745078,12183880155
78.051208823,135329417,26709274,12919349108
79.051864959,135942139,24456412,13651831324
80.052500066,108203839,21416632,15273781356
81.053103926,89970644,14126266,18970062244
82.053617867,48497492,11462641,16148969119
83.054090592,29214000,6865908,10817619989
84.054566327,77737336,9297217,6231376645
85.055120455,102823386,17927731,9845812890
86.055756313,132004892,24235516,12058989700
87.056394569,130195191,27715627,12884628318
88.056949709,137523607,26031684,12956717445
89.057581289,98797636,23020680,14075845139
90.058168178,91513695,16520242,16702901731
91.058783712,58519869,12827328,16181579805
92.059265391,33027823,8225285,13333434365
93.05981976,79872323,9950881,8295866360
94.060412375,70265213,11039896,7932664952
95.060923196,90570268,16809617,7546694125
96.061596379,143014209,25605553,12127621039
97.062255276,120698557,22519447,14819145178
98.062808407,70896176,11019473,11311391407
99.063334825,11163634,2705089,6392184306
100.063875761,15891444,7103322,9045503993
101.064407969,9011035,4187685,7904786040
102.064968928,1995351,423126,6400795147
103.065506944,16002121,2677305,6750873647
104.066018885,23440560,3617270,7451579539
105.066544012,8164219,1949044,7008800415
106.067037001,10141296,2270582,6219766719
107.067604047,75181753,8102470,6258377387
108.068221979,105429064,26626891,16417244595
109.068869023,167449995,35895381,13250634779
110.069500345,166755918,42586836,14085581108
111.070140503,98110067,24547592,17152902202
112.070615982,88166993,22068316,14298703560
113.071156149,113288159,18080501,10593880148
114.071718149,136031381,30153207,13766486433
115.072278105,110353899,22905060,13352202146
116.072689556,63224037,9454849,7106282844
117.073224415,72326487,13465426,7468880651
118.073662859,75665970,12278568,11688886610
119.074198937,30431161,7717961,4692455670
120.074579076,1305123,309760,69593800
121.075103222,16303,5637,776734
122.075525886,15484,5330,815429
123.07601239,164629,97220,17987612
124.076424198,17038,5962,851045
125.076878535,494391,159175,76690787
126.077217312,28779084,5361368,2459101410
127.077552609,68514683,9969646,6092440568
128.077879227,32371807,9287141,4063384992
129.078273486,57602553,9162260,5510028849
130.0788386,2569801,491614,371562628
131.079254349,4268799,1099333,464698850
132.079667856,68934510,9310966,5719973687
133.080074457,61471840,9757806,6495488942
134.080635133,38805944,10634501,3484427541
135.081211008,1136055,191699,56961282
136.081625869,7278222,1401122,642922118
137.082035142,72900470,9524916,6439324729
138.082424544,61814188,8796999,5807023463
139.082814423,29670875,7111217,4537382158
140.0833043,14949134,2794420,1679419726
141.083788276,963286,247439,87337112
141.49926184,1474282,72461,40073249
