time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000275185,97742,44580,568300
2.000670377,876162,327597,17786091
3.001071041,96139,44948,576211
4.001511775,92167,40840,558185
5.001853867,1069521,403327,63655412
6.002173103,97352,46888,555133
7.002472247,90608,44899,488153
8.002765044,85738,39242,489651
9.003077958,91342,45145,487595
10.003367144,93204,43311,601434
11.0036783,89218,42043,494728
12.003979725,88102,41146,501915
13.004381546,13271220,3754500,623720555
14.00469842,59973302,17267784,6186622299
15.005015101,58428138,19251912,5183547469
16.0053723,63286247,19433107,4946250911
17.005904187,23281369,6634699,1593994727
18.006274192,741585,277079,39759431
19.009031215,257313744,75282156,12729848551
20.011230958,245559646,67694306,13510116202
21.011850146,166663586,55331291,15812845322
22.012482707,235106325,70279730,14576233589
23.013099001,220827596,60707437,14958457587
24.013723668,255108294,84077631,14530259723
25.014364373,257228449,88150641,13107104487
26.01499448,284253380,78541985,13780008490
27.015622703,251323640,72762255,19860204264
28.016237185,184187593,46968221,24522380071
29.01685345,178253014,37595198,26300315061
30.017465998,180890904,36939439,25771816622
31.017989172,194577225,41023533,22429227601
32.018547409,217055669,64736654,12621173140
33.019096878,217565094,65099786,14733965237
34.022169138,244188457,74658235,14816059458
35.022766916,188700473,53123241,15172806390
36.023387571,268672976,84066455,15037561977
37.024023166,240943514,76753895,14252135667
38.024681706,270583678,86849348,12872953624
39.025313816,266792528,76073016,16948894969
40.025927365,194495097,55827273,22725066650
41.026554934,143333332,34536411,23615537083
42.027175217,139881515,32737897,23842153973
43.027721962,128006709,35039329,20045243036
44.028277899,167721246,50467005,11453107638
45.028866751,201166991,64721544,15219679963
46.029505188,218321632,63895094,14668443591
47.030148032,251638215,76071459,14399050152
48.030786588,217197438,68626463,14447424170
49.031417535,252586392,78596992,12790095837
50.032068214,207700009,60690283,16140093159
51.032716501,157944262,40153146,20567931190
52.033352257,104355452,30675498,25277327718
53.033842494,104292134,30836378,18737539459
54.034337924,125344216,34810515,11033145774
55.034832551,197115614,55288578,13041098451
56.035444159,206055439,61613253,14965527567
57.036077494,209642262,65995178,14251043745
58.036717281,214002337,71372918,13425082971
59.037296288,198693156,61905706,13527814358
60.037963288,177829106,52716960,18775894211
61.03860626,162383725,41147708,20723760449
62.03925292,123987124,29289244,21843424288
63.039772343,68485678,19890498,15329609941
64.040209157,83836208,26605057,9678774846
65.040802293,166813875,50613120,12584448937
66.041401714,230076447,67739872,14087030770
67.04201881,191444027,57029969,13704406084
68.042657841,168930378,54151528,11607040460
69.043290145,158669015,49665117,10673720082
70.043914133,146263751,43649933,16524467145
71.044537691,100985870,27065000,20550052694
72.045065307,81051520,23802953,20038944471
73.045537738,81422392,25601069,9940141451
74.046151989,123215277,35397962,9592559269
75.04683604,177713400,55515324,12674871173
76.047407842,183318216,58748630,12761316604
77.047972741,162011807,48248366,11024227610
78.048622296,152709768,45318611,12897558042
79.04919848,129880530,35625289,17826335723
80.049703612,101170566,27508440,19964966819
81.050202606,47173324,13180050,12430069776
82.050792126,66068254,19739851,7759824412
83.051314144,118700566,35704849,10275188409
84.051963376,170787848,53221578,12369295347
85.052607896,172317168,53516386,12594377807
86.053182455,173004393,54012384,13372527107
87.053710675,142007716,40646223,14371195604
88.054316193,107815444,30403473,18467104233
89.054820749,96626820,28868403,16888565491
90.055303604,39237396,11761381,10564629180
91.055799634,61402310,18788968,7763103922
92.056408465,117581433,35833751,10182979238
93.057008777,122633422,37428609,11382065559
94.057543936,114993082,35058516,8063363409
95.05816727,153091338,47131834,11363378028
96.058699455,179431782,40185824,15982342724
97.059236113,146248576,30184277,17193384092
98.059734717,67683036,11090012,7894013707
99.060247193,88899041,16635253,11067475268
100.060802516,101232071,24326126,14907788959
101.061329609,51129524,16943095,9687715091
102.061854043,9961317,2599594,6269176440
103.062395638,21932079,4620692,7077990399
104.062927933,32274679,7019752,6961323855
105.063501816,19247729,2930619,6932631815
106.064114338,32889265,9155835,5611447210
107.064712928,194364512,57771162,16513771222
108.068241154,267651832,87539394,13234933418
109.068876173,320979772,86742137,13777354557
110.06953361,500160610,74898826,16832047604
111.070041253,372306061,57752743,16119507023
112.070443051,140414472,41865213,9644009166
113.070997076,190984466,59502406,13535755983
114.071444225,229007619,56484575,13183188598
115.072014207,141880452,34197735,12214899009
116.072576137,114733150,37690433,7722873666
117.073126654,224215409,26196846,11595587281
118.073673334,17707954,6578553,2475004897
119.074071637,2146057,795237,88163276
120.074557066,123246,55325,835674
121.074989903,111002,49747,724586
122.075529254,891499,332956,17976598
123.075947695,110669,49565,715319
124.076416072,1221206,450004,77811699
125.076784325,48020500,14244446,3548197100
126.077105882,59284162,18556422,5926345821
127.077438108,57849838,18727645,4154218949
128.077859262,54904627,15494277,4599283143
129.078401187,4082672,1427933,292611239
130.078828272,21447625,6873602,1503536263
131.07931174,61205815,17802940,6550380185
132.07970253,57245814,16754695,5772213888
133.080237751,31665032,10975426,2477607637
134.080801318,512299,188768,19403529
135.081237334,19419091,5985481,1346699483
136.081643506,58045627,16948294,6458207631
137.082029049,57886248,16882199,5854925860
138.082520475,59355764,20358695,4622733740
139.083012323,4982815,1868852,675317212
140.083513391,1376515,488596,64497049
140.503194647,1737041,605537,57914368
