time,L2 Prefetches,L2 Prefetch Misses,instructions
1.000275981,38514,26976,539815
2.000604118,33017,23066,535189
3.000918063,370243,285850,17851611
4.001360515,370252,267836,44697824
5.001704612,173165,119356,16449230
6.00200633,35482,24754,618191
7.002301965,37929,26520,479543
8.002583911,38035,26173,478582
9.002914875,40828,28569,495832
10.003270591,39611,27861,555727
11.003561509,38066,26533,470996
12.003882769,38536,27119,486804
13.00433525,37843,26715,473840
14.004768305,11893479,7170296,1094308777
15.005091865,59547413,34640528,5986272331
16.005422205,43073724,28643361,4487460248
17.005799187,48295079,30257002,5180630425
18.006173482,15289692,8738658,1817594980
19.006652817,233964,161995,29473870
20.007248116,89702017,58786993,11786901488
21.007858711,109555485,68958140,13633368361
22.008458713,152551090,100819778,15707259850
23.009062648,133561434,88189214,14920123718
24.009699365,131204531,87540652,15334355717
25.010339703,105950585,70743955,13905983370
26.010971839,109113587,75199253,13317022898
27.011612992,95683381,59838569,13414645943
28.012242014,90592205,60168997,19782091384
29.012859446,95362372,63426004,24356095564
30.013485594,100409869,64431477,25941434454
31.01413128,86754370,56791955,26282033475
32.014735781,93029146,58479163,23246983485
33.015273438,88895789,55507312,11124264620
34.015849835,139484195,90570421,15011740894
35.016444561,120235445,78379424,14473131784
36.017043011,135323891,89196033,15520834278
37.01945027,124193432,81986932,14817601578
38.020099528,124926971,84719358,14682862136
39.020795952,102576711,67134430,13852249880
40.021466137,96510040,64773557,16999523560
41.022140329,93714871,59304203,21427954517
42.022761164,84649725,55842195,25065118147
43.023381685,84460870,54455107,25068611446
44.02383436,53610978,35010149,17971446507
45.024301791,85597061,51881313,9867441980
46.024901718,121638615,78867906,13767163983
47.025526525,127797522,81547004,14814728008
48.026166174,127785204,84314354,14767962900
49.026813996,127267986,86425153,14619169721
50.027457668,109109340,70643654,14143629164
51.028092268,99323044,66375786,15747380047
52.028703624,100681425,62908355,18681195084
53.029338102,94254801,60660395,22071417021
54.029976647,85331115,56182375,25081302846
55.030566936,67200074,42707049,21444364722
56.031103261,73897803,46155990,15091367026
57.031685234,107478412,67898801,12466537562
58.03231419,126908306,79627264,14773761315
59.032935995,133661984,89135277,14836031553
60.03359134,126149752,82708272,14282716276
61.034236958,103020997,68154802,12658023721
62.034903577,100517928,64284923,11725982054
63.035546174,96446868,61118897,17209208043
64.036165355,91654400,59664012,23281672986
65.036688302,65268369,41782555,21848911298
66.037217936,53549586,33734515,18147495796
67.03788038,39826962,24797239,5266222899
68.038487778,67577851,41853829,8118167790
69.039127969,136758653,89302988,14864191585
70.039762946,133496757,87516407,14761431303
71.040414986,112544761,74800222,13370439455
72.040965338,95768685,61473704,10978477612
73.041618816,92454520,54262442,13191953773
74.042211999,80497715,51197624,18976505081
75.042765357,47859265,30873191,21181851565
76.043245246,44387939,27459239,12105744104
77.04373859,53641271,31571055,6372239039
78.044331805,106100746,64277287,10445638614
79.044979436,113485439,71589708,12435044254
80.045524815,118990966,75739801,12497151751
81.046154265,98280238,62814828,13268099541
82.046822615,89280890,54977954,15854872806
83.047448412,74098880,44388763,18636098245
84.047947041,52612907,33698925,16191335905
85.048435147,35380161,21111490,10800372497
86.048912266,48223799,29083650,6891620861
87.049537604,95358363,58552722,9945155751
88.050192258,106321416,66964056,11580604146
89.050848678,117698321,76056062,12849446224
90.051366434,99046023,62042094,12286356727
91.052013671,89205367,55007325,15047044510
92.052551157,75742803,46430598,18784195887
93.053074308,57283425,36615270,17252043024
94.053582336,36464284,22363498,10760111887
95.054060032,45070335,26884473,7317302933
96.05456298,85163173,51283706,7977901746
97.05504993,60264822,37147510,6810163095
98.055685042,100773821,63311548,11146128671
99.056320021,116656810,72884843,14277856508
100.056939541,77274058,47649351,11784801204
101.057586499,15070789,9249622,5931781821
102.058229591,32002030,23350361,7304042931
103.058800592,55215698,45613803,8722395804
104.059354141,30941163,26420292,6538867503
105.059881498,21559018,14837185,6485050586
106.060392681,28876726,21666361,6909292144
107.060923163,21605621,13059197,6457168791
108.061447117,14914611,9144846,7020011758
109.061887847,21767538,14105760,4388414734
110.062399327,81846402,49779371,15792404391
111.062977215,107394153,75332641,13357734114
112.063600079,100451269,65335584,12970629249
113.064258059,154524068,89834924,16960724217
114.064879173,156799201,97385849,16646921717
115.065406902,98119420,61542526,11159109302
116.065938124,124861343,81352813,14425401790
117.066512197,116847139,73783461,13200642059
118.067063786,78374114,45697295,12041604374
119.067598046,69631964,44974118,7711199332
120.068138962,81664236,47904800,11617495253
121.068678297,49297498,29288107,3851944642
122.069070718,764872,486233,62035265
123.069577492,523048,353463,36507850
124.06998126,55188,39232,728533
125.070366518,58174,41531,791479
126.070847865,381266,233855,18009598
127.071310996,755487,549269,77910659
128.071680422,30035250,17758313,3130659551
129.072038634,75311970,44224727,6904914120
130.072383527,40015606,24745964,4496563628
131.072926284,35308815,21804375,3632620107
132.073482126,2516123,1692825,308103172
133.073920699,18203471,11322092,2157892760
134.074403219,67259057,39947053,6560637763
135.074797061,60447726,37725831,6094358139
136.075351998,15673215,10031365,1489871411
137.075932089,284496,173453,19450921
138.07633828,18788180,11176939,2127787158
139.076732144,76005276,44982711,7059648715
140.077144967,51517095,32228359,5440463263
141.077586086,48350549,30590158,4358458878
142.078113502,1500060,964700,124123001
143.078525089,1006936,614220,88052843
143.327299991,14782,10484,216535
