time,Total Resource Stalls,cycles,RS Resource Stalls
1.000373449,5440767,39414304,1727811
2.00070445,393816,3638310,254492
3.001128438,391104,3728381,247952
4.001571493,3565278,24995396,1567263
5.001976165,9291655,48886691,3935951
6.002297669,6275971,23966728,1802429
7.002701142,416952,3707015,256373
8.002990358,260270,3246581,164972
9.003279379,253918,3105333,154479
10.003575136,225268,3038444,146978
11.003863534,253889,3134866,153347
12.00416052,340538,3449097,184753
13.004582948,172458,2713644,118785
14.004948909,425932839,2624340479,210937245
15.00537741,1243608130,6354863106,677444964
16.005735445,746861738,4327537017,389832327
17.00626501,746530633,4272830812,404050465
18.00682337,81490190,403670039,44159522
19.007420504,806276288,5295468164,332286890
20.007996216,3226174057,20728694880,1099814055
21.00861659,5133810280,22225737491,1821344604
22.009233391,5866967770,22188393511,2010622279
23.009821796,5542154755,21850297280,1978388626
24.010567269,3594862340,20872206541,1287265287
25.011197324,4104914354,20679603947,1576910103
26.011837954,3694831909,20776587618,1457476757
27.012467335,3966521459,22167341490,1493333027
28.013099477,2001846247,20326181074,662371386
29.013726676,890568291,18099760822,326964014
30.01436686,1147459541,19172110946,421106731
31.014997871,807065550,18098093717,292281448
32.01562197,635109126,17429171132,231671287
33.016253398,635882451,17372229618,234453820
34.016880461,1760363672,21189193823,427033982
35.017503836,3026657836,22142568068,480943734
36.01812815,3904739631,22179057206,654576207
37.018726201,4524712326,20981965070,782897858
38.019331226,3750085277,18055508480,1536436253
39.019936444,2049676232,17410361480,1198901527
40.020553809,873728715,17733174779,402198464
41.021188897,580340471,17642478628,217565102
42.021806892,1394419210,17175079666,361483910
43.022408103,4030354021,17573215582,819042574
44.023008437,4018794392,17413588636,1240644683
45.023614327,2955871903,18102095236,1622277964
46.024137877,1697633245,18984522456,776086708
47.024746663,1475298697,17391347006,827067102
48.025264377,1299109810,15853003962,728145377
49.025740537,1706070993,14223565895,938812958
50.026322294,2090920674,12136218343,872157997
51.026905726,3810760092,21298592980,1326578683
52.029736564,5254990588,22252582282,1843366588
53.030384265,4997806348,21994444415,1780332995
54.031023678,5403612793,22189210015,1785216456
55.031663724,3833038016,20885671664,1536627730
56.032253393,3662258812,20953270690,1364982857
57.032879923,3528941603,21047181684,1360735123
58.03347113,2710703341,21679593279,987419923
59.034034696,1393758927,19421444892,492179563
60.034666863,1066073530,19369242040,371153371
61.035312786,818387696,18439844785,299641361
62.035996779,693435096,17739654817,250495077
63.036626063,855643339,18807054277,239197187
64.037262429,1708201762,20764337066,437628874
65.03792665,3128837024,22061762922,597663613
66.038557827,3578791834,22124213482,673451680
67.039167387,4008401047,21818791837,871438471
68.039780221,3938555092,20452236738,1109148767
69.040393482,2771563023,18171511223,1337971525
70.041025162,1391847226,17646967762,699323804
71.04166482,835930553,17566774129,362641617
72.042292254,1805003486,17545643694,450608154
73.042925003,3240505653,17751000582,680922733
74.043530136,3447184337,17727091612,1197619376
75.044160651,2951527257,18632383879,1381674029
76.044778194,2135850809,18252517174,1054704982
77.045434982,2002380841,17360069477,1157653575
78.046024813,1827040606,14949821625,1101577195
79.046587564,1641906988,11464705912,815378581
80.047040222,2653402024,16632009371,1075474749
81.498172274,5285763544,23040954680,1949792772
82.498665888,4358798461,20256960202,1578447215
83.499268674,3614440493,19858889656,1357479587
84.499876439,3937280405,20341120816,1557396546
85.500517261,2235604541,13093904067,932570429
86.501119277,3864056041,21931522215,1382651586
87.501742432,2585830971,19453676515,928084244
88.502384692,2572829010,19664963183,934722165
89.503018465,2016293228,18130622030,754471902
90.50365331,1221798994,16023892421,478271044
91.504280122,803413595,15443934649,349919013
92.5049074,1606561973,17766003759,494960489
93.50554933,2574424344,20268074833,525701540
94.506189048,2718598700,14832374602,911989174
95.506825776,2968187722,15097420696,1328752075
96.507451214,1818185484,15421680165,716079752
97.508086249,1347358614,12439122439,574397987
98.508629872,1949197617,12192540650,734981488
99.509243596,2384908805,12080803510,887903277
100.509876727,2299894242,12899322879,1169839797
101.510499153,2174536397,13114332645,1163133046
102.511116649,1766562673,11998618232,890763300
103.511618387,1351026029,10325073042,756270531
104.51217255,2359580942,14177743922,1230036228
105.512627526,2138660794,12292663399,996380805
106.565623416,2868440029,15366449326,1218590067
107.566190318,3139701224,15953920105,1244619367
108.566796377,2889626078,15003741853,1222133242
109.567311019,2475184453,14914479144,1017544716
110.56794682,2087507681,14288275197,869857473
111.568610374,2276462683,16183579289,901520715
112.569270538,2414404820,15840180342,901613510
113.56990895,1855711159,14672257686,860506595
114.570555897,2144297527,16064731652,821046196
115.571105547,1313873464,11757251509,402806120
116.571737584,2151179794,13592961418,752200790
117.572358327,1537133906,11609472446,615344093
118.572900589,1189886669,9712113287,554497361
119.57349225,783353445,10285135457,357815902
120.574064673,1689606266,11725890405,557469814
121.574592441,2246037250,10512308251,923057618
122.575111838,2472384281,10737319440,1170559955
123.575712693,1427633183,9355996306,853967584
124.576290875,1008181850,8614311737,631148543
125.576781495,1402103683,6424069688,742451904
126.577377921,1861618437,8715619891,940889203
127.577995578,2035476900,10792759266,976989466
128.578551282,2364830256,13272520425,1070724717
129.579086452,2845746377,14453147540,1269088118
130.57969411,1640270350,10390783382,751073983
131.580218774,1903206991,13281546803,824738306
132.58084403,2089986128,14305854487,849430217
133.581490976,1275200758,12126840118,542324400
134.58214299,1681978896,12919076260,602091434
135.58265278,2164572986,14299424856,769060172
137.268803577,2213606039,14605287047,1030124971
138.269471211,1486592543,12079611331,523966522
139.270034553,1070977672,9113297700,441770688
140.27055005,1386796127,8805093612,640689699
141.271171858,1899779362,11104159616,774905430
142.27176401,2122505006,11392214780,958457093
143.272304672,2460851379,10770006928,1125594148
144.272816055,1744252655,9808365546,929977267
145.273289126,793005089,6899279564,463882755
146.27377617,1008104800,7008514607,557653368
147.604363356,2645539560,12292777444,1157657402
148.60496429,2645451635,16393182010,1298215077
149.605578311,2419146306,18127022782,1186973025
150.606204986,2842840065,15979658987,1271460257
151.606727046,1767090618,12089153688,911035121
152.607347236,1036725929,8372695069,493356575
153.607942923,1460013753,10866796088,646712424
154.608565694,1203976583,12358680270,504775404
155.609185923,2659293223,15981130978,1000029261
156.609702089,2484479529,13655865676,923563097
157.611729645,1906068865,11577673229,864627658
158.612326202,1795646748,12872805365,766700005
159.612990464,1545400170,12376483995,514940646
160.613525217,753041464,8898660053,148090109
161.614077878,1737500814,9331515355,804643381
162.614703316,1277835827,10640778906,625477556
163.615318356,1807586219,12212259020,838276454
164.615835711,2072059430,9853415472,981536708
165.616323499,2195681770,8478960994,1060702669
166.616811543,833825398,6717418718,443301071
167.617425412,1484303843,11422381301,772642356
168.618038242,3093022336,14185357073,1347813806
169.618651277,1750056199,7670194567,827740650
170.619140893,1606008497,9537276593,872262034
171.619700965,1536847063,11933867903,764598011
172.620205915,2040967911,13031184421,926101690
173.620717991,1550822311,9613431785,631764782
174.621231304,1737972038,12466883669,739264508
175.62185636,2686490325,16447332629,978315487
176.622412645,2365183021,14444028352,800101999
177.622955102,1750428350,11030814019,777853323
178.623460379,1564541050,11447252011,790985742
179.624091531,547526274,10462131549,233273359
180.624695429,1176201096,12796679580,319716922
181.625292581,1689391908,10489373224,584775872
182.625929599,2165542055,11229482676,1030726658
183.626555898,2047164654,12370114420,910502444
184.627117155,1764260841,10071937221,858738134
185.627612419,1604439053,7949696587,813125912
186.62810615,1448471804,7945015083,597653351
187.628642067,1642375635,11704007603,787183884
188.629257362,2882597344,13311005419,1233433268
189.629900429,2245057135,11407909104,1154245265
190.630546378,1541321331,8353983734,819277815
191.631174818,1692443751,12128986054,876217909
192.631667743,2658443732,14139703507,1055644624
193.632260348,2052260012,15481930901,1058669799
194.632888297,2087097714,16826401811,1007556113
195.633504383,2606782971,16615277321,1052544624
196.634102864,2263176932,15036984009,822757984
197.634721006,2709106508,13177234803,1017876527
198.63524472,1821941666,9346805621,831496714
199.635877209,2021554707,12191739662,788156473
200.636513565,1580913913,10446751911,712309010
201.637046382,2459845842,10597526267,1048282741
202.637569957,1589625442,8921717847,670822900
203.638199946,2199045766,10403980567,1196660972
204.638724854,1474900557,8857746206,965193291
205.639207627,924226587,5756522274,544830737
206.639666073,886180256,5007812770,461536775
207.640263396,2613312048,16065282074,1164036140
208.64091936,4333417804,21471559331,1654105617
209.641563377,3634150904,22088254101,1313538976
210.642206514,3151867172,22067624140,1126599223
211.642800076,2397608153,19848973999,940049000
212.645370884,1996124995,19966420936,869842873
213.645998786,1849195245,19409754190,847089192
214.64664903,1619495682,18118881278,819032617
215.647307902,1470704673,18002318509,797756177
216.647945619,1353884631,17856039814,716300224
217.648581743,1487920503,17434156111,789816141
218.649209254,1655075793,18723989721,812617192
219.649822262,1756261425,18116652497,916752591
220.650507327,1412232823,17210957434,813520408
221.651162588,1657194891,18476283573,832073600
222.651794088,1606965769,18512470282,837276062
223.652431236,1575569089,18655479941,787666485
224.65308847,1496961810,18828634784,743311030
225.653732758,1397350836,18470493369,699096927
226.654375898,1161081472,18361173913,628930606
227.654903637,885773839,16502815714,512285166
228.857187279,1166585466,20798757387,664743086
229.857821465,880104375,17432200297,536636034
230.858461092,885262597,17283341112,525957293
