time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000299016,54391,3317499,15073
2.000618218,1251294,26650900,644218
3.000956299,82095,5727485,61023
4.001392528,54532,2836999,1288
5.00172908,2184931,49237431,1374669
6.002040223,1099237,24902115,1832924
7.002332057,111351,3586619,20657
8.002624645,20638,2972836,10393
9.0029128,20184,3108846,14963
10.003204356,10709,3045148,11592
11.003520135,16031,3190998,21785
12.003914653,13625,2985920,18283
13.004253771,216781255,3596327702,27183470
14.004566037,304624641,6016024953,52941340
15.004911054,225545969,4792447930,44945061
16.005448433,151296349,2820621959,21072321
17.006004387,24492004,402963120,4637052
18.006616991,569649654,10162163848,41327340
19.007198831,1246354826,21719887905,88174215
20.007802458,1063279582,22151655398,188574051
21.008441461,1018590103,21848182589,227030155
22.009053089,1196735240,22220444949,219656274
23.009676247,928883521,20199632446,113015410
24.010303686,1007792190,20485134443,188387769
25.010957312,1318973377,20728137926,108445325
26.011606662,1198661989,21864639476,69794958
27.012247717,413601053,18954806614,33190098
28.012881624,381630509,19132619129,26150338
29.013500252,325436717,18512418607,18076039
30.014128154,250383329,17488038486,14336700
31.014765177,252578536,17402582501,13783453
32.015431885,360574477,19823444632,61382057
33.016034987,374317268,21837743293,184268607
34.016652432,321878296,22139746449,321027445
35.017269471,255550113,21903778338,344401426
36.017862298,254569740,19994881216,528056030
37.01847775,370566652,18064684744,240846260
38.019094432,263168087,16933431035,93557062
39.019714594,276155735,18135352892,15518010
40.02035655,194367186,17163571946,92589731
41.020975081,107298769,17337004772,421241308
42.021588628,136336832,17615886471,671669014
43.02218137,300655979,18321828160,311885313
44.022787943,393107283,18034383907,194748262
45.023409898,497094668,18781351705,49029996
46.024032439,341017322,17330088341,45172030
47.024581381,370370542,13755762164,87413653
48.025131318,536757438,11141318954,76181514
49.025727857,1038049207,20358380621,111894708
50.026343415,1132823530,22043578223,165825356
51.026947184,1124728568,22215157358,189915005
52.027562574,1028233648,21746064199,155602437
53.028223147,1058445540,21475082955,180586960
54.028857756,1119541267,21862878075,132666668
55.029579783,1156248474,21216321031,100323278
56.030258646,919682278,19953816618,51423400
57.030891067,388693392,18118811663,31875269
58.031482308,292297360,15617699120,16878078
59.032022479,227782528,15910688497,22699598
60.032653415,245827791,15317038865,19841113
61.033287199,349696667,19254852939,109255815
62.033925091,362056798,21882263362,216675091
63.034554575,360544444,21496536775,325430465
64.035174441,321436273,20450584442,386435513
65.035707942,327421712,16195580005,421925330
66.036330508,307286235,15048148420,215943833
67.036930418,227529858,15167154393,26511475
68.037867378,181631778,14756721051,47726303
69.038486474,106420396,14768028624,648713796
70.039137677,203102556,15547075180,665475143
71.03979633,382330540,16369082036,202590015
72.040415475,394792777,15380409892,144650341
73.041029922,413559359,14640274496,91805505
74.041526144,568682243,14781198837,82543782
75.042165047,721572511,17666984279,92143458
76.042780854,957658027,20466945886,89471188
77.043350371,989470870,21504462231,170413718
78.04392192,1030602036,20983290238,168170805
79.044541915,1052711251,20230966187,131065793
80.045175945,1000423726,21239941951,151008767
81.045782885,952441451,18442108884,87541233
82.329604691,789209395,20440965619,58664765
83.330200917,634638995,18460639394,56573165
84.33083789,303479965,15257288164,20177066
85.331458907,252627951,13969587370,20059824
86.332106658,271823175,15265437667,111016854
87.332735181,351212312,19488551265,230773535
88.333359844,339192190,19224245596,412521892
89.333992325,252231964,15300957657,633585314
90.334593899,270172886,12437468716,418817439
91.33522583,259947008,12498963523,108995255
92.335843787,151459409,12502532163,379639232
93.336469133,125374299,11491196074,720845684
94.337084757,321091390,13157109373,443298821
95.337708818,406381597,13058778992,219108853
96.338237822,353029717,12679121574,43362947
97.338698294,315132460,7993569156,69046773
98.339315712,649305386,13763407902,76763377
99.339936533,887653013,19210956532,94577089
100.34292146,1008557405,20695944375,164886631
101.343546668,1052057921,21374911056,156674885
102.344201173,834186402,18131758257,155816131
103.344866233,869263145,18333272171,122305281
104.345500782,721395828,17724796640,63818452
105.34612189,468861838,16313394011,30920739
106.3466738,202552123,13263328121,23315296
107.588098791,248621916,17322197778,29341162
108.588727609,202940392,13318054679,20063197
109.589371585,352566158,18469618011,186290172
110.589928811,346276548,18843310811,316333230
111.590546844,209845163,16680303318,646538754
112.591081152,297507347,13291041293,376303509
113.591594787,209601992,12840648052,216622830
114.592206004,205787188,12469913561,77667627
115.592757575,86915415,12254223507,360584117
116.593387823,126808074,11873305806,598797917
117.594028741,399961909,13210175451,503009753
118.594590024,359327207,12605608139,205959666
119.595114922,360296370,12717186697,50391049
120.5955977,322674298,8648185680,60700374
