time,cycles,stalled-cycles-frontend
1.000212212,4773734,4249795
2.000518325,38358299,31007246
3.000766785,4017967,3585619
4.001090119,2738188,2323230
5.00133372,69332119,42132999
6.001565545,3904609,3488634
7.001793853,3415400,3060597
8.002019635,3521201,3127869
9.002251673,4048929,3621375
10.002589548,3270715,2893278
11.002819869,3711210,3323123
12.003094212,3485825,3114847
13.003363985,426592488,249615630
14.003678061,5496063258,3209253813
15.003956846,7168178384,4259109941
16.004200288,4604405293,2402784252
17.004573804,2746160930,1543150940
18.004987068,91068050,52625911
19.005395196,13632625549,9559365297
20.005824887,21754738104,15724332804
21.006238945,22213452748,16242861568
22.006705272,22145835439,16179900357
23.007201788,22062354615,15989154919
24.007684386,20182411064,14232185839
25.008071704,20817864138,14937131712
26.008523629,21938314979,16093607157
27.008981788,21905209012,15494032688
28.009435046,18159092421,10524445650
29.009889105,19784696367,12400358868
30.010322027,18401213893,10706466264
31.01078767,17307105072,9404056889
32.011226254,17280784794,9321566155
33.011693716,20955821254,13187694050
34.012197594,22109041901,14019146724
35.01265424,22149843565,13979881086
36.013103954,22185652094,14248516540
37.013558245,19430251686,12072419848
38.014002338,18199517281,10765383464
39.014459071,17683022110,10050361420
40.014928443,17035758528,9041953651
41.01539707,17173183670,9033319360
42.015834455,17990263139,10101551350
43.016281011,17627364740,10073621271
44.019338767,16975530625,9446551349
45.019799691,19951332383,12499123667
46.020253282,17900597859,9682641461
47.020695489,16379400506,8169886948
48.021116745,13573326336,6631222051
49.021466953,6191965439,3320722216
50.021906913,16547478628,11468650890
51.02236804,21906036923,15838805852
52.022810442,22181968541,16127749767
53.023273738,22045558636,16128231031
54.023732602,21486462455,15375855106
55.0241739,21608118850,15600703483
56.024652342,18997501001,13181292307
57.19256651,25367331681,18308752873
58.19304553,21212104602,14148201489
59.193448199,18665862468,10979072795
60.193906851,19012489517,11152475747
61.19438387,18457870021,10599937701
62.194850017,18258864098,10259929117
63.195317688,19832271720,11746654447
64.195769748,21417659884,13561628167
65.196224945,22148812539,14005426009
66.196698812,22262188713,14252843648
67.197178217,21072176057,13192911782
68.197591256,18147744652,10620451587
69.198044129,17306526129,9924480249
70.198501291,18496429325,10596207866
71.198989225,17150519157,9102291456
72.199444164,17269658255,9367317747
73.199890714,17684947757,10041812314
74.200328677,17510071660,9826266103
75.200778188,18208306278,10544970104
76.201231215,19367818055,11534778435
77.201674989,16493687599,8497536742
78.202125737,14416416251,6624605884
79.202456016,11137584625,5780157001
80.202871378,19544441163,13593981911
81.203306026,21363433934,15329319704
82.203748589,22238784731,16099472248
83.204208415,21919852383,16014633144
84.204663516,21596053228,15416644829
85.205138515,21462194520,14932425670
86.205578933,20106797407,13672687774
87.206065435,21392865006,15146813884
88.206529463,18872670637,11826258004
89.207005862,17837089104,10281654685
90.207400668,15305183578,8176237736
91.207851756,16674081072,8933789792
92.208269268,17904319549,10221639104
93.208748912,17687038728,10322501608
94.209199982,21763731735,13744034344
95.20966652,21967931214,13837272253
96.210109065,16043554130,8560371911
97.210567399,16136513735,8904359350
98.211005825,15583084542,8207406441
99.211464324,14532285405,6692385817
100.211921614,15162375593,7187673660
101.212340022,15461562530,8175465667
102.212795537,14260574283,6918801080
103.213263098,17170121424,9926764361
104.213659578,14156199770,7169588804
105.214129066,14090734352,7330090649
106.214534166,17302673439,10012715032
107.214878921,16679975502,10771191367
108.215250576,18047662890,12186782705
109.2156163,17146026066,11415706710
110.216037016,12113875924,6982914391
111.216403331,7335902669,4180741097
112.272794834,19788037034,13451750486
113.273267992,20026283038,13487430954
114.273682915,18939393432,12431786416
115.274167991,14450684320,8321544349
116.2746608,15978374704,9267982537
117.275141251,13938627297,7391533349
118.275605304,18036470924,10614791674
119.27602712,17127560101,9554341150
120.276421281,10028376953,4288169811
121.276814019,9989116965,4380587927
122.277217947,12105383610,5968513473
123.277664647,10854812113,4905246984
124.278091153,9257577674,3991149941
125.278481623,9089604916,3808511697
126.278888369,10679221406,4553034135
127.279287901,9141681758,3336837304
128.279650572,7300345693,2997323926
129.280084961,7803945696,4008606403
130.280551574,12772572651,7157641037
131.280943557,14810100885,9383093565
132.281317385,11718524335,7356754167
133.281790098,13140360249,8139842582
134.28225562,16050009846,9827860993
135.282678449,13142024580,7339849042
136.283079461,11162480877,6278504706
137.283536484,11526870453,6234371091
138.283949677,13354976091,7136744167
139.284396243,12571632427,5877541842
140.284881521,11958086353,5404577648
141.285298371,7406623481,2784661043
142.346039573,11375219025,5600021455
143.346442893,11600733927,5054806363
144.346892614,9074253602,3599212971
145.347284996,10567084978,5132559072
146.347692156,9205807212,3439968422
147.348167859,9475936313,3475336635
148.348542484,6933519143,2839281455
149.349015523,16708935454,9420691590
150.349462831,17781966690,10490908445
151.34991256,12715287498,7368679623
152.350306549,13997666235,8190313332
153.350747895,12721153231,7987375480
154.351225471,11054213015,6045995615
155.351650027,16494306668,10602510752
156.352040888,11435147084,7229245938
157.352527225,11828528812,6854933580
158.352969392,12969660587,6556701187
159.353409239,13589549203,6527348068
160.353862105,10988264329,5155967394
161.354280934,12498284857,6239213803
162.354743896,9991150365,4309383044
163.355164411,12709885891,6458775018
164.355574503,10174850156,4074098795
165.35596563,9298668680,3773536207
166.356416074,9884238528,4805469860
167.356875345,9366761146,3551086175
168.357264647,9528512394,3861405483
169.357641195,6703278552,2707371404
170.358032723,8503695311,4363245381
171.358400636,11068813399,6289333455
172.358829007,10879439886,5865775512
173.359287346,12670644631,7975193364
174.359760861,14662936232,9305964876
175.360236061,15179842532,9289144419
176.36070221,14309592488,8792781762
177.361167139,10988808141,5365198586
178.361567873,14173688662,7800729704
179.362005609,12963658527,6188788926
180.362418158,10469181015,4194095345
181.362860435,12586225934,6370537886
182.557402899,14414119452,6909989571
183.557799481,12088150977,5620452669
184.55821484,8988151288,3435839609
185.558599875,9619162688,4489360481
186.558998311,9870977931,3906038469
187.559385885,8758444592,3137233412
188.559823909,9588448982,4280492345
189.560219452,8514604993,4125082300
190.560629169,9880948569,4551936264
191.561066132,18153663178,10827873910
192.561441078,16885681177,10387636166
193.561809423,12063671586,7676599354
194.562258054,14858219035,9538050134
195.562663488,14887496175,9092544709
196.563145676,11950665836,5963336783
197.563613004,13195203326,7536302040
198.564058964,9308158900,3471393014
199.56447617,14054994471,7882001358
200.564874201,9946252428,4368385017
201.565325269,10111754251,4461433724
202.56573015,8289415107,3695536644
203.566119973,6783289277,2614100649
204.566497589,3292984133,1038572781
205.567060159,2254616403,897333829
206.567527413,16029340041,10002625538
207.567988104,20179908227,14319692712
208.568853221,21978501544,15860148850
209.569320323,21989416460,14911496802
210.569792961,19963879690,12429676556
211.570251641,18371912535,10672376467
212.570740685,18866941357,11015269952
213.57120943,17338517890,9238661864
214.571673706,17975055408,10047695149
215.572149518,17482490712,9500757541
216.572617628,17531318303,9469588504
217.573084741,17847466812,9823991417
218.573539715,17297975546,9120871321
219.573995055,18033006196,10058348114
220.574452928,17078518023,8981206979
221.574917,17241020148,9209036692
222.575395429,17960670217,10203617253
223.575870016,17832342003,10083000885
224.576440188,18654364951,10912206408
225.577003459,17846440597,9878964676
226.577482516,17517797475,9498964817
228.249511052,27920725393,15265620187
229.249986271,17081502709,9046478884
230.250394295,17150956909,9714772301
231.250863923,17621617549,9761519651
232.25132811,17200725404,9160411890
233.505505776,21441359802,11389592191
234.505977749,17289388928,9228748250
235.506453407,16950804917,8972502847
236.506926399,17161915480,9107246642
237.507410213,17715214097,9798049274
238.507882319,17270125388,9202520066
239.508350899,17318214287,9843767868
240.508820487,17093596326,9013678204
241.509293213,17416418038,9934130650
242.509763006,17250767481,9197763512
243.510260374,17344752796,9438826894
244.510703521,18564477096,11648885362
245.511140532,16421571902,9663226333
246.511612109,18344736369,11754926373
247.512051835,16350425293,10448467832
248.512465516,12143735512,6725749410
249.512828035,9543899455,3993878673
250.513208856,10062127998,4899602708
251.51355577,10166446603,4397120861
252.513901568,10002840599,4164165839
253.514298709,10283650029,4452187353
254.514662909,9471367706,4181527971
255.515034381,10489646926,5549947935
256.515442757,11777554797,7091557110
257.515858069,15287536852,9325915042
258.516246826,12665014913,6663767368
259.516681904,9135675110,4258926247
260.517029043,10359904092,4643492705
261.517389802,8930825118,3226649097
262.517791618,9287572405,3942548581
263.518132424,8679273332,3047423870
264.518551786,9196964788,3664856918
265.519179447,8870973588,3603121473
266.519628681,9444606081,3552045029
267.52000284,8745784246,4002971726
268.520369152,9713547371,5173011831
269.520787211,11048969661,5027621569
270.521136691,9318640679,3229679637
271.521500181,9251847541,3248295600
272.521871062,9039310562,3044834997
273.522231621,8819612930,2835587408
274.522579033,9037423904,3054181742
275.522941445,8598522079,2671386699
276.523299664,8671313403,2757263128
277.523640033,9300842551,3235353944
278.524048844,9168923485,3044055424
279.524397085,9292884731,3118608727
280.524704006,7094409225,2952751815
281.525013604,3132562956,1029487998
282.525450852,2020484779,635155483
283.525885506,1900386998,1115349196
284.526275507,48958212,35298434
285.526591684,42992227,25141494
286.526993322,24781392,16975385
287.527312003,3425334,2892859
288.527603837,3463256,2878314
289.527970971,98028082,61303850
290.528237275,1983789288,1114357062
291.528557023,5678659757,2769191951
292.528810299,4671167539,2410046429
293.529170292,5134327980,2662602482
294.529581893,666069803,337195748
295.530036208,399781079,225358248
296.53038101,5111247251,2529096480
297.530678974,6319245896,3264262620
298.531134653,3865254828,2180607098
299.531553358,57126372,38522193
300.531907887,252048024,138224279
301.532280713,5998381157,3071957378
302.532581471,5696599852,2879913153
303.532881844,4732139201,2570576996
304.533272569,191161063,121956605
305.533564232,126772351,81191445
305.620632719,439111,474014
