time,L2 Read Hits,L2 Reads,instructions
1.000271414,9212,42861,758911
2.000673534,160999,395825,18615333
3.000975493,8158,31507,640568
4.00137572,6477,26809,541438
5.001781164,392743,1011697,82652370
6.002204924,6434,27498,534955
7.002611201,5537,24366,465809
8.00292469,5719,25534,482766
9.003228088,6857,27001,479960
10.003527399,5579,24388,478324
11.003819556,5780,25984,489193
12.004100085,6528,26345,489114
13.004427467,3951042,6377100,329170239
14.004862492,58922706,89000897,5154635074
15.005198736,56306697,94718840,5505236740
16.005538021,39990492,71801585,5026593435
17.006072452,21429839,33101987,2166981411
18.006654056,2822015,5106990,391870513
19.007272378,83790093,145050265,8409002681
20.007876019,226604053,353838955,13704672675
21.008515642,221225392,382036520,15387295240
22.009139477,171646071,309808095,15332614813
23.009753383,233917667,375040918,15256571286
24.010376836,117963318,227848394,14067896620
25.011013124,99640330,214139908,13767780650
26.011687371,174187294,332815533,12745556989
27.012269439,221736477,372483553,15392001976
28.013646008,121412946,169013308,19504991447
29.014276741,155582918,217087292,20484870397
30.014904278,131445479,173602682,21175000744
31.015508961,145145232,174834772,17503463663
32.016052329,128377301,159102092,18625115378
33.016563445,150348890,193927608,18479383828
34.017169889,127625526,177524421,21823081189
35.017798674,86027697,147490019,24119084913
36.018431177,95999968,160246228,23261224722
37.018985307,42357762,104548277,23511659769
38.019597617,75023908,128220319,22751396982
39.020211414,86062982,123958194,22133640852
40.020841774,135347090,165293017,18973684004
41.021475075,113985496,144593182,22055837802
42.022087947,100286738,141471223,22245690329
43.022654707,28590034,83190043,21186644875
44.023271422,27672889,85145982,23652516129
45.023922756,89886735,134176180,21449757325
46.02457675,123081708,167970131,22163837787
47.025222344,60885587,82697044,25024892845
48.025861446,56829209,76842454,25222624233
49.026395048,50640484,82856199,18559855583
50.026966734,92596617,162800180,9800732005
51.027568613,247970694,383357363,13963816896
52.028189396,190862169,339014256,15455275717
53.02880921,200412362,351803657,14728651125
54.02943657,191444450,314203881,15082143288
55.030071814,145281337,264816930,14636877411
56.030672452,96793499,209582322,13387716363
57.031321998,193195575,361929205,12914067381
58.031967062,196659344,313801552,16334534709
59.032619431,148493965,211279672,19227598082
60.033265772,144922960,198584115,20603897867
61.033902554,131537497,175622947,21015998472
62.034500004,121232687,152115120,19465852880
63.035140607,131681533,161067671,18559402169
64.035785067,132010833,177038731,20995879818
65.036415267,125460737,181554087,22348883875
66.037066013,87288986,147419872,23944214793
67.037683777,61650554,127481782,24814647506
68.038298667,52741810,113699874,24707599818
69.038968447,80800135,125224460,22530848065
70.03960077,88684303,122586723,22175908567
71.040235653,119620293,156949145,21726808050
72.04086369,78824260,112307105,22654490627
73.041484601,70680079,120379966,23446026380
74.04210864,46444824,104399007,24225145172
75.042761936,52889389,97407223,23713796810
76.043384085,109080040,149790838,22279651769
77.044020095,92329820,122953100,20827367097
78.044569306,62438077,82307721,20109310155
79.04506866,56290410,76842006,19339685427
80.045642936,63801386,109670986,15448563725
81.046029517,145924076,231176032,10843271161
82.184365268,176831531,297681702,14106401742
83.184988021,218814729,360744790,14650107800
84.185609742,160871037,291509753,14895855262
85.186245306,196694730,341082321,15072642486
86.190385676,173202287,317461346,13726604929
87.191040889,151184339,253756334,15017416080
88.191649095,128194981,208658417,16943507217
89.192289344,195231853,293666652,18311444810
90.192920996,111592193,150096911,19918703970
91.193448417,92295625,128719437,18895322571
92.194112212,72382422,100067420,18949535600
93.194740804,83547904,128149298,21854521627
94.19530001,77470143,126318558,21886948188
95.195929925,60850284,115420521,22722007177
96.196560464,55129535,101959397,21656056662
97.197118581,60957116,91991055,17534065480
98.197755897,57602202,80783072,17497251508
99.19829754,74406852,104629903,17746360607
100.198948905,37433477,71374720,18410925442
101.199577746,46710363,89335504,21407870359
102.200197288,67391017,103355541,21186501150
103.200874999,55033449,73422104,21260852111
104.201408989,39196693,57000364,20007277679
105.201875547,30593203,46476486,11463324578
106.202466774,118685449,184875268,16549386859
107.203062987,152790543,256779933,16113772412
108.203707625,205021782,339805982,14613203882
109.204355041,170214754,293693684,14088675457
110.205012074,132493872,244913655,13129196999
111.205691813,102887081,188953713,8730268678
112.501806279,130309463,208053176,14809278359
113.502366873,70550759,103942563,17068068163
114.50299774,59592093,89713117,19081592218
115.503548056,53106227,75486598,19267292906
116.504201134,45782823,68555892,15681992245
117.504849857,56745695,104753676,20663415837
118.50539039,46319462,96628119,18663207583
119.505943926,35339021,71364351,16895823737
120.506465533,42272032,63758156,12746446449
121.507096382,27440077,48216970,15457307114
122.507720768,25436586,51023695,16463447531
123.508316889,22880851,57479277,16819361868
124.508942997,52429408,84590618,16667468271
125.509476623,45385624,62482067,16381102354
126.510090533,32215440,45600006,14628337049
127.51060098,33321754,53200606,13184323037
128.511082685,82437042,131263689,7410045804
129.511719802,133151112,214232167,11072672231
130.512387499,162469798,273527156,13241886392
131.512912757,138908529,249594347,12468987036
132.513555697,103127493,183373134,12461139486
133.514190718,106915851,174775446,13551407414
134.514834932,71293657,111934939,14729294581
135.515399646,62581810,88335788,12841710436
136.516036749,43845825,71478765,17300683382
137.516696232,40900249,73107455,18757658187
138.517330421,51278981,94679481,18759059418
139.517851312,37742405,73798681,18811748139
140.518489345,38441319,66259223,16061606649
141.519014882,39306276,67750235,15721653605
142.519647664,25751828,50922387,16723176644
143.520257009,36134819,61314702,16376284144
144.5207896,26002893,52578116,13498701865
145.521338768,41334839,65851607,17576204393
146.522051529,36735384,51209153,11870004898
147.54579092,6034264,10283793,1902080584
148.546445706,71012059,106652174,15575250213
149.547055834,103381167,167940389,14828348994
150.547660933,105865031,164068444,18065327590
151.548289019,135678101,223075207,19289461319
152.548836256,181024092,303024511,13361600572
153.549489892,108788674,186756834,13440922629
154.55014504,86472937,158583455,12996228033
155.550727371,120839880,176211616,12985604848
156.551350809,54303950,81667555,14484916933
157.551887199,57018704,89029777,16305834242
158.552436172,34595960,66984518,18472911422
159.55308439,50184296,83135147,16738912553
160.553723199,62099515,109783535,20023765490
161.554346543,27639586,61087993,17455832244
162.554985647,42163334,68536591,14511754944
163.555598551,37946343,68322545,16943919872
164.556223986,26893968,48261965,16750624815
165.556840668,40542355,71104354,16825211651
166.557376625,27128685,56129043,17637786707
167.557890203,53840407,73844149,15797287903
168.558408762,147309932,202447134,17668038546
169.558905591,72643072,113523425,14296863486
170.559427678,124327840,203923733,10825112442
171.560059346,137564390,231150675,12045874537
172.560689044,154792901,273266645,13125443621
173.561237342,123359199,210872265,11832720865
174.561855714,105904970,186205313,13134313477
175.562516102,90331059,144114701,15520625383
176.563050911,42280313,70989015,16699387802
177.563644616,34941013,57931091,16599598218
178.564272415,46993993,80851463,17204094386
179.564900864,49719150,92857101,18524563045
180.565512306,51871298,94028765,18743162280
181.566035871,42941487,77951723,17158366502
182.566577795,37367774,59933677,15389300223
183.567116122,27020850,50902927,15486526527
184.567676479,30462702,59382235,14586002194
185.568223667,38755339,66548197,16643872032
186.56884499,39408556,64685999,17422141471
187.569445175,41907955,62454067,16975623865
188.569940792,26064575,44383711,13177720419
189.570562544,41199088,65475141,9858180662
190.571161913,110617535,176664623,15769415348
191.571776345,161759725,237430791,19945621802
192.572365464,105807222,180109061,12325882537
193.573032191,114210408,193814961,10426753972
194.57359272,129636827,222368653,13754965848
195.574113674,126441828,194132170,14713019827
196.574739879,62009244,97830383,15740586209
197.575366799,35954343,51352908,16018712186
198.575987194,48491258,79669705,17334673224
199.576618024,40914185,68958100,20967126205
200.577247836,45571166,80356885,17828094883
201.57787478,39887131,58917651,17430426253
202.578402191,35492942,53875012,13119592898
203.578926862,27387401,46204175,15180704049
204.579470894,36161448,52993546,12321795303
205.580067763,26999712,39516087,13446040307
206.580561125,17692940,27912152,8591969407
207.581168616,46409787,72460204,12298785502
208.581795139,129431260,251468723,14096738816
209.582415771,184310333,327668993,13328504544
210.583001762,262308938,378628284,16028647144
211.583707567,207346806,293744772,18760126119
212.584381786,222613279,297405169,19302021770
213.585025123,169974126,211534004,20697218952
214.585660493,176959759,224556664,19761008066
215.586302164,151860675,178041683,23088245684
216.586944667,145112976,172427573,22716070202
217.587582427,118617489,152689724,20832910495
218.58822523,162781112,187046001,21592410617
219.588816163,165840076,198261153,21834063864
220.589444818,170824865,206660692,21315090949
221.590076917,168839305,192721122,22662056881
222.590716621,125108283,147108915,19585094338
223.633867701,159714625,212004521,20769469787
224.634512947,220375434,271490518,19572315550
225.63515067,203079763,244938972,21785080859
226.635800325,184324595,230158449,21313286515
227.636461198,185615072,233374556,21054426350
228.637104686,265374022,320126384,20593693908
229.637700887,238879698,285328726,21521355326
230.638338976,226185273,264405656,21350912898
231.638995209,211508119,242869228,22081999742
232.639656091,219714436,252804905,22006620139
233.640305996,210660550,239944904,22103055175
234.640877125,250079993,280559524,19488668491
235.641511489,262824750,295504102,18348946693
236.642158029,221223787,251441231,22415985613
237.642813576,241196511,275240803,22132984707
238.643453411,215233199,245742041,21358902844
239.644098511,223537400,252766007,22438938183
240.64474549,221642989,251833040,21964673106
241.645292435,221098595,252629806,22222093775
242.645921842,239872369,269592685,20511462768
243.646594761,224675364,256177399,22033802958
244.647234666,224308171,256435383,22332014318
245.647851607,215748082,256767925,21416276894
246.648339095,114933513,154153414,18503192796
247.648876206,92393110,133662168,16033802609
249.266256927,249335162,364044600,25058196593
250.266886256,182196531,269224696,17372521772
251.267565545,108324727,164329731,16023238364
252.268135873,109950026,146192296,19521723524
253.268657043,77831884,97318539,19160220588
254.269246275,76549498,100274941,20134321606
255.269858464,75882213,106626412,20761090799
256.27043892,67370848,85648932,22214190255
257.271001568,81023103,120333687,17974030522
258.271524555,30166230,34483826,8502930201
259.373762016,46577263,56132025,17679099210
260.374287926,52402477,106547791,8927457300
261.37483276,144552397,198629604,9513480689
