time,L2 RFOs,L2 RFO Misses,instructions
1.000257508,9109,3638,564330
2.000596567,9447,4282,548023
3.000989526,156347,94351,17522971
4.001484762,260565,98822,44508856
5.001796402,160835,47934,19071600
6.002083385,11876,4878,696995
7.002364483,5183,3275,477120
8.002646172,4793,3045,496638
9.00295332,5581,3330,492916
10.00323924,5522,3970,566928
11.003527442,4730,3304,487801
12.003807736,5398,4088,564679
13.004110406,17361139,3528657,1414754571
14.00442355,66304474,9560670,5955379612
15.004734469,42219896,9683258,4913298349
16.00507853,47252628,8897934,4636848414
17.005609074,21474553,2053026,1425338570
18.006022305,2534933,375994,197042801
19.006592092,178479473,37046150,13290949125
20.007211939,237855920,32243228,13791790323
21.007836221,97185727,27412019,15939355749
22.008436307,134583642,29775680,14988384555
23.009034214,178970267,30662259,14993525827
24.009662914,136865220,38527051,14145378342
25.01030438,131954647,41733672,13008800165
26.010943709,244171272,48425954,12905147505
27.01156783,110526343,27382135,17049663845
28.012197268,60980205,15502970,19436567106
29.0128239,46284649,12890730,21103605358
30.013438786,50501428,11072438,20985083556
31.014063625,37105953,8409401,20546733734
32.01469264,35707151,7808175,21237402293
33.015287067,60181877,12026466,21391362698
34.015926748,38519001,9797319,23895008340
35.016551547,23577917,9490310,24679303712
36.017167046,26221749,9310836,24649366246
37.017795369,49069542,7094642,23146600122
38.018406376,39923273,11427785,22524653578
39.019035605,40504306,9733937,21825341103
40.019662924,34273535,7881673,21507646848
41.020259427,27779908,6116728,21402018096
42.020859812,15961728,3699428,23726138103
43.021475309,9901552,3616146,24389466853
44.022083024,64452234,14072860,22094594211
45.022693349,62198434,15422645,23042453347
46.02728337,42665517,10619121,24683255512
47.027879127,34517929,10365732,24323926519
48.02832432,32031839,9229814,18135401958
49.028874226,198621103,29453115,13041434751
50.029472543,145154596,30512651,15217768906
51.030092572,165704693,32606578,14675053957
52.030743675,178404006,29261230,15351443599
53.031372584,139460738,33491455,15035480806
54.031984155,141902330,41566790,14482329484
55.032640851,194540140,40934194,13137808694
56.033301598,156399990,46375631,14397093365
57.033938114,84827594,18846556,17032480039
58.034477176,48389238,12396046,19188165204
59.035036502,45416540,10194397,18169803971
60.035663311,32110787,6593118,18600523178
61.036294017,31286789,6947694,21075364264
62.036945401,57333524,12938952,20865988137
63.037548601,40157735,15600914,23628706991
64.038171622,28246924,14529653,24324939372
65.038808477,33388688,8074871,22617575851
66.039417565,48018160,9917663,21503257198
67.040049293,24283466,7100684,21860471126
68.04067858,32324302,8320172,21201013154
69.041291944,18740587,4663419,22375317417
70.041895266,4896877,1268953,23240574975
71.042527073,33355109,9398664,22349473146
72.043154419,81615643,16257497,20931468771
73.043777094,33183611,9162357,24351011035
74.044419616,33215001,7749668,21031197250
75.044932446,50851587,12375058,17818247798
76.045513907,133817432,25604210,13649453050
77.046109297,147885319,34962711,15299688507
78.047457476,166173280,35756579,14767144614
79.04806585,168229188,34972931,14736549447
80.048757121,140180589,41699854,14634749429
81.049400185,138983229,33531564,11095937309
82.050055027,178576823,41056995,13906486817
83.050702748,100291003,31561433,17480804520
84.051249948,45681462,13178601,20179830773
85.051861872,30786644,8610973,21885787770
86.052484885,29190644,7755706,21416471528
87.053093919,50378494,9103867,19095566093
88.053720596,37847252,13172392,22538517414
89.054342893,28597066,11084676,22242859986
90.054970494,34513060,6506618,20371270874
91.055503832,27413649,7775678,18275276227
92.056106227,24806758,6887340,18581744311
93.056648933,14882943,4405562,20735917674
94.057245252,9001958,2797097,21084087692
95.057852534,39232972,9375418,20925165741
96.05837575,48535684,12269984,20902987144
97.058997922,24687224,8308337,20034045859
98.059498466,32649595,10144440,20365336409
