time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000292604,91267,40889,562090
2.000611978,107819,58111,1098588
3.001052892,856431,309370,17459802
4.001505626,674241,253685,44506245
5.001842733,441139,168968,19439375
6.00216825,94155,43003,600768
7.002458171,93416,45294,729372
8.002758518,83808,37910,468028
9.003037726,90158,41897,562825
10.003321281,85810,39552,485042
11.003644932,85451,39485,482983
12.003914963,84482,39467,481349
13.004247306,24526322,7080393,1560066878
14.004561028,57723075,16384438,6048822335
15.004892459,55608623,18267057,4977611267
16.005234219,63305391,18044634,5537810822
17.005747365,5146199,1770281,489397997
18.006164705,18802640,6404853,960194094
19.006747193,278914244,79329146,13954306133
20.007326385,239704228,64855322,14211586860
21.007954916,166489573,56371607,15765050597
22.008545729,227051510,67391651,14504817965
23.009164942,232839342,66256691,14810583943
24.009803644,253927138,82982578,14142840550
25.010452347,247257635,82183185,12666778098
26.011112033,329612840,103045140,12835525002
27.011739852,404962814,56188515,17133048381
28.01237043,452370605,32770319,19560681117
29.0129904,480710261,29482248,20548701382
30.013612534,493817112,25605201,19904002905
31.014219289,485488222,20308819,21292200513
32.015846891,488866056,18894072,21630127520
33.016449976,484466169,35705361,20239683241
34.017069312,313266678,19779504,23541836895
35.01769314,276713213,13252939,24677778732
36.018234608,167517625,12733403,23522062119
37.018874738,56322042,13932263,21794614234
38.019476406,152276172,12944653,22255847945
39.02007936,488524546,22038756,21572254271
40.020697333,489163555,19632199,21755840068
41.021336167,417642041,14844889,21798054978
42.021942517,119308629,10343455,23713383870
43.022559504,16590398,4605957,24497716241
44.023155279,111166566,16848190,22734968143
45.023747358,209497783,40515398,21294250901
46.024362607,127464769,19580803,24731550965
47.024972487,95615501,10347974,25200383791
48.025571362,120896332,25612036,21153179779
49.026101987,139148058,42773170,10366417280
50.026689956,245061961,73609802,14743885002
51.027275939,223910079,63090810,14855594413
52.0278865,237992145,74379420,14975448660
53.028530982,207226356,62470239,15259213534
54.029160978,267160213,82338506,14167923194
55.029836559,283431754,88847456,13832954804
56.030642114,347762604,79434102,14961468553
57.031294688,385025979,72161825,16545268211
58.031933438,470424093,48717687,19255650330
59.032570199,533139245,34137305,18839582730
60.033204748,538913568,26277732,18259147526
61.033843733,510844304,20015231,21457371375
62.034465301,511428513,23849117,21543448954
63.03510387,484128230,24183282,22133399016
64.035738523,368937805,19553961,23412184721
65.036332576,293245479,18877387,23916277018
66.108757768,210367790,17119481,26291625645
67.109339846,111163013,10000886,24380247835
68.109949832,218571384,23939782,22355187428
69.110562484,419434690,18158047,21920356730
70.111190032,444356261,14936221,22364986461
71.11180723,335853876,15293308,22632449855
72.112415255,218041305,11410271,22790651703
73.112991655,69902944,14650030,23618662686
74.113599011,76501717,14062143,24392647619
75.114207194,172538298,26799193,21936494712
76.114828001,147463397,21643707,24199313002
77.115411221,122783715,22951629,23255254453
78.115924228,179124940,42051704,20874461282
79.116475908,180298038,55951198,12753513083
80.117065109,243080326,72226186,14235202369
81.117674214,205567416,61415372,14860806473
82.118279987,221368183,67865309,14923775997
83.118860767,211490488,64468171,16529975337
84.11947175,238447785,72368824,15793724456
85.120103063,257564087,73875143,13853637047
86.120747624,323409255,77217552,14230151904
87.121275713,341601634,51213162,16625544673
88.121907234,392652999,33067678,18713551934
89.122541583,373061961,17703086,20498652764
90.123071248,405609576,23830012,18329106177
91.123687586,408420617,22012262,19360762249
92.124321419,370158482,17313500,22163688596
93.124951413,299159900,21724159,23126724124
94.125574074,191285460,14482729,23694819867
95.126183667,173358725,12244655,23659868614
96.126799114,215961410,19570306,21614117659
97.127411912,255662426,17009783,19532124257
98.12802311,289368353,13847586,19946089007
99.128618845,235020948,14590781,21742091007
100.129214067,206478233,12487420,21637027791
101.129826263,77427122,11446906,23201809632
102.130472155,76438604,13891839,23699454985
103.131096084,138599800,20876221,21733964586
104.131686198,117527952,22755693,19720456001
105.132304789,157211780,36642102,20853129842
106.132886956,171782917,43477761,18703685303
107.133421324,153534917,46947329,12759875215
108.133994331,155552305,43995544,13066067797
109.134504685,130473843,37725625,13912958182
110.134999626,149931423,39431466,10667386697
111.135470559,129096385,22997614,8793128165
112.250814809,334720623,52144141,18922605966
113.25142566,306130589,47034636,16635956012
114.251962631,275983524,38345312,16464730581
115.252593949,235206656,35489108,16001823527
116.253227006,256389855,32284376,17596320787
117.253832722,266174009,29199811,19278362518
118.254460385,173927657,17859040,18852186201
119.254990835,179215641,12215673,20439053358
120.255610254,163831281,7438791,16234916136
121.256137208,247121879,13749943,13966815179
122.256829658,136820629,7192296,18604613573
123.257362942,63008366,4058795,18385268522
124.257880667,74120100,13724666,16837340397
125.258426371,108376870,9516089,17111769481
126.25893683,99913072,7633591,16015103659
127.259430339,50967973,9231753,11157457526
128.259940174,61385942,16408586,11152363742
129.260453534,156558729,42593407,13608386588
130.260985755,160622593,47813076,14597040988
131.261605802,133471174,37998920,14031242687
132.262088709,152540361,32672295,10527665079
133.262717893,184459074,20938681,11392152587
134.263265752,162854702,6412367,11124770220
135.263781557,161140722,5275796,11020598138
136.264280072,160309771,7532664,10243389308
137.40417639,218563818,26549573,18277330913
138.40470249,141591660,25366877,18029217643
139.405254565,103227188,22127432,14643631646
140.405902269,192026128,28364121,14465835385
141.406551863,232317452,15902949,15890810787
142.407157617,130296095,6742799,16727820091
143.407757134,90033233,7538628,16543098419
144.408371444,133349901,12402917,16646040489
145.408988134,114826241,9899013,18774423386
146.409486671,91788368,11433909,17510649361
147.409956618,65209874,10001200,19044881632
148.410467148,152363908,26681147,19272712365
149.411083548,206933363,45264980,13471491995
150.411701472,191204876,41936299,14982161026
151.412249955,126777678,36048166,11860037820
152.412771003,143416396,38162397,13191480143
153.41330645,198659416,30560152,14739981572
154.41389141,171088594,10133872,16605119189
155.414518814,164292634,9051026,17364057635
156.415120256,159075394,9701176,12692136370
157.415629007,149927310,9693460,15393119946
158.416250182,136595637,22549756,16491473716
159.416883059,142049075,29291877,17234629535
160.417444174,166571401,27141092,11662066767
161.418083675,183985911,26845427,14054297004
162.418727879,188204964,16778280,16330672267
163.419338816,113674419,7003054,16461542915
164.419857439,117048228,10040163,16589613976
165.420432207,126588456,9734735,17140952080
166.421036261,120555035,13258058,18940461500
167.421512761,73709316,9185879,14525273150
168.422099864,70163421,17846514,10576135479
169.422732656,186404792,37900944,13897462410
170.423306623,189130195,40950176,14034524476
171.423906798,155110611,41009674,14011668580
172.424521734,152097819,31694017,14020413965
173.425061702,208259798,28812189,15351217580
174.425598065,179758012,11754532,16906037276
175.426206535,174013993,6821846,16043106075
176.426806249,165067554,9224543,13268508477
177.427407429,142359886,9252398,15070607877
178.428034676,140087842,21964632,17123088958
179.42864385,153542352,25734914,16721715343
180.429175597,177951931,27511291,15202459770
181.429781795,180009544,21546321,13352104996
182.430303721,98005324,11823330,13524918796
183.470046535,119441268,13272574,17002392798
184.470576696,102250597,6970362,17342112696
185.471203239,113723402,8419614,17224177917
186.471790477,110499672,13293544,12463529459
187.472251376,78885107,8143164,13529733889
188.472847152,126604131,23259057,21651482473
189.473337727,144192347,41317743,18412786869
190.473884212,163806068,37045569,13547002044
191.474404306,179409656,42089446,14900760214
192.474928885,159644158,38225684,14526947956
193.47547066,113513135,12552159,15907888546
194.476012484,115153202,8652337,15928244159
195.476522876,110992668,13301555,17628869497
196.477010669,89581993,9604910,16588760308
197.477525427,47388023,4489431,13326404963
198.478036032,80045862,23710095,13989534377
199.478682742,90234251,24490300,16660621997
200.479589384,68508170,17896666,12819288031
201.480128843,60444744,11637914,11891214869
