time,L2 Prefetches,L2 Prefetch Misses,instructions
1.000273368,426763,316074,17887875
2.000664991,57360,45540,830764
3.000977569,38036,26615,553403
4.001390011,360980,219543,17534399
5.001729624,390639,284190,47360338
6.002029741,120932,81066,16140774
7.002321197,34369,23719,614135
8.002612362,37529,25998,477356
9.002898856,35313,24627,491904
10.003184674,38802,27100,486988
11.003494155,34861,23957,488709
12.003934018,34638,24314,474181
13.004359867,21804057,13161820,2301894546
14.004755694,70615401,41759438,6755240441
15.005154957,40967520,26518076,4616492046
16.005494921,40371307,25323493,4542491792
17.006022106,3233473,1991111,390647810
18.006644104,38398999,25047617,4790419543
19.007244161,103417464,66572739,13761515608
20.007862755,129024262,80840327,14752180199
21.00847585,143065281,98822168,15398790871
22.009089026,145783629,95453928,15467950837
23.00969689,108644665,71334302,14049860783
24.010311097,111715806,75298881,14006442167
25.010957318,99781308,68472070,12769166634
26.011588627,100972648,66506578,13243319746
27.012214515,112796747,67960179,19090241891
28.012848289,123241795,75488244,20138380366
29.013485845,129158791,77018756,21302994748
30.014051498,130583489,73365599,20187109648
31.014684453,150450744,78774962,17641328453
32.015327838,122812120,72425951,20815812200
33.015947039,128389365,77913903,21832536093
34.016570332,80412077,52869299,24100937345
35.017181381,67819682,45662445,24711351454
36.017807845,36887988,26083031,24161587298
37.018451356,35308120,18821607,22413795686
38.019056875,57544705,32464921,22420723724
39.019696197,128301481,76338993,21723813518
40.020319391,125484938,73433757,21596365924
41.020928473,101113524,63750479,22518655123
42.021533845,23146429,18424929,24028321140
43.022096376,17948516,10829919,23577817451
44.022739193,38820380,19213100,19445236986
45.023357251,88182560,51290496,21901098986
46.023966225,69046265,44206486,24925430184
47.024529622,65450501,41618794,23904259182
48.025009142,65709775,43184491,19248677495
49.025588404,82404834,49997566,8871842779
50.026187115,110410379,71479622,13757338393
51.026789572,132804670,85784975,14943374879
52.027388733,125874322,83576435,15020309647
53.027999815,137404756,91344623,15176153671
54.028622437,112749774,74774128,14045631407
55.029267037,110104098,73431835,14511066716
56.029904742,101430744,67589008,13825197287
57.030507553,110379960,70552795,15151185994
58.031063047,133516137,74087329,17570095772
59.031688341,138095591,77552821,18486836888
60.032324053,141412544,82501705,20446565611
61.032963435,134196533,77219164,21419897973
62.03359399,127547180,73720014,20939747703
63.034238882,128820109,75418925,21437430060
64.034868472,113855226,71006473,22562839238
65.035474007,70942617,47741029,24599717407
66.036100811,57972308,39080658,24827121636
67.036711282,37599015,24742207,23824023169
68.037254404,36902977,20239438,21219171561
69.037870083,84039455,50491420,21893287886
70.038515765,132397010,76126983,21209534985
71.040444169,127540127,72173290,21474772492
72.041083985,67377357,45275215,23188893557
73.041678872,13259441,11192884,24473191987
74.042309072,20934249,11294009,23075256314
75.046517142,77285429,43820085,21241258975
76.047142561,74247822,47593461,23683998076
77.047775471,64873578,41351795,25026619560
78.048333589,62591353,40153122,21782708044
79.048729563,32118463,20826371,7476812828
80.049284837,94450233,57490547,10255635025
81.049889926,120692971,77674633,13945789791
82.638395647,163024489,106007104,18649176394
83.639030229,138006435,89190495,15059878079
84.639655606,133294021,94052285,14448292597
85.640300873,116748112,77646583,15384979221
86.640943625,103136523,67118643,16608381454
87.641579321,105839488,71317375,15958172951
88.642235846,99065113,63918291,15214882373
89.642866761,104245439,67343879,19651884594
90.643494911,103196960,66900251,20346144555
91.644125329,89778178,59571543,21072090260
92.64476474,107248067,66520757,20684491398
93.645402365,107811391,67870510,22213494423
94.646022055,90624930,60229391,22484366314
95.646627286,72496907,48864822,23958031521
96.647240473,53772499,36262605,23810710124
97.647863217,43125756,28143700,22247188773
98.648430925,61236477,40766967,21730980935
99.649052136,71516087,47076842,22454904807
100.649683393,45177306,33993802,22251899723
101.650298787,54452075,34889930,21914377429
102.650906477,35856415,22399574,22753143539
103.651534747,49545086,29648507,22423752803
104.65215124,61172400,36379382,19433174019
105.652693451,49815136,32117120,20521753451
106.65325758,61992167,39545436,19488342786
107.653832473,101311857,67136692,15941677588
108.654419135,131364040,83594090,14299456468
109.655102124,133208311,90631060,14487691561
110.655687218,125748168,84501666,14950186069
111.656159335,55966955,37026372,9176770153
112.975267544,121595027,83409079,16429918169
113.975925201,89971474,58731674,14934928581
114.977139904,113435233,78039939,15944406078
115.97772316,79611421,48787148,18137155601
116.978249358,83363469,59217649,19375569271
117.978792847,45432563,26412363,15885119128
118.979344083,60132738,34586980,12886036013
119.979974913,65305268,45798639,17855401059
120.980592405,77290560,52387486,20898786988
121.981241715,32089231,21978459,18364066783
122.981848267,24030038,14734660,16150908167
123.9824668,43855124,32827136,16854255251
124.983008533,46852510,35588006,16808870238
125.983630474,26639697,21951349,16998853210
126.984255934,17709464,10480321,16636920495
127.984811392,55419296,30857725,17129692953
128.985361096,44114788,29178561,18456264066
129.985861457,35943371,24525623,11576032773
130.986373741,87206824,57487237,8608794112
131.98701123,125467471,79233505,13403094450
132.987538297,124272930,80281425,13939486622
133.98808719,99903208,65443777,11589939552
134.988633503,102136126,62996017,12401810521
135.989340702,91052759,54329061,14304265196
136.989911978,65999019,44020592,16251204882
138.195149494,69556387,48182534,19300362657
139.195679619,67608446,41008022,13037898946
140.196449503,63369937,43125759,19357305666
141.197089123,79564414,54045029,20557163024
142.197632765,28756157,19217637,17149510962
143.19820062,38469302,23148149,14243453233
144.198844343,57808869,38555084,14282186275
145.199390461,46408866,34857707,16730127963
146.199926343,16086746,13902090,16943553487
147.200685454,1944877,1071344,6660878403
148.342636986,52249243,28239103,13798046454
149.343277673,45398428,30072565,18024113970
150.343824934,42232004,28954498,17900585998
151.344299216,36816332,22893932,18826465169
152.344798109,78632581,51397429,13056118092
153.587857414,107136923,68972257,13320706701
154.588483303,108845896,69733910,12257356210
155.589127649,107549351,71289326,12380868758
156.589673354,108679308,66311003,13392665493
157.590334838,84644901,51959331,13766491161
158.590963743,77405346,49988978,15792834055
159.591524114,64608849,40002374,13717658714
160.592142009,85231257,48543480,12749740131
161.592790039,85357820,60210403,19836163576
162.59332512,66069873,49915885,16605070085
163.593948399,54159049,34944401,17222504934
164.594597199,63726748,39600911,16126233859
165.5951552,42566662,29489964,16948203433
166.59578668,43812392,31603234,16823684549
167.596320155,24681456,19530606,16973797894
168.596952579,34715139,22210075,16280036274
169.597596452,42910791,27634452,17865116954
170.598207692,42348924,25481005,17573820194
171.598759854,29967009,19799977,10059905329
172.599376929,67932951,40179601,11460803644
173.599982851,103726092,64567204,10840937966
174.600592149,92296267,61347353,9872883992
175.601131499,86380998,55444395,10226428435
176.60175479,108933713,68814626,13053399459
177.602809814,91214250,55275885,13868515048
178.60344297,83342831,52348198,14273347715
179.603971263,78416115,48957154,16021856275
180.60460867,79097708,51155717,16771587301
181.605155872,90748278,60722929,18453554690
182.605681237,52892533,36715948,18065074899
184.557156997,57561075,35997082,21384178109
185.557794895,69247038,47944812,18996608463
186.558453178,47396735,33544499,17468545984
187.559048035,26933237,19937890,16922963643
188.559671193,28308281,18087498,16423127886
189.560224148,44569424,28466903,16927506255
190.560773559,41283128,28929937,18487462953
191.561248322,34749743,20456326,12334485511
192.561839739,60153123,37304786,20687526971
193.562383075,72101806,44950046,18963250413
194.562961558,93333188,56879176,12483140459
195.563485408,100648333,66490076,11142072525
196.564124518,99666744,62091103,11570224077
197.564687009,99331111,63146106,13956929263
198.565319778,64582908,39777556,14752731703
199.565858763,78488390,57386116,14720027951
200.566671579,33503822,21680738,17138936802
201.567242431,82956498,67316290,17656404089
202.567829146,62658972,50170881,17470095549
203.568452995,51282777,38726630,17453949720
204.569000624,39873553,30014364,13666638453
205.569539343,30487364,18312071,12096371623
206.570105868,13987557,8699692,6547932519
207.570587133,13605493,8624729,5720499170
208.57120521,68986301,47357677,15521852294
209.571839458,110061557,76124187,13546640934
210.572473068,109346549,66756352,13854641671
211.573117957,134841058,83636399,18177729881
212.573774043,130012679,78481688,19849972881
213.574557982,126629305,77421885,20720988396
214.575201503,139061894,83034642,20027560013
215.57583969,123499341,69595764,20631944990
216.576481711,125360544,78868411,21369132355
217.57713851,119915200,68322400,22498157346
218.577771134,128720909,77066438,21993924252
219.57840565,135713458,78613487,20492419382
220.579039437,116332633,66129997,22183044598
221.579688805,127552546,77486339,21711498548
222.580246805,122587687,67020488,20690923083
223.580878456,118522417,66101556,21663022306
224.58141341,129780698,75785572,19760921701
225.582059383,135430251,71531863,17678595791
226.582689691,143259066,79817919,20335985146
227.583333227,138012405,77508579,21707353104
228.583965338,129909113,72566781,21558648873
229.942155676,187902159,106275736,29448225877
230.942802061,136261324,76901928,21889712527
231.943450167,140841873,79008579,22245072650
232.944085369,139478151,79891787,21853503836
233.94472309,151177038,84991710,18713305247
234.94536768,140499615,77766106,20107467909
235.946028767,146186059,83025006,21346555757
236.946665428,141438883,80264435,21059129995
237.947306446,137651401,77549948,22009249190
238.947955602,140642536,78901711,21862094049
239.948605456,141535988,80729225,22182093739
240.949260664,141909236,80905969,22152889071
241.949908652,138925040,79592204,21581711649
242.950526726,152997763,83575675,18399162377
243.951168802,141561399,81453275,21903649736
244.951811792,134828876,76794716,21490663687
245.952501924,136577714,75631915,20258429518
246.953121687,129478644,73163071,19017290945
247.953731315,86484787,53719681,20416117372
248.954361839,82509839,50657109,14834963390
249.95490014,54187985,35728704,9403686556
251.392246944,116244552,75712897,17759430487
252.392941649,127748844,86413404,14646038722
253.393509125,79449659,52786856,15779832632
254.393962638,48545696,34407216,16922115833
255.394522724,44010582,31215000,16979987231
256.394977333,49567269,36383721,14621910648
257.395511893,59573145,46026122,13329726273
258.395971338,34155265,20812585,13033421445
259.396410847,42191993,30347367,10775587107
260.396832301,54986920,32858047,10124510622
261.397276144,81834962,51392250,11968066456
262.397831835,104246773,65514922,16321938526
263.398402812,74350082,47716017,14777130481
264.398973752,63816802,42657454,12494139409
265.399417772,52378754,34999449,15848543678
266.399947581,45541101,30275441,15231990371
267.400420156,52252174,36026665,15705067030
268.400867696,49295267,34139530,15523188786
269.401417007,52645405,36122213,16752892285
270.401968412,52436737,36899164,14550557645
271.402509836,41811136,26591076,17128800707
272.40306256,54943109,36168147,16384607578
273.403523233,70240325,41991866,14240584803
274.404058077,61944346,39718162,16979941611
275.404534419,50882535,33611596,16851591414
276.404984968,48828397,32653556,16857326825
277.405532804,48011564,32096086,16835525939
278.406025438,48988359,32275012,16676279908
279.406568074,47816884,31659938,16773366654
280.407042205,48670195,32189571,16930506553
281.407500735,49779314,32951680,16701607589
282.408059514,53597178,34645134,17164837945
283.408584127,58292444,38061486,17326884849
284.409020763,62702585,41734760,15397753477
285.409422741,16848150,11780463,5899850935
286.409948274,20609475,12681628,2322104843
287.410490855,727225,453704,41239999
288.411005426,428509,279033,41460246
289.411468207,52674,37058,721878
290.411951975,362900,219457,17636325
291.412356272,63325,45925,886868
292.412833597,742952,541951,76751040
293.413271892,21836528,13491659,2941534142
294.413600777,59098717,35031654,6197367955
295.413922159,39332129,27097224,4202663180
296.414282727,50934838,31225676,5518920626
297.414823928,2596487,1771872,409996217
298.415206382,5259377,3585023,631318221
299.415670561,65622465,36573710,5859893502
300.416076863,66026723,39941834,6435499174
301.41656314,32584871,20904511,3328965815
302.417112976,587262,359649,36152027
303.417578983,3672282,2340837,401156855
304.418007559,66350219,38200339,6140834134
305.418402679,57157518,35696276,5924515046
306.41880065,41789715,25875664,4357786173
307.419309011,16807941,11405567,1274114270
308.419831411,1141144,669652,81057089
309.055432876,441849,259904,40790219
