time,Total Resource Stalls,cycles,RS Resource Stalls
1.000285268,290935,3044233,132199
2.000590996,401991,3442076,174454
3.000876986,423895,3472752,161783
4.001253558,207933,2399039,84127
5.001556724,231598,2805182,111373
6.001829514,268438,2711606,115283
7.002152185,283822,2855935,119208
8.002437709,249048,2640226,119600
9.002743657,309738,2993345,128679
10.003022085,295203,2886860,137131
11.003377567,347192,3105028,152799
12.003778682,286804,2897782,111610
13.004097245,450552112,2784305396,225796537
14.004417896,1206611763,6405228439,583026746
15.00475043,807065412,4486986170,383784999
16.005241552,860550604,4984297754,463764136
17.005764006,92969041,432676702,49090875
18.006343087,563603129,3417216948,217846128
19.006910617,3153182725,20464266654,1109968660
20.007479596,4703702746,22064941382,1638024398
21.008065017,6118081269,22292482403,2092098510
22.008666408,5453553183,21792705590,1980229011
23.009262665,3825484127,21035449630,1325696007
24.009875583,3801679588,20555452286,1493366164
25.010487504,3751957215,20382697700,1487350649
26.011122831,3934274458,22097565028,1422147827
27.011773725,1562358309,19242355957,646189286
28.012374907,1061656861,17911564880,540344561
29.012969622,1420360946,19727735752,618053608
30.013532688,1202144942,18740357694,564195933
31.014122894,918273228,17325078629,499226178
32.014719544,872857998,17348053575,464887166
33.015233484,1085633606,17873167934,532861574
34.015823529,901454539,17376817024,497769544
35.016407277,900693145,17324977233,504424697
36.017063266,991411021,18085994894,508347337
37.017655185,828752064,17185723742,480143333
38.020531082,929747198,17245144101,514833626
39.020983641,1611789358,14140786529,734415203
40.021533316,3126309772,17572479857,1205531003
41.022125068,4763166595,21880968296,1686573888
42.022684194,5197736928,22240134694,1776300974
43.023268088,4320020844,21527503121,1562343797
44.023880826,4883740267,21896754645,1733359925
45.024477055,3894787333,21338674837,1481394164
46.025117606,3914200367,21364083530,1457849137
47.025727068,2598117633,20190024608,1036364213
48.026343251,2223117145,20563991249,870699970
49.026957386,1430054159,19245196546,619559340
50.027554867,1152211427,19079409475,535798957
51.028108413,1091512606,19013210500,517882484
52.028699242,981784107,17949251039,495643025
53.029295147,904102676,17616927753,476555769
54.029891412,865926830,17404474144,474961097
55.030485594,945793250,17840068232,466969842
56.031095116,832217125,17614787417,455418517
57.031706654,788974025,17496790591,433215688
58.032215762,941390251,17450698346,487937303
59.032758001,1156465373,15030442325,628759575
60.033318881,1891711073,14805308054,893365688
61.033893691,3630588525,18602941510,1312579379
62.034496888,4486887560,21841158956,1595725418
63.035073519,4907824110,22017782677,1714757272
64.035679554,4557328167,21687191723,1649038904
65.036267499,4260803124,20553545574,1532139783
66.036860997,3691524179,20307648436,1442625253
67.037475613,2501749243,17708193200,1018187195
68.038074314,1502127639,15255895282,695119188
69.038675558,1085035710,14124838909,613962639
70.039278898,952203531,13896325199,513119732
71.039890744,958400546,12532992284,656156429
72.040434684,858258144,12974670520,513705155
73.040948761,911553804,13029399533,554916954
74.041540195,767336637,12521039316,486597602
75.042072325,736696913,12436363008,462808437
76.042648824,814055609,11985461361,476291201
77.043204192,907881798,9424119436,572259605
78.04377742,1572822606,8714000318,753100637
79.044390034,2640322316,13749151845,1126157881
80.044992935,3539399541,18947556756,1290506638
81.045606028,4213239777,19767136697,1573186110
82.04614092,3836509016,19188677168,1414657863
83.046733559,2446868758,16528835187,1087545111
84.047352843,2063060617,15561394145,945881388
85.047913818,1512106438,14990500590,742701876
86.048528667,982380602,14075126861,544673599
87.04904723,859624350,13457550866,498900807
88.049779753,738570799,12118921505,458467290
89.050370752,852507491,13254523197,473594598
90.050893123,738740845,12307336783,447956599
91.051482413,827567250,12665974097,531705854
92.052105428,954159208,12822550346,611306690
93.052655091,794401125,9935262453,504830794
94.053219953,894140330,7945983608,509361942
95.053804655,2456022438,13855865380,1048830952
96.054392332,4247477351,19504721762,1518448637
97.05500013,3421891857,19222369146,1307580311
98.055533889,3633833524,17000276947,1442750185
99.056049474,2566996031,14747851457,1091510191
100.056641448,1747078407,12594640253,841956444
101.057225841,1278158511,12531749679,626890936
102.05785072,834433629,10604734278,511094416
103.058449562,746449796,10183261379,470751592
104.059079778,677284006,9823200851,431958154
105.059626876,520820622,9830179949,278021922
106.06023208,571703536,9935005713,362327434
107.06076066,659689311,9202581238,463147616
108.061333577,746521565,9499141307,475206774
109.061947221,686309887,6490923249,372286370
110.0625658,2356302669,12730478917,1010728725
111.063176581,4300050642,19226072309,1502784996
112.0638014,3050726896,15792962821,1272713727
113.064418706,2450932467,12976260069,1052962173
114.065006494,2136005065,13997708154,942025993
115.065623664,1387225333,12993175035,703724533
116.066176729,822607263,10208302619,510598700
117.066680737,726830958,9797603987,477171743
118.067241827,686560870,10229714553,410159337
119.067772145,639630078,9847088224,413018335
120.068358612,732893195,9815711366,484267310
121.068891276,724460419,9676258504,489259467
122.069393236,763406938,9695613050,480846869
123.069875527,449412877,3952362242,230069054
124.070472356,1681033528,10792651584,675533463
125.071082901,4206189009,18991130478,1626250133
126.071726094,3307967440,17008962304,1299873972
127.07234131,2611069495,13731434919,1119255568
128.072937591,2236783367,14222651486,1005312638
129.073505699,1328607452,11842248232,712510086
130.074020297,779374367,10472394583,477383987
131.074598545,817842713,10039542938,543859806
132.075130028,898517880,10396898694,567222386
133.075742445,808706906,9589421174,553939518
134.076341882,810499571,9449691303,576530082
135.076880571,863478929,10102676217,584411485
136.077399849,835821231,8901176858,557697935
137.07795537,532873944,4406630144,305028111
138.078543565,3417370383,19175967038,1275174745
139.079010751,5363389806,21567332910,1977912109
140.079551083,4567896959,20937715054,1600213605
141.080121899,3965982961,20999063614,1443773129
142.080714359,4260747108,21495957754,1555737147
143.081284267,5009998983,21892630757,1823123180
144.081843532,4391248050,20001910439,1645081051
145.082364139,3429778778,17958050721,1316161738
146.082935288,3916714540,20486910672,1461164202
147.083457256,5207155027,21923841510,1836322914
148.084036769,4581874271,21543906495,1679791690
149.084610548,4318523122,21891316034,1522268364
150.085212895,4549683351,21922961691,1652940367
151.085796927,4544852419,20949695224,1667341955
152.086351311,4419108896,19973276389,1656058502
153.086918754,4126981724,20087307853,1555424861
154.087476986,4466742729,20723690070,1582663073
155.088094439,4168703123,21152461684,1508214587
156.088678531,4427545204,21869895883,1612393020
157.089255703,4904425691,21770079721,1734883491
158.090665112,5129810254,21725953382,1830240232
159.091224516,3735234345,20093412530,1458018037
160.091831572,4127298211,20705402418,1561714690
