time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000275061,81645,4449827,42345
2.000606791,58272,3761714,16448
3.000940122,2116310,57182937,1797777
4.001350292,1583412,41356304,707328
5.001676184,1188767,27355659,1986741
6.001985964,172009,4151017,17687
7.002293561,15150,3030020,13693
8.002590345,16458,2969861,10416
9.002878464,19270,3216870,17074
10.003159699,13178,3041672,12987
11.003457289,13847,3078508,12835
12.003894098,11416,3047465,13101
13.004223883,115501290,1968862145,16377575
14.004567005,317716447,7229671889,37489348
15.004891592,177553541,4407615029,31423646
16.005360843,299613867,6263095894,43353619
17.005739291,18743448,406819899,2985335
18.006255597,90626169,1501654606,14598489
19.006835252,1161320626,20853526922,77259539
20.007433845,1196491226,22232213653,126309450
21.008056648,976324751,22250990826,266817564
22.008643674,1077685234,21946308315,185248771
23.009133285,1041820049,20854318342,158233012
24.009755084,881488080,20799590342,161367387
25.010403162,978639624,20200917336,170632738
26.01103842,1518348579,21748979225,71686083
27.011653265,453650901,19278021857,34607768
28.012250706,255735171,17907506830,16738483
29.012836841,280997418,20207251062,41012065
30.013435515,235611088,18467170954,22667169
31.014043187,153483329,17965096936,18954388
32.014895706,142175354,17512508124,15273273
33.015533701,218328224,17768325642,19537431
34.017597049,153135592,17932681777,19176978
35.018143336,124609023,17362971695,15447470
36.018720157,177062720,17855996591,15947042
37.019321255,136955647,17193854919,18023498
38.019840616,126762068,17177681645,16648900
39.020326109,337680594,16183126798,40667455
40.020867257,689913139,13350752352,58553507
41.021478673,1067866647,21364356132,142506741
42.022081467,1163234236,22085272781,154847355
43.022682817,1103346452,22206769611,187318868
44.023302754,1085544144,22040191025,194100802
45.023900182,950652893,19583447451,135502049
46.024517457,1096904333,21210258500,143751507
47.025092292,999588864,21191592981,104631073
48.0257165,907364260,20945506063,54852392
49.026299275,427319455,19359218382,33345586
50.026925545,275198159,19001787628,25299755
51.027560719,266990619,19248849142,33834553
52.028173466,181096331,18026375481,24901206
53.028778297,173618169,17790772477,22066629
54.029387544,175176525,17706255377,17609066
55.030046534,170664350,17560660148,19944431
56.030652855,176156932,17538748400,22315463
57.031271252,170933054,17873530587,22801085
58.031879163,144454819,17189161285,20771844
59.032493892,202400535,17193015585,26123253
60.03308151,257195624,13127803534,36908127
61.033642834,902079594,17621046540,73184437
62.034200677,1037392896,21510508348,170529638
63.034798595,1127445041,22029969104,146568455
64.035423967,1110716360,22230892886,184036352
65.036052143,1026719048,21863766116,177775679
66.036694833,976458680,20184080524,153515211
67.0373541,1044968653,18108813860,121930126
68.037993933,685663607,16803037767,61953226
69.038515996,231916525,14566716058,20117800
70.039062913,144041058,13294961690,15143963
71.039662795,172405788,13042979876,18650619
72.040202703,150637297,12919733391,17142855
73.040738367,135666290,12660741890,20256975
74.041276939,154904119,12879791088,21468568
75.041913983,113764496,12343393836,14999267
76.042542217,102154049,11951484769,17205621
77.043161727,129487070,12608600947,23124919
78.043637906,183292414,7601463697,37951573
79.044209631,642345584,12682608156,64153294
80.044816378,883193355,18178558938,152344900
81.045458158,941833861,19135584222,138479428
82.046083156,946234510,19847807240,183735591
83.046631934,984221889,19193515722,130228694
84.047267943,502720183,13540548278,63374288
85.047798829,238436526,11910393702,36059495
86.048439224,121927143,10268982071,30793811
87.048961837,133556096,10512358029,32163547
88.049482012,102950697,9485618877,25529120
89.050022934,115334821,10036045025,25976875
90.050563242,120946863,10081033549,30965643
91.051076637,74458813,9051592919,17496761
92.051683391,98334873,7448539346,22111040
93.052154025,106834752,4120728596,22914703
94.052736417,308044206,5947478124,43228805
95.053252199,577568797,11444762414,89442001
96.053865933,782563734,16504255800,138024437
97.054499695,738938497,15598417484,119232994
98.055028703,521015478,13686765696,100518465
99.055888653,482051941,13666519142,69310799
100.056506138,298398811,11823505958,40282326
101.057138041,127631185,10093095167,36603142
102.057770919,150243667,11249884840,45307462
103.05838583,118257727,10004462747,37673573
104.058961159,112935706,9846650810,32622356
105.059592261,107319129,9666048652,33062860
