time,cycles,stalled-cycles-frontend
1.000212259,3937776,3454385
2.000565997,4069470,3595311
3.000890335,27475390,19792527
4.001228002,43205617,23214084
5.001488026,29205912,20868233
6.001738732,4531249,3988118
7.002042325,3612366,3202020
8.002311665,4010758,3359283
9.002614149,3588561,3209189
10.00687114,3679262,3294170
11.007131091,3381852,3010594
12.00746936,3522371,3137404
13.007759713,1607332229,912755036
14.008000345,5715497461,2790676262
15.008293548,4571209089,2355879430
16.008605294,5522921929,2986249378
17.009071179,883747560,542743546
18.009446641,624760231,388107165
19.009871428,20754956680,14783928588
20.010314447,22069416283,16022622867
21.01075945,22222656920,16254884829
22.01119789,22068543483,16136791599
23.016898605,21690962552,15523070337
24.017298976,20728114987,14729638803
25.017745261,20114326400,14402402480
26.018217262,21755128822,16004347461
27.018668851,19265523979,11953004748
28.019120598,18004683620,10137101708
29.019583888,20093394774,12251863722
30.020030531,18499934030,10516934104
31.020497163,17769042729,9784034834
32.020950657,17380946736,9226364661
33.021395347,17823294643,9848866472
34.02184593,17725152959,9698281188
35.022289502,17408515357,9276737816
36.022744175,17751914202,9653314175
37.023196815,17279524126,9115521926
38.023649665,17240994443,9042324270
39.024061591,13282741895,7545005236
40.024476467,19997800520,14046930023
41.024861979,22226952699,16238103709
42.025319835,21908059899,15962634180
43.025776867,22254591787,16217602654
44.026243151,21234182401,15159027262
45.026722988,21062497235,15081100937
46.027198162,20781580139,15034472842
47.027679595,21743367744,15727948413
48.028142191,20056722990,12808735001
49.028622639,19059352152,11281566007
50.029584885,19330897376,11428879915
51.030041748,18480436657,10909478920
52.030514663,18168594955,10107359811
53.03098159,17936290059,9835356631
54.031448238,17689169271,9860171234
55.031914744,17407647355,9351158491
56.032366767,17817267551,9723475185
57.032830266,17820018950,9723815193
58.033293982,17139480638,8990925542
59.033727985,16514122522,8489650578
60.034111834,9923298755,5023286322
61.034544429,18792424332,12837640451
62.034980503,22180388502,16114990760
63.035432969,22206273066,16156013117
64.035877062,22211651652,16083124739
65.036329669,21805265504,15760335588
66.036796786,20042426832,14222296269
67.037256344,19784118294,14015351836
68.037713583,16648529639,10312898274
69.038177125,13643717106,7283929275
70.038640585,13243349516,6671568527
71.039112317,14371772404,6828111782
72.0395391,12675012727,5630462577
73.039993581,12682578207,5907132584
74.040449933,13435592014,5695461006
75.040859873,12359575880,5872089612
76.041247435,12342122593,6332186764
77.041631487,10512553129,4896527295
