time,L2 Read Hits,L2 Reads,instructions
1.000258296,8541,31776,581813
2.000579779,7495,29867,574290
3.000960354,220399,462076,17801771
4.001398509,218692,562429,45239903
5.001777476,115449,282767,19586882
6.002161311,9751,35815,627810
7.002471662,6726,27594,497249
8.002792705,7188,28631,568929
9.003079481,6721,28334,511493
10.00336737,6323,27913,512712
11.003707558,5632,25566,489385
12.004144803,6171,26962,497134
13.004527442,10812151,17885018,1241956005
14.00484749,69614476,104147012,5997729473
15.005165703,46318508,80828846,5146390907
16.005516915,46701943,79008354,5267549736
17.006046548,10935085,16499012,1012401504
18.006435874,2023941,4646316,325635261
19.007014177,142268610,243188201,13679124317
20.00761865,266507582,412784482,13985443687
21.009336235,191063157,348444118,15697712165
22.010040405,200525351,345396183,14959482676
23.010606824,193715199,318097016,14937369539
24.011188952,114672743,223621993,14115689778
25.011827068,85278333,197452524,13129308372
26.017618464,204388390,374776674,12380144041
27.018179357,202938433,281097695,17026419091
28.018802233,202534906,250784773,19937705713
29.019428416,246054499,306099275,21002326822
30.020046191,233517168,277488458,19706272048
31.020678109,210152553,242533099,20132097342
32.021292545,203950684,238493756,21241300752
33.021907727,203991313,244372031,20677989810
34.022527201,199049482,234176005,21288961277
35.023096043,198180339,233302182,21014826033
36.023698697,202638084,241399616,20921899624
37.024314087,198120239,229150456,21897715363
38.024921031,197956371,230856635,21974803888
39.025531401,166927771,213641907,20103518605
40.026083481,92790215,145455007,7291601090
41.026661838,171224955,289009741,14138256316
42.027270198,239281915,384953743,14689306413
43.027890304,162723955,295108423,15013393256
44.028549681,219545470,368457875,15470631557
45.029186225,160792566,284094620,14247656307
46.030845558,134140548,251826376,13873924712
47.032987143,136440783,249320436,14294718407
48.03362429,203286724,336523956,15130084542
49.034250198,226665656,304738930,18444266452
50.034886856,205329359,253922693,20684474372
51.035528197,237078482,294047650,21143018036
52.036158695,205779391,245520992,21056473020
53.036739893,197835301,232141658,21517732611
54.037372101,185365636,217723951,21048915356
55.038575718,209536805,247937232,21313203923
56.039198242,199249806,234124929,21453042796
57.039826497,193315853,227359188,21406759333
58.040474581,199953280,238746922,21297205972
59.04107341,148085516,176661094,20355475308
60.041651635,101989210,132201646,18986118966
61.042197114,157540587,229032300,15282418146
62.042739159,175284426,294680151,13707469601
63.043335765,198809088,336140155,15154807278
64.043955948,196409672,330423977,14557596147
65.04458487,173895832,307671022,14601407718
66.045232193,189496810,332427233,14603936759
67.045877525,146009323,256886835,14372374145
68.046498681,121360514,210267585,14594980696
69.047140993,164366422,243218211,17177531078
70.047768734,103926365,138470480,19964652651
71.048384736,131118689,164317317,18259210857
72.049010398,110870348,135434099,18271179546
73.049605162,102177801,132523469,19898754803
74.050227659,88786172,116286422,20770264261
75.05081118,83434282,108937854,20938024841
76.051298994,74996736,101507530,18151622512
