time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000271131,1013844,492089,17880533
2.00059288,93059,35363,582119
3.001038396,91480,40649,606381
4.001512484,868767,317460,17832203
5.001829336,1036850,382446,61081452
6.002133139,177547,60871,8638302
7.002432335,166317,64225,4401459
8.002724695,84713,33176,527565
9.003021892,80307,31230,501732
10.003358085,80588,34120,503979
11.003682947,80081,33643,493785
12.00398594,6749685,1590966,242768363
13.004402514,56166361,16589710,5043549223
14.004729179,58067385,17909907,5806953484
15.005063327,62258070,19037907,5072968055
16.00551263,27793982,7643261,2155488843
17.006053112,3825638,1302996,334243227
18.006690861,198331778,59053205,9498286060
19.00729643,238905324,65978959,13510327501
20.007889487,199573318,61144133,15386692818
21.008503918,215845334,69240365,15420845295
22.009130051,203850458,58727870,15157503042
23.009754158,265759344,84147952,13852278167
24.010391505,238454005,81011864,13767285485
25.010986085,282741744,91115642,12728140565
26.011608761,325865401,68878420,15427978390
27.012243599,280149430,26846657,19648605067
28.012872972,348374827,33083907,20080835202
29.013493404,349373217,32943445,21126333343
30.014117437,299893752,15717225,21140674790
31.014736011,287690441,15394294,21251371412
32.015294363,332863806,25955500,20397761788
33.01590562,319126602,20803007,20833975952
34.016522266,312893130,20187934,21014775408
35.017143034,331784955,24825308,20069120180
36.017761084,320537174,17162291,20039966754
37.018389002,309129658,17126804,21374310611
38.018991727,288412876,24435078,17921531328
39.01947725,158104950,22780779,12771788990
40.020047903,205375111,60517777,10581790106
41.020649526,247683443,69675301,13962418136
42.021267346,181009463,57398087,15684410876
43.021889486,232364516,69784755,14463469617
44.022537471,230030706,66693875,15030712786
45.023191401,254529530,80413530,14401015388
46.023856865,242985774,82347498,13468731815
47.024492437,283170770,93117565,12782687550
48.025154206,324752500,60690858,16984309016
49.025813379,290528800,28017619,20063461282
50.026439625,323015679,30195021,21252518107
51.027054956,322341424,28606225,20589871945
52.027688977,295890947,17220021,21526550976
53.028306138,288551544,16412225,21738647661
54.02892751,322753568,25063004,21352276523
55.029550855,341515900,21651433,19904282403
56.030187633,314534848,20638604,21042995246
57.030817295,344404986,27147528,20844043890
58.031447568,302098240,16657148,22153326544
59.032036799,286291914,16417802,21607120030
60.032579758,224285219,35276522,18070653557
61.033024621,173017432,49145214,14333979646
62.033597541,197836653,57933462,14114529802
63.034220125,235260845,71310470,14469194532
64.034835869,233474069,70850554,14533458926
65.035475783,236204442,71724319,14598194384
66.036110748,247582423,78275825,14439619212
67.036736418,225772412,60829218,14037213859
68.037371438,200958291,41360596,14431258776
69.038002971,208613463,34312139,16109233383
70.038542839,185831277,22893778,18736451571
71.039169209,158392093,11045265,18618110079
72.039817426,169198514,15099712,19164163998
73.040461187,145544268,12442589,20611094830
74.041054725,162539080,10646858,18381425830
75.041692968,181657377,13178377,17850531886
76.042325075,169769891,14783703,17957294001
77.042849614,111226441,17270556,14121642864
78.043445665,163763257,39998976,13796738206
79.044061117,189700047,50474343,15347468653
80.04467873,177377012,55307427,13156452599
81.045317869,221553945,69643709,12982693368
82.045984541,205240549,55104709,14387576123
83.046607813,227525000,54543242,14927657246
84.047216192,181799991,33059141,15382540583
85.047844535,118839929,12375720,15750639486
86.04842393,90890259,6819150,15671513483
87.048962653,83001694,8885381,16357277756
88.049478807,165800881,11905714,12258023572
89.050107897,98990693,7832246,15310372321
90.050671007,80093045,10965329,15873402692
91.051190588,56060487,7328833,11435094905
92.051710243,76799739,16207813,11586770147
93.052309709,118881247,36745238,9562730057
94.052945579,169783239,52671632,12690057450
95.05348634,172019676,52640163,13236851991
96.054032723,178735908,54970610,11855180887
97.054552879,165778546,41505277,12391326252
98.055117577,150379884,23972808,14725444444
99.055732427,128110667,11142441,15883206570
100.056288892,183195978,14091695,12644910662
101.056909906,144595150,9203936,14128464973
102.057544594,114658688,8254293,16252979573
103.05808146,127367785,13220029,15954344216
104.058634404,105528260,6168007,16292838838
105.059130647,71783413,8059975,11495413689
106.059654047,102745274,20215180,11069522784
107.060276746,87274748,22928667,8434115217
108.060886232,91525133,27303688,8483367623
109.06151705,162098427,53562617,12206732500
110.062175724,184298731,50901746,13350182968
111.062800153,158504031,41766292,13110827944
112.063428146,163103980,37214810,13543046702
113.064057793,143011976,22183740,14494240532
114.064576847,115508188,11727888,15880344672
115.065199649,119569814,12250245,16071746729
116.065752382,97895337,7306159,16349731849
117.06638691,102415403,8448158,16215006757
118.066913849,114680145,12927489,16235474975
119.06743984,78429743,6165787,10463447664
120.067970483,118584959,15466504,11903386914
121.068465894,111504462,29367228,12470546848
122.069079722,102613322,29541908,9177606199
123.069605567,152142832,49810056,11387047841
124.070213895,192420849,53827291,13618783026
125.070834526,149209629,42016759,13740325175
126.071482704,135483324,34632997,13624924293
127.072111384,125888424,27751840,13947579424
128.072723819,103788360,12222526,16106484007
129.073311389,90575967,8686106,16792775516
130.073836604,91799290,8914336,16100581345
131.074372026,168335275,12952236,11656459017
132.074887133,90432443,7980099,16108610388
133.075376584,83101367,9774992,13030191171
134.075865241,91602057,17130521,11282637175
135.0785444,103494950,21945932,12469819200
136.079154935,120814006,33255541,10267572811
137.079779076,119213200,40363074,9497412181
138.080293574,147094032,35598067,10047987887
139.080913149,108862999,26046432,11632815529
140.08146236,97098667,22458912,11009245414
141.081971854,34582753,3814239,6076969031
142.082536332,39806079,5079724,5893504758
143.08307699,40818286,5260547,6095878954
144.083576076,33798911,3285187,5997931926
145.08408842,33042573,3836331,5419398683
146.084612364,76538821,26292493,4797787957
147.085237334,229086960,77337832,13843399721
148.085810613,184852404,57919399,12398119703
149.08642894,234660696,68746617,14416614076
150.087037933,225094948,67103585,15460439771
151.087645301,232172008,70425089,14997715045
152.088221062,251362344,77581437,14983622650
153.088821801,226217143,72822635,14557542774
154.089436817,228884136,74644320,14356409454
155.090073515,222638172,72778818,13888870069
156.090643598,224490061,65984662,14190474543
