time,L2 Prefetches,L2 Prefetch Misses,instructions
1.000267498,39628,27541,561907
2.000674465,42699,29860,635513
3.001078679,490328,328462,35095234
4.001518459,40402,28093,600325
5.001848015,513290,361249,62355294
6.00222817,39149,27092,623601
7.002550523,36316,24909,492085
8.002847748,36594,25659,496645
9.003218739,39437,27864,504413
10.003517357,39198,27616,500260
11.003812929,34832,24166,489981
12.004116821,4773743,2773944,330811991
13.004458979,49590811,29024391,5214334791
14.004810418,49829604,31962624,5461880555
15.00518364,47037555,29812553,5073173454
16.005592783,20363278,11849562,2341657863
17.006103544,2443036,1314027,233124666
18.006703868,74888909,49059611,9426819633
19.007303381,105098425,66460570,13575484444
20.007894923,150636181,97599443,15619863838
21.008513116,122758547,83432008,14719932578
22.009119959,142486222,92948965,15524638657
23.014754162,105972752,70126352,13995966444
24.015390651,112689870,77800741,13987708933
25.016038392,99520302,67380546,12794817523
26.016649921,105002565,64225816,15238064440
27.017268003,110010889,66313144,20013054471
28.017894584,130256449,79614354,20685069940
29.018521594,134708902,78735855,20924453187
30.019105288,128927943,74894333,22054356843
31.019711792,127837346,73174023,20227904747
32.020364427,122185924,71799124,21037436431
33.020988989,123733464,71129996,20949643333
34.021607315,125366812,73035634,20971835339
35.022243097,132929433,76858065,21341648531
36.022852423,127953671,74162888,21739853416
37.023453714,119715339,69413252,20750946633
38.024057642,136882562,75370313,18917884717
39.024629138,97833546,62845622,15554418454
40.025220729,126566687,80684524,14383820391
41.025849675,121879705,81194941,14641069642
42.02646601,142371478,92029312,15429616169
43.027085248,134534830,89990577,15107150892
44.027723724,120112293,81106799,14803680482
45.028370956,114928213,77580481,13896758153
46.029001611,106857622,69712287,13418091166
47.029638346,103159875,64701589,16199050062
48.030310749,111166236,66066049,18431490387
49.030952136,124386255,72426364,19762339130
50.031568618,128881963,74945117,21066510761
51.032196298,134039857,76075818,21745759705
52.032748199,128802816,72379364,20967362627
53.033367712,125021564,71269424,20987429697
54.034007701,124389100,71677516,21518721241
55.034649982,123809133,71193867,21759988826
56.035274101,128587311,72478887,21039103117
57.035839204,139489164,76886288,20509159526
58.036436327,138741320,76099633,19743315243
59.037014378,104964331,64259900,18967433342
60.037512952,78484139,51922640,14442959629
61.038077316,119559569,74706757,14892299988
62.038686742,127342822,84602759,14805619669
63.039288378,133671310,87737430,15125275134
64.039900187,124324303,81653996,14718882163
65.04048783,128141308,85918293,14647722025
66.041137087,110121934,72283025,13429195793
67.041777586,99716076,62300737,14942191627
68.042537341,92270532,59513213,17578946465
69.043163386,77778283,49247449,18188839195
70.043799523,79063417,50853758,20210987725
71.044411436,78501213,49763444,18410452901
72.045033539,70990028,46149717,19615290758
73.045588319,83152813,51560516,18110697252
74.046204238,72733205,47561338,19598598195
75.046739851,81481930,48279619,17484504216
76.047234191,59155307,37786083,13899399775
77.047715541,53039573,34081564,10966860177
78.0486876,93193893,59734060,11713356961
79.049274814,115077479,72050146,12623485854
80.049917122,124800062,81473825,14268625586
81.050568139,116543982,75314812,13669330069
82.051238463,115298989,73906713,14504697277
83.051829541,96725338,60237915,14647298348
84.052454649,75598587,46687328,15094186259
85.05307872,64977825,41332970,15527775584
86.053679977,56033904,34872528,13650607261
87.054307142,58956726,39365046,16340427953
88.054930652,58353663,39722962,16504923584
89.055469318,55341381,37710704,16491243034
90.055990696,50686486,34739176,13992121163
91.056512118,37779870,25977272,11272606360
92.057102562,47176602,29277556,7590974425
93.05770942,98758989,59206095,9444320432
94.0583748,106795481,67098287,12061466886
95.058994523,125553027,78528137,12919354746
96.059516811,110267784,68616036,12464216410
97.060174236,85207832,54373006,12159897013
