time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000261049,1231915,26532668,637091
2.000572748,89864,3814517,21530
3.000991021,52963,3830968,18142
4.00144188,1074820,25354676,371739
5.001744196,1963104,48463922,1347838
6.002034537,1991350,34288090,1004845
7.002359365,157378,4249614,18959
8.002635823,16035,3066569,12248
9.002947371,17707,3131733,12805
10.003373308,10675,3003915,13987
11.003679285,16605,3374704,17407
12.003962756,13003,3749689,15012
13.00424669,22830,3374271,20024
14.004640755,13447,2661760,4619
15.004964778,187178642,3429224582,25247732
16.005261985,284446241,6151510770,50990784
17.005576561,214896040,4463124774,33797123
18.006020449,153729046,3612547111,29895614
19.006551966,26568252,582281391,6177827
20.007147226,333246609,6191725445,28378587
21.007755101,1235939517,21213071810,78208988
22.008355305,1107588041,22200899244,166307741
23.008969954,1011113949,22135027938,248745766
24.009611931,1120055715,22204266769,194094471
25.010256953,944348219,20707413276,132560781
26.010893333,960429394,21152365034,173512197
27.011526408,1176253300,20977667012,117086213
28.012152567,1163969932,22092634510,69054814
29.012776895,531226636,20288681518,35803113
30.013379046,292210270,18922674249,34613398
31.013989611,263675644,18015734772,16456966
32.014605832,287253983,18262066304,28507652
33.015212612,202237096,17275897081,24624833
34.015821948,231677997,17553654974,36827862
35.016412231,241645238,18805877813,232810316
36.016995656,85491304,17709531631,477064712
37.01760656,264636880,17873878734,466557318
38.018011157,508885271,13666247736,397737844
39.018420191,297313056,5463790978,113434057
40.018825424,625121205,13409803135,108037921
41.019342249,656613226,13558890292,100598414
42.019917208,713459155,14969732865,114650263
43.020495879,1078978244,20177119004,125516278
44.021070617,789683601,18989740102,119678858
45.021561453,695381089,16202754562,116190399
46.022103759,599249059,11593232057,128922811
47.022662853,626826364,12130623035,314900293
48.023151567,552808561,7191213173,211343027
49.023644267,381205670,7267210888,84190842
50.024170513,473476117,12857941412,90315385
51.024683377,202920938,8803807033,52406040
52.025115841,57426250,6713312012,15763869
53.025532615,50622459,6417473332,15824894
54.025944959,58821775,6352575454,14449160
55.026377557,42684411,6287042876,13135738
56.026895359,92351163,3302294664,39326010
57.027399063,6250990,60916340,345806
58.027913987,5821675,53184718,437679
59.028387068,748227,18919587,287312
60.028805309,361411,9542422,78160
61.02920656,32290,3115433,698
62.029655881,3653020,101560348,4033970
63.030014763,66973121,1117241080,22924448
64.030365611,281364798,5717811362,34085065
65.030713165,217441653,5090798265,35280792
66.031089964,220537375,4984914614,47170991
67.031472589,110739654,1969910945,11487469
68.031970763,7116631,96709612,1384185
69.032577328,893028148,16870786916,76105149
70.033186955,1331375077,22177473021,89670205
71.033782276,903277708,22277681510,219280816
72.034377506,1106552352,22161557790,225634282
73.034990305,1156405094,21996528787,200373831
74.035609955,838026781,20417738981,134223166
75.036237184,968595424,20321629063,178721227
76.036849737,1753195041,21430976046,53821834
77.037465492,880711848,21827164463,73334560
78.038095197,453983491,19164700492,36949628
79.038719194,289803355,18507002657,25286016
80.039338655,340392264,18859096290,20658803
81.039873121,256540088,17310209403,18689868
82.040491698,228689955,17317649312,22577167
83.041013832,268292217,17599984717,17808212
84.041732321,284059492,18641357315,41384708
85.042320833,106244685,18256773019,182527873
86.042942324,153654536,18215619178,206216839
87.043529693,510599477,18297631477,130088253
88.043942319,665371586,11976355103,93469236
89.044517363,977788720,20255803304,145657040
90.045109784,1261791380,22186172361,134249902
91.045703413,1027154252,22248358537,225048636
92.046349824,1004586032,21856778804,167137777
93.046871872,1081540837,21728778456,178855830
94.050747876,1190629025,21200585152,112179157
95.05137245,891756816,20746670170,129488427
96.051992529,1261488156,21400106129,51729393
97.052615246,697662946,21108668156,54469006
98.053230069,414565892,19526753720,26532353
99.053765625,257827422,17841307587,17953374
100.054389308,312312673,18709173803,22492273
101.054909662,281692630,17354514837,21602413
102.055519525,236802661,17741078548,39110558
103.056112838,244224789,18079333516,61630542
104.056708869,339316937,18620062528,119685325
105.057279465,99380430,15284322039,176487586
106.057792955,539712934,16004132595,154843331
107.058327266,891115655,15863643261,92648442
108.058909648,1116672457,22235239966,150492644
109.059506378,1107483285,21747005456,175205916
110.060109534,1141908501,22271013341,182095254
111.060710434,984382787,21886436189,156896286
112.061354966,1122320136,21127726025,169101494
113.061999745,1116853616,19013689673,109483578
114.062635367,800560710,18352883633,55483128
115.063153002,397395474,16602296929,33456394
116.063662476,201674094,13170061866,14325626
117.064271784,229787124,13002159540,16555062
118.064894397,218718405,12702218559,30320122
119.065424159,218429746,13079515874,53705960
120.066016673,116993368,12808846388,93885867
121.066681666,390329478,12540456840,155207775
122.067112795,308483272,5594355733,96264136
123.067702903,787706215,13157770256,76036481
124.068348948,1014579612,21250774282,152449559
125.068996017,1042746512,20915172999,172205489
126.069614603,843324657,17906092802,150453467
127.070241526,749378710,16533277226,157889270
128.070875988,1146629951,19503555661,70090820
129.071496684,580848362,16230226524,41711036
130.072156232,287198264,14834293542,46555448
131.072788373,234144193,13306159616,48484000
132.073399857,235592633,13065118978,41189709
133.074033827,205988296,12179114619,46109669
134.074632903,171730362,13586082793,98735345
135.075248172,143619959,12311969430,142066044
136.075693345,417443380,9752487057,159804316
137.0762694,660351658,11644153276,77175883
138.076902413,1017631448,21246220041,150024589
139.077530447,1033222356,21074074330,163418607
140.078187306,886218290,18806804204,143505996
141.078843086,803806978,15202329268,150574117
142.079480716,740550068,15543874295,69127213
143.080023593,367985224,13202108882,50425863
144.080581133,201430908,10227226564,47331413
145.081119862,201888532,10493966114,47141746
146.081734772,176202408,10646223386,26658328
147.082341828,172484914,11134533610,57640741
148.082947566,154736410,9941955109,85473921
149.083558925,269134216,8486341116,102246843
150.084108758,678400293,14277847200,84746347
151.084668049,659950602,15345366295,62233501
152.085286592,910470022,19498233249,121974004
153.085822184,958776291,18628836600,143089685
154.086410518,661760720,14456319141,129328822
155.0870496,673245238,13322873231,116082727
156.087686548,599440385,15323748139,68995594
157.088304102,294435154,12512012725,55214205
158.088847557,161310451,9707371292,38341906
159.08935929,149635884,9929806739,26836569
160.089887199,187855232,10035323928,34480428
161.090448922,139963075,9786077255,65089249
162.091084912,190851917,10623379754,114211245
163.091547743,243792844,6281094259,112896459
164.091994982,323624058,5509362702,50738233
165.092607992,562874269,10890902332,102315598
166.093247631,674375456,14874394891,116485121
167.093883155,828716894,17026776314,142714761
168.094420739,740422564,15555399914,88484105
169.094961852,519111892,12820736486,82714011
170.095585263,428212290,11948373296,45673741
171.096113832,268483070,11437376621,45494793
172.09664674,179728421,10032769269,40285145
173.097157815,143991155,9480292437,50441031
174.097780226,149794337,10548796234,67018472
175.098325758,246922683,10006714669,99854628
176.09881012,157056666,6106110577,91550052
177.099278995,410965765,7108039918,73215344
178.099780644,363688486,7290541167,72893023
179.100356497,413855358,8590738138,70520273
180.100981855,749155943,14536238342,114204750
181.10152162,766884680,17843713697,119262144
182.102028157,578726933,10400881363,231847362
183.227315463,903750397,13414124378,285923953
184.22792812,644379195,9739291333,373853640
185.228470007,602299999,7946976386,362301509
186.228976882,295603750,5237701741,210180471
