time,cycles,stalled-cycles-frontend
1.000215023,3884639,3348083
2.000503888,3725929,3401404
3.000770744,3344309,3036841
4.001074765,2396245,2064223
5.001335232,2905026,2600396
6.001555472,3318076,3013233
7.001774522,3030785,2724475
8.001981543,3112057,2788348
9.00219549,2967242,2659783
10.002412298,2962458,2645370
11.00265354,3199863,2881985
12.002886103,3227328,2910077
13.003092541,3273388,2967630
14.00338936,537266524,313317587
15.003686713,5530013305,2689314490
16.003945702,5273890760,3392660733
17.004204193,4888349682,2573077177
18.004584164,2524659518,1361732007
19.004867697,82516723,46486400
20.00527898,13008187730,9120065826
21.005718606,21507194346,15504545517
22.006160827,22266629922,16315086679
23.006588769,22141638843,16183708839
24.007013051,22178440451,16072658940
25.007479973,20164682265,14240662870
26.007924414,20797518073,14931167730
27.008377519,21678812022,15929351215
28.008814937,21081891143,14190830749
29.009233478,20338844124,12492194767
30.009675741,17589101002,9112574446
31.010124887,19006211456,10868031605
32.01056051,17642088327,9618229180
33.01100606,17035668814,8592918043
34.011442552,18330180956,10095465280
35.011867906,18449740507,10514913518
36.012307484,17261092461,9623791944
37.012715464,18682678900,11311425140
38.013011587,11727511731,6920750672
39.013393825,10228787778,5925664524
40.013803742,14951303579,9450057460
41.01421947,19171920219,13248014811
42.014638673,19819150765,13924457245
43.015095838,18836152355,12755934692
44.015503594,15829927769,9356038575
45.016206736,13873699277,7615496089
46.01656562,11551609473,5147226752
47.01688821,6259149776,2541358630
48.017187372,3373589384,1538197597
49.017572384,8066389720,4260932745
50.017971361,14319318807,8405864129
51.018293225,6885796175,2247583342
52.018603843,6452571585,1895132778
53.018897521,6199181863,1654141193
54.019266629,6347981163,1774971266
55.019621698,6413958249,1894894515
56.019988613,1195442211,771300100
57.020323565,160593209,103485878
58.020653914,3304041,2805945
59.020938648,3184043,2647791
60.021269363,24973667,16974492
61.021579857,3034069,2526331
62.021904544,105025790,65957676
63.022208867,3572575985,1836563202
64.022446463,6022702354,2945989082
65.022739435,4673177288,2490100382
66.02310639,3085772258,1585372598
67.023508529,311073470,163257657
68.023944367,9520944369,6608384715
69.024378784,21681229890,15621752735
