time,L2 Read Hits,L2 Reads,instructions
1.000258076,270833,665020,41798811
2.000644264,8086,27969,517869
3.000963295,7631,26923,499800
4.001360399,148041,331353,18459492
5.001661144,218288,563218,47464811
6.001964168,87497,212754,14965927
7.002250158,7630,30025,619562
8.002568544,5227,21166,418964
9.002856464,5469,21680,418579
10.003162096,4700,21101,441587
11.003449682,4522,20397,430140
12.003733948,5963,26920,583962
13.004101883,5228,22231,422893
14.004522691,5732,21496,435161
15.004854138,24003614,38906141,2785902607
16.005167225,79814975,125813036,6159224155
17.005502421,29819491,58331002,4124322374
18.005826002,48256526,77673923,5079449132
19.006336666,1677109,3842488,318741740
20.00691917,12956308,27441669,2275772999
21.00752606,168314756,276830948,13587066382
22.008111035,267803243,419346510,14460695413
23.008686939,163527909,311644153,15781119189
24.009283029,230851533,387007549,15244295113
25.009897431,169628710,283412591,14373433498
26.010539483,105368555,212772364,13944996359
27.011181587,108984724,234480942,12706229550
28.011806201,217015755,384973367,14280347742
29.012431944,193633606,271654608,20904035542
30.013029605,146106451,194048749,22316873087
31.013642372,110735061,139336056,24662055339
32.014246006,113113595,146248679,23198258862
33.014857179,98548795,125600980,23916040210
34.015491517,89489098,110235788,24782060318
35.016098955,92791512,138303555,23886492478
36.016676815,42142107,105562520,24508966902
37.017334766,48475477,113552824,23849195094
38.017902024,73382072,127352790,21448878628
39.018412863,93678565,151096307,9411096783
40.018938866,154297684,251250912,12288760561
41.019506033,159968429,265776100,13051673170
42.020060481,160660288,285791969,13706048229
43.020626104,174700302,295731715,15393955183
44.021186816,148350715,242994961,17093039898
45.02163691,67145693,101969531,17090390434
46.26612909,46464922,61186279,19062361799
47.266672966,29113157,44143984,14943637904
48.267327425,9495138,16824395,4466439824
49.267877306,31079116,54609872,11375053787
50.268408379,165658713,253110945,10024308258
51.268831449,62225051,100059641,14095900998
52.269242892,22925064,38550407,12992796755
53.26966199,18142078,31869873,12904727368
54.270095543,18881754,30909235,12886951887
55.270509821,21789291,34701584,12669974561
56.270909604,19957190,34592324,7589141603
57.271328945,1028104,1874663,99166144
58.271699588,480074,820436,39228445
59.272169325,252170,626116,40491193
60.27260573,8874,33765,711570
61.272987941,8525,31465,665598
62.273463511,188318,445419,24440996
63.273786371,5499821,9959638,636584637
64.274099779,69252183,104933908,5209423122
65.274418017,70793900,127294475,6743665503
66.274746343,36042678,63615256,4558644786
67.275207865,24291527,36927607,2316428873
68.275728917,2356917,4250316,308253515
69.276334486,92952141,164796343,9962967277
70.276925455,237442724,369570065,13515862170
71.277536292,216358729,382981806,15546218570
72.278137019,181387410,322028674,15171709507
73.278752118,237042141,374286617,15419750378
74.279440149,118141216,228969031,14215847895
75.280067439,96235101,212146348,13765771239
76.280706928,165910528,345212608,11211338342
77.281333016,232300747,383902614,15509391064
78.281943272,126673380,180261981,17953260316
79.282553684,136429055,192679625,21803519110
80.283164881,131338272,174954671,22269668644
81.283672699,132393899,167963076,20437877189
82.284189487,138423635,171293413,18273280551
83.284791914,129357980,162386062,19986312664
84.28539761,108750656,140548404,22935321982
85.28598623,84187771,122324360,25862621992
86.286570022,47592098,81293439,26998059753
87.287163094,70283160,106464327,24836473088
88.287587857,37928248,61245805,14568734916
89.288079149,99531929,173495922,10379714557
90.288665092,251232054,392026198,13900088789
91.289282961,189309200,338288544,15583401100
92.289884428,207152304,360165722,14826706366
93.290512038,194150015,326071551,15045673527
94.291160654,131106544,242384110,14424396539
95.291747234,94816789,213493061,13159222930
96.292361709,186323947,366438702,11847337429
97.292979181,201360798,329365721,16911657542
98.293602477,162574429,236649822,19336919070
99.294214706,127875497,169260041,22703454206
100.294829598,130627116,173532901,22250922508
101.295377237,139842960,175664314,18842567028
102.295909785,138333409,170489745,18382364236
103.296516997,121949454,158717058,22097920034
104.297105924,108830051,141755432,23098607800
105.297693862,69745334,106548973,27671914008
106.298292667,57859016,97653836,26766537064
107.298840694,68538418,98888622,23671912220
108.299417073,110579833,194611210,12683167878
109.300015373,247293223,387271450,13898203526
110.300608745,196948859,345929557,15592073372
111.301235154,202141446,353776430,15054612479
112.301854314,187904453,314192087,14734674417
113.302501163,136022077,251720662,14305197010
114.303088087,100206019,216052734,12539252437
115.303736617,185438600,354094196,12663791904
116.304378858,170048618,268925011,18019993880
117.304971421,118970049,168469618,21776847896
118.305589066,92320873,124733631,21894235455
119.30620221,103161856,141040959,21457751858
120.306817573,87362442,120750719,22278338443
121.307427755,71436305,100382760,23317500261
122.308033404,73383930,111882797,24916010158
123.308613947,54410220,85619247,24821370813
124.309116816,51765478,80003092,19562543383
125.309656207,83152132,138101240,10493268408
126.310245339,224007127,371163991,15155888701
127.310856655,197310490,333629786,14519558123
128.311485159,177970617,301154427,14264120330
129.312117614,147282096,272103030,14215388137
130.312742016,146462767,269912436,12641332539
131.313388223,130124874,216119075,13631981779
132.314008095,83564728,127340699,16734276663
133.314529417,50994336,71836016,14925996065
134.315157444,45368097,69687530,16819313239
135.315777699,51184615,72880912,14366689232
136.316308367,40171274,61364408,18980895257
137.316831036,41279680,66056543,19409127064
138.317303054,30252528,47481564,11892937035
139.317778244,44546593,69918347,6646771972
140.31834305,97721074,162174832,8527606327
141.318888108,141548005,230470272,11858760745
142.319522327,153574503,264075360,13148438785
143.320153883,150500756,254544472,12497279385
144.32078977,87061316,160426268,12199422599
145.321334717,113960981,175263053,15008355544
146.321845693,58866364,93353066,17316219998
147.322466082,36252234,56196211,17125935736
148.323046921,37449281,56350090,17966004796
149.32356826,45181325,71346823,18210508874
150.324060365,51964044,75614431,18663761252
151.324558373,69695885,93311538,20377547774
152.325135993,56651486,86889172,21269814394
153.325632475,110044416,173338438,17747390537
154.326245465,161843382,262635811,13461095001
155.326820537,163594801,278008811,13365538609
156.327435487,118948937,214609167,11458042734
157.32805872,107273525,194770863,11999508860
158.328686467,121204362,196310611,15547285290
159.329308057,51400056,82118411,17851777982
160.329886118,29277106,46805991,17457397178
161.330515086,39615647,62860818,17773548145
162.331056744,36251996,58689874,19237178545
163.331595327,42343258,65401648,19198447820
164.332070722,24726302,39222285,10929500291
165.332616998,38834290,61255297,6413889743
166.333212555,113026781,181762986,9647948333
167.333820654,134604378,223232910,11863251820
168.334461066,156899683,270437037,13215379154
169.335071879,144069704,243068165,12149526802
170.335719764,98462421,172679875,12692855288
171.336265054,97229779,163161578,14443899759
172.336781317,61476412,92651765,16395764320
173.337325433,34488513,55160517,17362394624
174.337857555,43448880,64121813,15589481104
175.338373987,36338658,57460996,18958740471
176.338880776,42082275,65091918,19504651224
177.339392905,27352607,44419653,11599596177
178.339844351,37052107,59135151,6743854313
179.340329975,91841550,154425554,7558149416
180.340838121,70761463,117825682,7715531523
181.341445036,127662908,219782303,11275137863
182.342069436,187986536,311745660,14170469537
183.342691311,94421453,156017341,12059492002
184.343216885,39468008,65929391,12764618852
185.3438041,17631783,24768215,14158085619
186.344341751,20122470,31232152,10801079860
187.344851756,10783765,18120309,6836997046
188.345391664,9658138,23683512,6326278690
189.345908422,17086366,36734999,6714793415
190.346412123,11430062,20071902,6330317263
191.34695942,44810461,63531724,19640125669
192.347788555,160460186,262282914,16510650439
193.34843819,186813514,315076125,14382665758
194.349075449,335930091,476589067,16066238755
195.349785362,211458562,284995777,19141913533
196.350412538,169533254,224829319,19736907304
197.351055433,148317264,191061938,20554448616
198.351670643,148424660,177554415,22386762071
199.352297604,137601853,160276681,23151651146
200.352899624,155395142,174436760,20425427476
201.353523619,146924343,181699862,21681406353
202.354152501,135462318,178413664,20536614121
203.354812479,255859651,324536609,19738835874
204.355431536,151912245,194895591,20259176337
205.356018776,189444026,286094804,17752275427
206.356463806,171298059,274127018,14864528463
207.357000998,157832760,250093850,15978868630
208.357517496,101195907,171776545,14576832747
209.358032433,63354437,94829866,14421808265
210.358534804,19008788,24834525,16128366656
211.358941249,58645207,87590172,13771710578
212.359468222,45505040,81563635,12818607288
213.359913781,171273251,270011028,13035777423
214.360435315,172249995,247260355,13813257801
215.360905423,88164804,127421275,12679326131
216.361360773,42522440,56005452,15371435591
217.361813315,31108536,42128130,16041832997
218.362344639,32640671,43590502,17005391661
219.362888193,50040042,81790773,15231864546
220.363458027,143114456,206442349,14492016328
221.363833296,65306077,101180805,6640461867
222.364333139,397039,913367,48517495
223.36484604,665921,1400807,81938421
224.365230448,10145,33970,737419
225.365648155,10141,35008,730513
226.366094826,150856,339999,18596968
227.366465874,9790,32310,684796
228.366792105,5707821,10137877,787042103
229.3671583,58736635,88894282,5028624130
230.367489757,80281868,140926658,7003739412
231.367821994,37992132,68289149,4739266278
232.368329882,24862180,38671643,2376680300
233.368865529,326433,928974,79756553
234.369264198,37788662,58754704,3520811250
235.369731132,92005680,149423263,7792310253
236.370096213,33696863,59450537,4268510225
237.370488398,67880738,99200976,6042265960
238.371008787,16222386,26309093,3363727384
239.371529335,294569,543392,12974045
240.372051059,261922,516985,19644986
241.372428785,41754454,62211183,3735068940
242.372811527,85113682,138225662,6839377476
243.373197703,40377504,62438566,4391121700
244.373588714,85298483,139140517,6731481440
245.374085964,24251953,34728228,2906862066
246.374576138,689484,1160144,57773768
247.375086633,657096,1179330,59278744
248.37549034,7643,30336,635474
249.375902591,8237,33365,706434
250.376364412,150437,346353,18458409
251.376815936,443990,1087173,73979721
252.377166609,12357397,20466734,1449773329
253.377495017,70165128,105686357,6080916740
254.377814976,44647394,80577576,4880598796
255.378265868,37308441,67187031,4652684908
256.378810084,15814661,22533881,1512208418
257.379294293,1213112,2928657,211564057
258.379768445,60925953,88347037,4950689647
259.380159253,76455101,123431123,6955040208
260.380544248,36369043,63677972,4180545853
261.380923134,55169154,81022074,6055080558
262.381421089,9898715,16731693,1713819624
263.381947537,267867,545940,20608820
264.382465521,983990,2068666,133125910
265.382887886,67081960,99865339,5461499108
266.383290207,69818396,114363133,6682307294
267.383658981,34214822,60317628,4733769745
268.384179895,43889144,68589061,3633519857
269.38466519,835031,1377578,67021952
270.292206121,510661,875217,41842413
