time,L2 RFOs,L2 RFO Misses,instructions
1.000260361,6910,2645,491689
2.000654453,156888,96165,18320935
3.001033302,6751,2370,491316
4.001486356,242296,91741,44154823
5.001889764,143796,42680,20433477
6.00229297,6527,3261,510013
7.002637261,2558,2043,482554
8.002958937,2034,1739,424982
9.003238629,2377,1867,433561
10.003602356,2244,1988,422926
11.003898021,4444,3990,946904
12.004182838,2344,2009,443309
13.004474244,2439,2035,450274
14.004773512,15706752,3627467,1353868251
15.005117362,70659345,9015844,5971040985
16.005433958,40896615,10345045,5113599709
17.005782727,50941172,8829988,5000735880
18.006302715,11350320,1293116,1000951240
19.006725781,3809728,787130,345375845
20.007286021,181839061,38398916,13729019498
21.007878189,232090991,30114178,13882046063
22.008460576,103399397,28025819,15865465598
23.009070262,137776056,29707054,14823486266
24.009673802,183014046,30176961,15164191301
25.010292956,119862385,30031318,14180949713
26.010899184,131510359,49333365,13184924525
27.01153853,242609924,48270930,13003858639
28.012148529,107289043,25937076,19809987884
29.012682443,64504905,18692494,21474497954
30.013196848,44191675,8685747,19731372252
31.013814483,56607053,13772254,22827291379
32.01441288,40971714,11744855,22981095754
33.015018131,36542515,9465931,24757433932
34.015625928,59641542,11456773,23919695793
35.016208232,25750650,4066025,24333486313
36.016806585,1503166,234076,24359892283
37.017401664,52996168,9307857,22743640954
38.017804442,51038619,12916964,13703304995
39.018299508,137334709,20642082,9903037399
40.01883343,113603425,22091702,12191939386
41.019303981,133490754,28724103,11393075471
42.019887856,154239968,35978097,13002484904
43.020458366,156110050,34739802,15486208915
44.021030666,110264242,26117667,18190376507
45.021507148,57965201,17500854,19141651194
46.417622981,35319118,6125037,20291172946
47.418039689,29737118,7054302,12254795908
48.41847551,17642756,5756447,11235608551
49.419021514,110532859,18267505,10504596580
50.419539152,51669802,8673412,14499299880
51.419969629,12577828,2868984,12909053954
52.420498575,10640629,2577980,12893564836
53.421015563,10316458,2704231,12979191594
54.421562686,8056326,2008025,12875826252
55.421957375,17022374,3448605,8366210732
56.422481329,2380660,397275,117593781
57.422899718,1992368,182739,63652553
58.423371544,11731,3655,688320
59.423844135,190848,115538,19484523
60.424278629,10727,3408,687300
61.42466482,12758,4002,716714
62.424998109,3534943,1202432,423957669
63.425413951,67657113,8987281,5217875955
64.425856637,47646419,10405921,5861702355
65.426254856,43605564,9769454,5178481498
66.426763885,32316622,3706353,2035973233
67.427300643,1168818,155534,85592886
68.427893907,137625628,30569276,10926550194
69.428497606,252159942,31124297,13663089458
70.429097899,104775557,28640602,15719688221
71.429744143,133800325,29240808,15221752943
72.430355414,189404142,26902755,15190517875
73.430997242,135736839,32634768,14221444065
74.431646965,125188976,47240233,13683990892
75.43228833,278253254,55570223,11399039783
76.432926539,124531893,34762595,15991713581
77.433553891,78240435,21211454,20715697332
78.434178048,45018895,13547386,22010182989
79.434807297,56661322,14601007,22547459655
80.4354275,41239348,10584996,22150191036
81.43593468,40295817,11490672,22325995433
82.436564034,51760528,10447003,18822996162
83.437173646,42314305,8444814,24317246751
84.437778519,20479036,3305720,27225013719
85.438367308,35265232,4994516,26326275862
86.43891298,39921128,7762905,18752672011
87.439429969,117031572,18783499,13706408238
88.440010192,148279706,30128777,14350911503
89.440632471,206323176,29930188,14230456734
90.441228229,141153359,30258979,15483527240
91.441889759,142903637,28820955,14736059425
92.442516003,156130663,37596259,14525370069
93.443206339,198180470,44882546,13258004414
94.445946438,130394131,40300038,14993614253
95.446572268,181480515,46646684,14476939026
96.494184931,125194499,28844250,19775027967
97.494803859,68371828,20233156,20813910808
98.495385959,43911052,11657175,22644678002
99.495947934,48260687,13022955,22443506834
100.496557013,47055914,13221843,22493396190
101.497170466,41384161,9650219,23814680579
102.497825281,27810987,7592649,25096260329
103.49842171,52635376,8010851,25174342412
104.498961959,28201711,5477020,25297269105
105.499528223,78858680,12626687,21713830394
106.500064974,131572436,26002458,15443152356
107.500621625,168000350,28278580,14703429070
108.501209057,164765671,31837424,14926981365
109.501831792,173139635,31957751,14530640970
110.502463668,154662732,34641108,14790645146
111.502997785,170375361,32120075,13963976451
112.503601557,158721688,39735755,14460445777
113.504237863,113123193,24469840,16481627032
114.504889212,80692123,17050217,17492359374
115.505532208,54329436,14517050,18842779622
116.506161316,30580682,8127445,20108545865
117.506765818,36867679,7940640,22993816155
118.507394023,28640609,6820182,23536389387
119.507885267,38078692,8109289,18925467812
120.50836416,32506801,7067452,13962491124
