time,L2 Prefetches,L2 Prefetch Misses,instructions
1.000330795,36409,25632,500670
2.000733709,365826,220504,18486009
3.001160949,34821,24461,513843
4.00160359,375565,270265,44348564
5.001916746,176186,122694,17880908
6.002218477,31741,21889,489008
7.002501656,33894,23503,430232
8.00278162,32426,22689,448775
9.003080091,41710,29054,904606
10.003441004,65456,52032,814435
11.00378879,34727,24041,452050
12.004079745,38612,27121,512390
13.004433639,31044,21383,431490
14.004738197,16631574,9935757,1636878386
15.005155069,58486626,34442549,6139585825
16.005471424,48507213,31155127,4920823919
17.005815933,42302805,26704951,4679601123
18.006346116,8172477,5037187,1083223091
19.006857655,8101820,5659962,954841971
20.007406179,106362649,68480438,14029582581
21.008001987,122666731,75398413,14385704791
22.008592688,147355702,100735923,15720698870
23.009173646,130405330,85495335,14622911234
24.010460462,126566853,83462440,14855282679
25.011084243,110667865,73620653,14166980038
26.01169837,104743423,72323162,12887574303
27.012306417,96630190,63186366,13384942053
28.012921235,107864213,65019186,18240669835
29.013512943,111618179,65794507,22026149104
30.014115934,103080384,51402977,25017642887
31.014721863,109296911,56711932,23759212638
32.015319445,106065138,52189331,24017499059
33.015929794,103856385,52348009,24730294077
34.016535845,77024884,43418592,24398924531
35.017110125,59738094,37711908,24130975691
36.01761527,24976636,19143921,20989220710
37.01822638,32106115,20279662,20448635763
38.018755088,57472631,34933571,15529099404
39.019267833,109143596,67236083,11707060583
40.01979698,94505562,60993693,10438903561
41.02035518,91008423,56815477,10570372436
42.020935147,120454959,76234661,15204457675
43.021472373,115816829,73674287,17555611138
44.022040647,109070908,72584949,18687115352
45.022593853,60756003,42519833,16826535386
46.023117676,30493517,19030563,16462713771
47.023535817,12445227,7219627,9745493594
48.024019901,16476862,10388416,10566260741
49.024462349,79062077,45371557,9135823665
50.024878688,100809146,63799924,14756909258
51.025393798,43064475,29979217,13236527625
52.025834083,37355167,26854155,13364307539
53.026257077,36647865,26401278,13145435882
54.026689468,38266847,27606152,13530798999
55.027106292,31496513,22082839,9041262958
56.027600483,566263,385947,45247388
57.028081354,1564695,946468,128796491
58.028451022,53659,38380,692261
59.028811279,54070,38346,724695
60.029265742,385145,233130,18582534
61.029652841,55797,39786,729533
62.030033979,6305327,3921623,566030426
63.030425633,55996654,32387620,5608234713
64.030745984,55239624,34499912,5689314931
65.031217813,48252513,30587171,5261663855
66.031825334,14398729,7335629,1450879814
67.032342263,2444363,1483548,258568985
68.038424067,89599530,58530136,11639869476
69.039006949,108699820,67826725,13765518391
70.039601433,156619776,103082509,15785567783
71.040208053,122893452,81561397,14984234000
72.040789031,137003862,92114660,15097607167
73.050479891,111294418,74251468,14248041828
74.051116431,107519378,74175101,13347981568
75.051753104,83015668,54782600,11514563108
76.052379058,118059090,74998507,16864484384
77.053003053,119536082,70738306,20135074092
78.053616611,112256842,66124029,22709995774
79.054150813,127834209,73442319,21632152557
80.054763281,120218668,67737416,21099320919
81.055376536,117970673,68162304,22560237230
82.056008854,123370781,70750488,22732068847
83.056605677,106039264,68530192,23861501634
84.057189384,78048701,67062745,28020800711
85.057781765,53110817,38128305,25669774959
86.058313842,46207799,29452178,21223814358
87.058834398,90198670,56361363,11737688808
88.059371022,136065702,88418491,14970107633
89.059973054,128252763,82315136,14645310867
90.060586549,113334428,75692087,14384342246
91.06121014,135198555,90038462,15303552601
92.061840659,123306261,83209235,14320816257
93.062443662,96255689,63464944,12818404184
94.063067032,110450884,71506439,16068021935
95.063641506,116258699,73841886,17156139489
96.064256271,103768382,63245925,18971971350
97.064876814,120067740,71726073,21167325625
98.065486721,117871979,72377627,22063308047
99.066125432,109012599,65110508,22939217597
100.066743384,112876210,67106113,22606771375
101.067333207,109101108,72183384,23529187910
102.074450732,75447713,57424233,26753574453
103.075042366,72293021,53405599,26307272176
104.075581491,63485640,46546749,24628610900
105.076133058,75938344,50064347,18309389382
106.076715149,121886535,79804176,15951602463
107.077278365,127427064,82464593,14825504258
108.082446145,122822510,81422035,14717188769
109.08305351,134857897,89179322,15046002712
110.083644236,126542730,84405598,14464288750
111.084265795,109378886,72668217,13373874018
112.084895948,102143829,66523635,13081491231
113.085509792,101483147,62501110,17140269057
114.086132423,82556214,53258891,20794269409
115.086755998,67969407,44252033,19413863479
116.087382212,78350918,47666111,17139481443
117.087939034,75083715,47778720,19235708797
118.088566728,74277793,49911390,20700757206
119.089176178,70716599,55975999,24976271503
120.089706221,39882695,27432350,16805735679
121.09017699,39929903,24237459,7536492638
122.090786282,113236645,71472644,12050779676
123.091399345,136843113,90189027,15163790009
124.092045139,126612645,81786540,14382292679
125.092677134,109962417,73428148,13469911075
126.093325871,105367353,67737264,13256273552
127.093852296,105382718,66153224,14872629475
128.094471428,99422044,56918201,17921494777
129.095043601,83167462,47540027,19513342328
130.095658601,71418465,43416412,20433288618
131.096267731,72532840,45117367,20838638336
132.096885475,68730980,49144857,23040608094
133.097477176,67892358,53313601,24660552476
134.098059152,41716228,31248813,19897169546
135.09849692,55659442,34670666,10281663277
136.099168095,70210940,47014708,7265977765
137.189898812,108616925,68897268,12864646984
138.190472799,136158693,90433655,14816549626
139.191085767,126458407,85097190,13323203026
140.191709765,87452230,58297236,10483654293
141.192349765,94813544,58649482,10338624956
142.192977393,90488859,54487208,16200494251
143.193604368,50466138,33591970,17809509938
144.194247606,57342578,35628185,15343013115
145.194798542,51135786,35632594,17828031459
146.195373081,63380880,46208297,18276088930
147.195964454,58272849,49169044,20042792229
148.196458808,40238048,26337512,15729137322
149.196999076,62188778,36908213,19261481411
150.197594784,93523422,60318451,20835164830
151.198198661,111729892,70858199,18232563574
152.198749987,118426297,75020661,13224811316
153.199351213,97530720,63604573,11311123298
154.199954024,96852012,60322596,11910319685
155.200589677,87468163,53392253,14875718854
156.201143643,75080820,44897033,17296956430
157.201643745,52343338,33082331,17106687563
158.202243699,51328297,32748423,17097525950
159.202790375,55596544,40135388,17397057774
160.20337842,56537803,41011941,18597067163
161.203887793,32124106,25112402,14423915138
162.204425113,16402346,10376623,5861526002
163.20504842,85853642,50159378,8104523419
164.205673135,130890616,83676137,14164924893
165.206291765,118191087,74378024,12848785935
166.206914603,97785134,64689438,11018140326
167.207526417,98238583,61131405,11793183748
168.208134734,86637270,52925252,14804845499
169.208661944,67527020,42116314,17396247666
170.209189427,60229422,35510357,13060723888
171.209729891,57051179,34087277,13685148937
172.210329911,56828704,38077968,17006063316
173.210927863,48004838,38464919,19211569427
174.211442407,44820190,32150977,17375673227
175.212029273,63199172,40019571,11483704709
176.212481022,94351719,58736344,9566610027
177.212997496,66416093,41367357,7497042161
178.213530294,109183713,67664459,11799595904
179.214146212,109307875,67432848,13148054427
180.214681971,99396476,61289130,11194151787
181.215269455,70465649,44739436,13191059575
182.215869486,25973444,14289312,11831450886
