time,Total Resource Stalls,cycles,RS Resource Stalls
1.000315158,409677,3602330,228394
2.00065479,475309,3885292,245629
3.000965631,12226091,73208220,5126156
4.001397234,186129,2680280,126936
5.001738684,25507237,118209042,9925136
6.002055767,41661149,161442489,10818071
7.002358513,158336551,441129062,16748358
8.002677538,239973,3033423,157798
9.002991613,345462,3554234,202216
10.003309356,230517,3029662,142247
11.003632339,420746,4226308,215071
12.003928237,5885939,29322909,2258455
13.004370468,641601730,3941244790,326344212
14.004692412,1161489708,5889468600,633207244
15.005030506,880074013,4893510862,481556750
16.005619468,458157444,2626128095,250598190
17.006194612,41204499,173621486,22868554
18.006830592,2091181923,13560729001,755100485
19.007474202,3761904217,21613466016,1267548968
20.008053609,5645019277,22078117793,2078707606
21.008704565,5186977704,21677583181,1811560278
22.009342631,5384930199,22220568668,1773083105
23.010007611,3349723909,20211869996,1403314610
24.010635786,4165467062,21106790576,1480987850
25.011311155,3836011104,20431955216,1576066893
26.011948632,2503557400,21028767189,848419487
27.014528314,1888820462,20773734668,644501510
28.015156061,913016127,18060921791,289442990
29.015723367,1143953214,18475912023,388886666
30.016359408,1168964368,17165494398,386738284
31.016881672,1569518538,9464680205,690097441
32.01736987,3995053565,19254573429,1464468061
33.018005296,4342664418,21560112808,1456243810
34.018653906,4766145706,22146386202,1663458712
35.019308913,5064378168,21821525983,1862249322
36.019953273,4411301319,21893062585,1526160212
37.020612056,3912046568,21382939234,1510103130
38.021278848,2928980430,19594569971,1111688053
39.021936807,2611143805,20104307263,959800977
40.022597635,1482156160,18064570147,513405227
41.024173498,1015660579,15515723016,336035693
42.024692097,814870950,10816546423,305195210
43.025151467,1580296311,11371940351,676349338
44.025747086,3825816965,18490790661,1430208303
45.0263787,4430180759,21328230118,1566948250
46.027039755,4095144988,21355457229,1474070826
47.027728199,5016589551,21604918523,1737314990
48.028408123,3629907434,19960086040,1446069058
49.029057844,2973419181,19501365767,1141601592
50.029708603,2686902506,20266760711,989562670
51.030355011,1727644562,18280706189,632621092
52.031003084,1116962773,16920539860,378801971
53.031517445,970089604,13623151053,357154258
54.032074364,1079044660,9786415992,438253770
55.032676325,2756949049,15568139060,1112816301
56.033312093,4415558963,21594574388,1533102538
57.033966979,4745211437,21592430688,1670657676
58.034602897,5276476972,21991419480,1787277208
59.035274616,3715020859,20000967403,1476618212
60.035932025,3130257194,18922543126,1220465503
61.036588914,3133552405,20768389744,1150198913
62.037237833,2057542526,19089030195,771910429
63.037801628,1227570597,16719454143,408314816
64.038312736,704587264,13966338012,233568193
65.038900977,962998983,12475239524,329436212
66.039402916,1598802264,11824438730,611231612
67.040064299,4379033804,20549142877,1587786349
68.040720597,4461379211,20780952370,1590914296
69.041366879,4450189906,21561113937,1544847645
70.042026272,4503494865,21117212817,1682179211
71.042711229,3867091802,19715021429,1513607751
72.043303535,3168928532,20304148744,1198587928
73.043952062,2310969232,19940919692,831226898
74.044495733,1619653034,17875479914,585282232
75.045160711,998876769,16018916751,326007332
76.045797736,1005574173,13247977134,350428368
77.046390845,1255694740,10510590279,503376809
78.046978591,3644269117,18065860951,1358020776
79.047597732,3939050500,18885443696,1438439312
80.048100229,2513588929,14661524574,1059745545
81.048712741,2157822480,12525261513,1014995864
82.049305014,1617984203,12812180352,674727156
83.049789196,1350100261,12689897482,517740685
84.050325642,802079829,9238185972,294150909
85.050746636,680416424,6247288949,270665833
86.051193392,498116200,2782104942,275701129
87.051765256,645600860,2576271685,343905494
88.052236072,20056497,110519256,9898188
88.239376653,152688,611352,103442
