time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000276986,1295168,26811797,648759
2.000587144,60077,3393759,21110
3.001019579,60330,3505858,18557
4.001465369,1013040,25108533,394499
5.001881959,2324801,48895118,1423840
6.002297737,1818824,32069301,2539156
7.002756863,119909,4002303,16564
8.00317657,15533,2770705,11679
9.003591265,18633,2980561,13047
10.00389474,13178,2940542,10571
11.004188378,11356,2966651,10878
12.004641306,16730,3054723,16313
13.005072122,230808847,4043288561,29221358
14.005484066,270493851,5894719915,54201360
15.005910495,231882396,5431437571,44112108
16.006464876,137341616,2868837284,18053536
17.007033974,24757738,428389325,3248197
18.011593516,587510985,10553534742,43401429
19.012174264,1260134663,21559760080,89801717
20.012783846,1054659779,22253944324,183011487
21.013409223,1035450111,22139747095,240265899
22.014032231,1129699023,22003622261,197166403
23.01467078,979613842,20697097645,132240597
24.015312372,985848304,20473622456,189611119
25.015952126,1222053664,20594783559,124542575
26.016588007,1143596000,21705120407,58758015
27.017203775,614493861,21084895577,38862531
28.017807995,362484407,18679521337,22431558
29.018439702,399794875,18449798336,22557004
30.019068929,321684912,17312504026,40282282
31.01965041,306130475,8529533630,56908805
32.020256696,628255203,11832011015,56112861
33.020856052,1251687680,21199422390,86024439
34.021461019,978560678,22237059209,236387479
35.022066461,1045260932,21681715191,184871956
36.02269369,1134292800,21962612543,186040209
37.023338622,929733110,21425593618,144248359
38.023976143,976319014,20592195803,182189934
39.024624199,1378059973,20777568548,92039280
40.025261152,980047866,21235199034,47852993
41.025934256,561659889,21129116810,36279845
42.026559596,360845692,18361349419,21361145
43.02719,397055168,18513735494,29359915
44.031610081,370934398,16616663677,50557197
45.032155499,598916020,11963367467,81630447
46.032720617,1028604206,20808176845,131248752
47.033337192,1144739523,22024502893,143492022
48.03397914,1132378700,22230251430,197201476
49.034642352,987607721,21703746782,159864628
50.03533527,1005242717,20639134897,179648664
51.035964287,1038869606,19054866667,122050526
52.036601512,897918571,19522981643,106927527
53.037217582,858863434,20073793507,52253487
54.037907011,467523545,17961397639,27806410
55.038493639,361189955,16357101924,24904330
56.038964291,315699246,12197258541,37699507
57.039565848,597331073,12760199583,66191251
58.040169457,1014539226,20356708524,126358341
59.040865939,1061558217,20472830751,161755124
60.041496964,1085807027,21376767632,161725513
61.042142141,953955908,21347673967,166805650
62.042778352,940238615,19546998366,168148050
63.043420817,1184004025,20643227697,87052232
64.044057374,732944773,19057339613,75451578
65.044680888,573018338,18127931075,38890228
66.045263266,349043300,15945698051,27429647
67.045885461,391618836,15965727676,39260921
68.046347435,358149250,9979064392,49378478
69.046933985,755652291,15300075359,101841711
70.047531032,1132807849,20875157352,114359392
71.048157478,981834684,21189200481,176106096
72.048849498,1106558400,21937145275,207576495
73.049503393,924414889,19107732499,125632697
74.050154797,884725152,19665187052,138277654
75.050788867,1041215783,19616308903,91728682
76.051432596,770407580,19260241965,53874566
77.052042932,442885733,17833328775,42651205
78.052635555,363105416,13989103894,38210841
79.053139011,475105542,13950548694,47380829
80.053560705,498907531,10765911938,95557072
81.054114662,597776901,12913811694,113670523
82.054566081,432758089,8898982937,75323159
83.054994431,411778427,9255795660,73202215
84.055430331,332187660,8740787425,69674585
85.055859293,165022296,6967361480,68674708
86.056255458,147882948,5144066552,52973186
87.056814848,50036553,1380099902,17470528
88.057221396,182100980,4828826336,63545503
89.057717342,10260754,156840557,7587859
89.473504356,7358042,97109276,863142
