time,cycles,stalled-cycles-frontend
1.000214963,4059669,3576208
2.000480836,27493551,19774738
3.000827873,4180670,3702377
4.001178077,2939373,2472398
5.00143055,95541292,66998676
6.001671154,4233752,3745981
7.001959774,3546220,3160313
8.002196444,3599067,3193298
9.002436311,3676943,3285378
10.002675586,4002055,3554864
11.002913784,3939936,3540296
12.003220605,63631420,37391265
13.003510468,4188306667,2118566651
14.003786474,5772475567,2875161365
15.00404182,5430132795,3215819107
16.004321742,3060252090,1776475756
17.004761107,99868765,59317692
18.005226048,13128509752,9272766269
19.005652214,21527214220,15428362443
20.006099912,22067678861,16128366444
21.00657826,21890118470,16005788549
22.007026,22172378559,16087589247
23.007528731,20111538978,14160263213
24.00799601,21016629066,15162003266
25.00845328,20577384858,14951313811
26.008916038,20929523580,14177448829
27.009376932,20825510448,12999486527
28.009835934,18349963756,9835381314
29.010239996,18509146556,10377697688
30.010602333,15804925307,7850452101
31.011005108,12042341800,7280633965
32.011447936,20911422569,14942228435
33.011900268,21960345060,15867240998
34.012359736,22280708760,16166520211
35.012827518,21735967877,15710265404
36.013329985,21736390923,15644015779
37.013745014,20446175153,14618363941
38.014217365,21175040960,15040712425
39.014670254,21091695861,14495798541
40.015144706,20685092525,13122205271
41.015612717,19954486309,11862753297
42.016072769,18072186107,9669182238
43.016480829,15368020715,8039294292
44.016888222,13263664749,7388089645
45.01734494,20331943348,14437758976
46.017811558,22060163333,15945805347
47.01828382,22264472140,16139034851
48.018777802,21837216402,15820551436
49.019256315,21308867746,15247654456
50.01973789,19146144004,13370620278
51.020227363,19406432393,13134307223
52.020696775,20241882048,13237160871
53.021165798,18090671591,10114883967
54.021652102,16030669286,8030198316
55.022016785,11432643610,4180993602
56.022393475,11806076793,6843184571
57.022866122,20285196617,14313078182
58.023314822,21336786747,15312071872
59.023775816,21197033796,15049723194
60.024240711,21190224121,15202572628
61.024723031,19436175450,13722707863
62.025190037,20661933744,14367922449
63.02566235,19702284114,12729205262
64.026125187,17947447414,10358484436
65.028679085,15861925869,8642889897
66.029046564,14292844642,7140220136
67.029466439,10987528761,5434257123
68.029921579,17686529588,11725945713
69.030369834,19281638992,13623563990
70.030832359,19623336286,13758617605
71.032608741,20939170338,14973258527
72.033052121,21838112474,15836444556
73.033514728,20432230351,13933339974
74.033979704,18586746000,11689322416
75.034452302,18151533758,10844876150
76.034940546,17881774599,10301385725
77.035387558,13586764620,6650956371
78.035834062,15479519752,8545837807
79.036271951,16661169074,10239661869
80.036627358,11673031979,7586919441
81.037044632,8581717571,4879080056
82.037457231,9497606492,4805102933
83.037863219,7307452360,2731652253
84.03828842,6475603142,2238422722
85.038722054,2297509455,905566181
86.039043106,4210954136,2309620016
87.039442345,660824774,357075177
88.039716633,88552126,57790515
88.093920378,465515,566353
