time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000293805,267980,257727,2454128,1313656
2.000636043,271120,260093,2723875,1439403
3.001060326,285337,333915,3263990,1514030
4.001520151,261800,256919,1776339,1118523
5.001849734,264081,260332,2402325,1278459
6.002162508,285341,262915,2851655,1447293
7.002475588,266053,256756,2424059,1293338
8.00278661,279317,259906,2472034,1332250
9.00310665,275829,263114,2476457,1245060
10.003410895,284624,258544,2457561,1307925
11.003715244,294220,262955,2736714,1445262
12.004192895,273050,262945,2529176,1194529
13.004554516,142497320,1376236641,1514074455,224912686
14.004921426,52635238,5524311028,6451481712,123111954
15.005271607,52251622,6508993119,6423586963,132732428
16.005668619,38594545,4688963940,4950980218,113817042
17.006167642,6940379,1513225459,1445135886,20189468
18.006701137,6026831,127327550,138514398,11431088
19.007409089,316465555,11253640602,16160925587,782656919
20.008112755,107485069,13322485936,21625574216,299273254
21.008826267,236800449,15660300644,21658469540,602793579
22.009540457,170657131,14811227292,21537159275,431200544
23.01028581,156992696,15070961875,21628697813,366744248
24.011020918,298513917,13850123207,20046189325,635566124
25.011787173,138751642,13406894728,20032279528,545306127
26.012527522,58023649,12385573802,20933142904,203466352
27.013271742,118475171,19274859097,20281250420,413925376
28.014003558,84283656,24458078584,19973253186,410161760
29.014701147,100246763,26189286574,17469234776,437592948
30.015387377,154565470,25010446001,18338170943,570340645
31.016060266,206296298,22285126234,14880037857,599328361
32.016686082,321184447,12263611370,15231912947,681331169
33.01737145,224932973,15114916306,21060093485,589723720
34.01809233,209182222,14295815984,21577984577,542071138
35.018807882,162567031,15123465097,21763332114,416965632
36.019542584,218272144,14759402554,21228125115,518587304
37.020255122,166174449,13844780679,20799710812,561495793
38.021043367,120215002,13145104702,20521048416,381126756
39.021811378,105887387,15839326431,20858485496,369736853
40.02256289,105169239,19275061269,20618104624,442538767
41.023291873,83057659,23397368610,19662568519,390744545
42.024009929,127290410,24743581393,19047650341,483731766
43.024741058,152815213,25866541091,17672730389,576747269
44.025261871,215507833,20053431648,10696908764,525994809
45.0259478,302195231,14163253339,16342921502,702984176
46.026605799,260408612,14385290980,21406252941,627958167
47.027345839,172844737,14924011078,21622030110,469623332
48.028074714,134954078,15229121293,21860416424,377447003
49.028803192,233757907,14643112987,21396829740,549640151
50.029551463,200462295,13801034929,19808907212,528811393
51.0302808,113036883,12836443524,18706331027,371353744
52.031054884,112742548,15684433988,19639763532,393892140
53.031806585,74675998,20995028622,18714971033,334113690
54.032530874,104552440,23610813970,16583488273,384499645
55.033165159,132468201,25796604073,15268745633,490846123
56.033796082,192809237,16915942258,11352404530,497140826
57.03432989,244873228,12473612483,11685328798,513057330
58.035036145,206476609,14174754607,18723697242,526179127
59.035741895,222922980,14512841852,21310058695,564319039
60.036491297,151052732,14577141132,20934624643,426799332
61.037231413,157687604,14297211790,20023839318,447121477
62.037992986,144792138,13514622720,20134707069,419467425
63.038751486,96356859,15845934609,18520973973,398741875
64.03950744,72795968,18913927407,18731134893,340204860
65.040250724,107716211,22114503112,18016894106,422366740
66.041032055,92875764,23156404825,15788954035,386843587
67.041600524,157718501,18184620313,11457012824,419674884
68.042135739,218273221,13932717359,10982154814,516080224
69.042802116,205746099,13801773635,15263732646,531602890
70.043507686,203892544,14400996468,20096671605,485683035
71.044225568,217481530,14612957242,20961601270,565043179
72.044958748,144468091,14017168799,20127158171,433993485
73.045849266,120003779,14379986700,20168421733,372955321
74.046623763,159550913,14924963251,19280262110,492122959
75.047417446,138038288,17033018577,18815053771,399191628
76.048153562,83010608,21024248671,18297797869,377818874
77.048822624,144974730,21173944900,17751247932,493769185
78.049508434,97214479,20961947469,12920046290,340075784
79.050169542,204421868,19291879907,12510199351,500371964
80.050732392,229142715,16913383875,15312807673,560001617
81.051285205,133032382,11814121351,13090678659,293145048
82.05182866,69691409,8084018978,9052370822,191552228
83.052333107,70949515,10093535603,9649289380,207421188
84.052896461,41196445,13366614077,8279474421,156849771
85.053414228,47791467,13834991284,5960078108,176454024
86.053902959,83772499,7985856862,3928157229,197352481
87.05437492,62660207,3930260982,4132014582,139975997
88.054991942,50522969,1593237745,1469279562,97610285
89.055390253,7618996,116623502,145911812,18538194
89.175809754,123069,379571,1845434,572548
