time,L2 Read Hits,L2 Reads,instructions
1.000284762,177045,433745,18454463
2.00059791,10597,36458,720940
3.000961347,9881,33709,648404
4.001352594,145942,332126,17856252
5.001690415,460014,1046716,68505917
6.001982555,8762,32513,612181
7.002285723,7185,31498,570553
8.002580323,6125,27278,501236
9.002877718,6693,28316,504912
10.003174589,6318,28406,526787
11.003482198,7542,28704,505539
12.003861829,506721,1282012,73152384
13.004295025,45332471,70838520,4613480222
14.004625486,73912001,118028450,6549904196
15.004932458,39142420,70986001,4979411929
16.005459222,27382284,43257840,2791003883
17.005909112,417398,1037994,86118130
18.006518267,90449697,157000771,9159119928
19.007119274,229449534,359957204,13793825563
20.008092609,217183249,378647159,15300553146
21.008720134,174943364,311518610,15204234063
22.009356825,231986821,372352327,15358970624
23.009987748,117816075,229649601,14082017251
24.010624569,93562885,206096165,13714572374
25.011238496,168641326,329461329,12094135670
26.011877123,183973030,294830157,18290511499
27.012500945,151008268,230297536,23565498659
28.013184238,112748941,147946167,24260275974
29.01378366,123906157,170358912,22769629954
30.014398854,84456471,112733181,26610516347
31.014809335,73575167,127388766,11276246653
32.015378554,173310787,282846010,12310718354
33.015975872,200418439,333308950,14453870834
34.016582718,221619907,374221028,15215406596
35.017195362,192008272,334951651,15236681651
36.017819384,160393495,282686311,14708575534
37.0184576,137392521,258361373,14103845179
38.019106367,140088742,262752264,14594412536
39.019744313,169041819,298020292,16414577693
40.020371888,153913204,241809826,20752563004
41.020995548,143072506,212334205,23727067230
42.021639824,94147138,134436581,26669943398
43.022217694,80835202,121127585,22821738919
44.022726771,60733609,99884254,16814500822
45.023306888,132786126,223219805,12088081887
46.023911259,221156643,351651758,14026309919
47.024533139,201234955,351752007,15242148805
48.025170202,199368361,348147203,15147606379
49.02576831,185205760,308460195,14599064920
50.02641483,116094576,225230984,13673917831
51.027069776,122664782,246164198,12399236658
52.030676408,190371695,319141897,16213843680
53.031348342,140141127,218700927,23184374704
54.031902403,83157547,122630191,24856828854
55.032512667,73620347,101217969,22106980172
56.032948628,69811578,109667265,19474706124
57.033407341,73185820,129151375,8209558245
58.034006572,243663050,379545388,14191515567
59.034625457,163860502,300427204,14845605085
60.035224625,243161942,393408915,15416040247
61.035838504,150822734,267966646,14210858725
62.036482783,96795630,206070495,13333905817
63.037077921,172214502,313757020,12639250437
64.037721549,161227468,268101571,18866755746
65.038347717,108460593,166065804,24761039912
66.038961314,90526183,127602551,25828407342
67.039539154,76559236,115138749,25439872475
68.040000116,65845002,116043921,11668940858
69.040602507,207423431,329569407,13121776285
70.041219111,187566049,325508067,15069490060
71.041831511,199687973,335958001,14816223600
72.042462477,158788829,287677155,14772571474
73.043079927,137522731,256868174,13388370445
74.043729527,151388165,273304481,14220447177
75.044370594,146656467,248440079,18059090398
76.044989233,135996732,208719296,22228049946
77.04554495,97987140,139313160,24050471837
78.046057503,85150183,124897556,21620978263
79.046561522,64193475,105354593,15421508653
80.047098491,156078575,253215526,13444318471
81.04756363,132857204,213260701,10929084879
82.048017047,49558184,102436687,7953275402
83.04845967,114871337,169225242,9889022556
84.0488997,45347094,71699431,15089844605
85.049342385,21009172,33488677,13819451400
86.049933332,15618610,27536878,5444351022
87.050396823,19019288,40299453,2802874080
88.050934634,31951315,54182326,2578743003
88.937402446,633985,1275690,59565604
