time,L2 RFOs,L2 RFO Misses,instructions
1.000273894,179446,110188,17799550
2.000605047,10455,4492,572731
3.000933223,11128,4916,652433
4.001368723,159684,96024,17791670
5.00168834,291735,127447,44787739
6.002007263,191421,57450,24231389
7.002312423,13066,5531,610065
8.002618122,5671,3965,494335
9.002926001,5767,3764,489968
10.003244928,5998,4276,492789
11.003574952,5690,4153,493452
12.003910197,5632,4009,484683
13.00422314,22480584,4428213,1886427134
14.004625714,71655990,9156162,6395411531
15.004973675,40105170,10818854,4658843959
16.005329179,33785823,6233512,4255180115
17.005706962,25578056,2068184,1453093377
18.006262811,22135041,6879466,2409584936
19.006839936,225146602,39900140,13833817066
20.007450899,186553272,30797338,14625146570
21.008054998,102886928,27407569,15613360788
22.008660144,152710642,31348324,14664305907
23.00928731,165665774,30790829,14451951593
24.009924565,124757586,31385588,14095392035
25.010565043,143075953,56728766,12589549642
26.011207593,238791628,55774739,13118465996
27.011842943,120951099,35115574,21454341494
28.012458231,60476331,18861612,25783413370
29.01307677,57236921,15584978,26573578233
30.013692825,63551930,17030722,25534385692
31.014244388,83493439,21073744,19734530067
32.014802885,186653169,25499383,12790320594
33.015420807,147411786,31335701,14887351472
34.016038507,179984287,30756516,15085063601
35.016655634,155624362,32644877,14536165135
36.01726519,142878817,29674871,15049525413
37.017891204,152763313,44051750,14054171773
38.018531976,188189070,50808750,13636377576
39.019199029,146144197,34693741,18126945878
40.019833357,88900298,21547201,22694702709
41.020487495,52582071,15401908,22687553760
42.021090227,48096147,14382648,25513766357
43.02157204,52426725,13981500,15480405581
44.022136572,120378988,25317970,7576363736
45.022764382,170451431,30808549,14604200546
46.023396883,152633373,30710295,15272739436
47.024030104,154880367,31020201,14567684457
48.024681893,147335295,37377847,14368389178
49.025323349,164380384,39313076,12944170673
50.02597964,168947457,36013016,15128249718
51.026620724,107546889,30012971,21038179130
52.027217954,73401879,17997351,23231505341
53.027843223,58648637,15665956,22409672391
54.028412171,53501382,14281914,22157436497
55.029009414,94009531,16113742,13481915408
56.02959811,177381017,25595988,13129696457
57.030236808,139519215,29514984,14397914347
58.030870407,165871245,32422922,15040037322
59.03152133,155530307,33687354,14641060482
60.032165333,149282217,36300812,14858896370
61.032803295,171940964,37611049,14835882795
62.033455239,117352021,29877231,18222109770
63.034112498,104773181,24680112,20597370114
64.034737581,65658135,18122336,23906440215
65.035393921,49496839,14656334,24661866746
66.035993012,97046510,19690368,17187379282
67.03658462,163919164,27638734,14455161166
68.037205953,139641185,30608962,14233780102
69.037829341,169218702,32988341,15004626869
70.038501433,147680350,34916497,14631331364
71.039136237,162956233,42630787,14408557458
72.039745292,167920126,45133510,14727652005
73.040366517,109933532,30589208,19163687505
74.041003442,114148301,27798048,20997956827
75.041617415,69802922,20465448,23570560916
76.042196573,50259883,14253464,20611517928
77.042698075,135032933,22041028,18945977301
78.043281138,119109205,26691111,16195080322
79.04375865,138542106,25248882,13656796556
80.044340708,124177662,28168944,11761691487
81.044819265,134052320,26785351,10786131071
82.04529822,109242806,18426712,16706451388
83.045869534,35550872,9571233,16094255935
84.046425236,32562328,9883004,20337697604
85.046843898,23916811,5861344,8450322213
86.047199666,29570980,6943672,4419708472
87.047635307,971002,149298,34702357
88.048057706,1066274,158236,46522983
88.222543371,4357,1278,68907
