time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000272478,99801,44761,649925
2.000584055,875693,323371,17922889
3.000912324,95120,44172,654643
4.00136919,692138,260621,44905300
5.001691343,850182,230662,24690746
6.001986679,91762,40984,690680
7.002304553,88967,41317,489441
8.002603869,89216,41228,498336
9.002897372,86775,40015,488509
10.00318791,88957,41205,493914
11.003485123,88198,39857,506018
12.003940971,85893,38869,490545
13.004336716,26501520,7650061,1683445539
14.004693396,58385703,16798487,6112147744
15.005023255,54978961,18368805,4876885852
16.0054166,68506736,19819399,5770365753
17.005862964,2531182,913137,189170880
18.006438555,39786619,12209431,2131681401
19.007034877,273774189,77618997,13790535879
20.0076261,236062474,65905259,14493707565
21.008225856,170515618,56679147,15620764933
22.008862965,220926359,65293592,14793135663
23.009489019,241807247,69281169,14701303158
24.010120161,245017724,81170644,14035047222
25.010750536,257578162,89707368,12951140732
26.011372616,289356977,82375571,12738687401
27.012004621,305710827,69684441,21358786153
28.012535101,232411160,37930808,23843031116
29.013156251,226023273,26615111,25052586175
30.013733691,252580029,40485294,25411351917
31.01433648,215950619,42819482,22321623636
32.014910269,185296283,51426762,11230970836
33.015530515,220874509,69539988,15392349159
34.016143514,239733694,70446673,14779695793
35.016797682,225464047,65948465,14941611076
36.017432093,235379401,74568245,15082520173
37.018074806,254232939,80983862,14242274576
38.018719936,263805445,85639233,13237825922
39.0193496,268166229,76784323,15913844739
40.019986719,279347440,67140765,19395624369
41.020643209,239991258,44614936,23960709435
42.02131909,248814848,41521006,25582721174
43.021940554,214870928,34398972,26157186030
44.022508031,105528049,27321262,19320602594
45.023092241,190877062,52987257,11849322881
46.023669444,234311889,72024478,15228316003
47.024286967,232888322,68192270,14810961801
48.024881294,235279576,66102162,15181068837
49.025497004,236207372,75650573,15176803047
50.026121187,234656505,73142063,13320256915
51.026776669,240797212,75037068,13816432111
52.027451037,244296753,71909269,17159910267
53.028090925,234942009,49642368,20332310752
54.02872741,197841749,32559789,24024766891
55.029257193,168328512,35821149,24495398859
56.029873515,143328956,35554325,20684839605
57.030462303,158596860,48396680,13812970647
58.031077728,225166627,67284285,14035908476
59.031703388,228524487,68774595,15115628814
60.032327597,229219636,72440670,14893296169
61.032979062,248279818,76049086,13910427903
62.033655241,254150540,75109558,15490771664
63.034233141,235371441,66811358,16885948825
64.034858667,276826315,55986879,18514738612
65.035401793,218778428,42515694,23278243674
66.03605445,114341324,23829880,24990980642
67.036679096,94824677,25789343,17946319807
68.037268114,195767441,56805768,14900093112
69.03786056,213150272,65886163,15174073369
70.038467953,224987912,67097812,15161963277
71.039140923,259611620,76826153,14676311868
72.039800649,224133858,71627357,14034728171
73.040483908,256931422,82636713,12859813316
74.041121385,264156097,69577787,16674424475
75.041765807,212945199,49721899,21359686257
76.042410994,229949581,41116757,22439861398
77.043040613,186841217,31571883,24739278459
78.04359849,86143705,22918917,17688203053
79.044064107,145925219,41527313,13354306443
80.044612878,134772021,43426621,12428143593
81.045181567,106273086,34029430,8755561391
82.045753932,101338869,34501889,7186570766
83.046292521,112736251,24840133,13588145911
84.046827791,45771579,8313136,13991413601
85.047320203,52729064,13977217,13286855076
86.047704996,19384928,6633193,1535959970
87.048234279,41383933,14366857,3904313792
88.048690983,920143,353864,28287252
89.049074576,1461688,531167,54198491
89.247205117,28075,13345,131917
