time,Total Resource Stalls,cycles,RS Resource Stalls
1.000371701,213656,2550503,119809
2.000708272,291072,2848760,150149
3.000980138,505090,3717294,214479
4.001391306,312131,3215646,150222
5.001736805,145203,2212836,87634
6.002137579,189975,2227173,112145
7.002446661,305584,2879088,158861
8.002763159,305628,2997601,172148
9.003038798,361431,3233074,203595
10.003356705,295644,2829009,161387
11.003636552,369954,3358489,175893
12.003926327,391718,3302519,188319
13.004355515,295726,2978928,133777
14.00479995,266532,2886293,128180
15.005240827,141429,2268395,95979
16.005726595,264892768,1615427442,127683393
17.006069316,977558665,5669031130,529964203
18.006391451,859887819,4393199909,489235500
19.006753123,1018229964,5497836083,523694869
20.007266142,92313073,454864284,49401924
21.007893243,83862558,480794975,48624433
22.008507536,2468436261,16458035552,927943984
23.009247605,5944937914,28213332937,2110654754
24.009930122,7812730996,29431992804,2788236981
25.010477479,7282438022,29542752275,2478554605
26.011182413,3712380903,20829082248,1599413534
27.011947231,3061451705,17960920346,1331752284
28.012614197,3450506260,19873914712,1347029258
29.013285648,1854617946,19403327304,835494799
30.013935244,1594737463,21401177916,879743552
31.014504469,1323847221,19324953545,791127419
32.015171841,1309962298,20223280278,710207056
33.015804158,1141580266,19291098063,717070677
34.016341739,903750397,18484664153,507714969
35.016873643,1154058176,19317971357,665910174
36.017431332,1093158245,19143708487,698162761
37.018060416,1126173976,18458792147,737396404
38.01878229,1484186428,19246478105,847798991
39.019429241,1266339503,11329569152,682321762
40.020133781,4351906201,23547083071,1681698235
41.020875007,6577782759,26642751243,2381051935
42.021562983,5941587148,27257513182,2051009353
43.022252747,5104586226,24967039891,1978965417
44.022938034,4497538849,23365393876,1770965190
45.023645665,4108474749,25432636402,1610754279
46.024302855,1803380819,18431724225,994940460
47.024946288,1628803168,19107514005,936298494
48.025589999,1272349370,17402304121,849052227
49.026244296,1190815069,15145988282,732043207
50.026901841,1191434711,14772114448,808534299
51.027458205,1237219866,16485714528,798684451
52.028100861,1059610114,16604623246,665337738
53.028743294,986111145,15155323369,633081095
54.029372408,1401584195,14749788972,883672897
55.029976144,1905323465,12319041290,971499243
56.030638362,4525559950,23469290790,1765207107
57.031368156,5993520342,25816256559,2262896652
58.032113782,5392543695,24106896297,1988154317
59.032793559,3333845606,18271854498,1409917997
60.033511448,2991402594,18180747858,1375534198
61.034165749,2361665399,19251757650,1067509687
62.034851232,1831116085,19165619199,968859778
63.035427252,1163300248,17850692628,642794786
64.036081688,1194117538,16491121460,756522900
65.036760967,980561565,17143076773,580968945
66.03737372,1119783459,16609142021,705683403
67.038011703,1146507258,15858791359,767352019
68.038642757,1124013291,15725524360,729446108
69.039302213,993762245,11860082970,635030749
70.039826863,1621307946,13948527961,820043697
71.040432391,2635370305,13279781223,1277862797
72.041101635,3942840928,20144723214,1682019415
73.041836328,4518101168,21661930683,1821613716
74.042474894,3083843785,15625878693,1290731573
75.043145474,3133321294,17436691596,1329794663
76.043735489,2858577659,19156588025,1328499707
77.044276193,1624223913,15272226434,942305199
78.0448999,1280905746,14230148921,802063995
79.045477089,1151388202,14296211491,732919634
80.046056166,1055777098,12765911005,720763638
81.046695794,1059204647,13056783452,718310231
82.047281003,1089406457,13477735419,743603273
83.047817773,1025631484,11550263517,715963881
84.048412411,871626868,8824598575,576142896
85.049024596,1625121054,9677148595,844333399
86.049657245,2724246919,15465314026,1159641881
87.050227325,3801027934,18231200645,1611081118
88.0509174,4019579475,18548954776,1697512958
89.051598445,1580011206,9327595823,786292516
90.052167774,2206387557,14120805243,1082408794
91.052765635,1269550760,11832570184,736778597
92.053325417,875876377,10622906099,578898492
93.053882818,725017724,9386728116,497883226
94.054430692,826704172,10133512426,532476203
95.054999485,731776669,9915573154,500667436
96.055550673,700995916,9497704993,497170036
97.056102521,739214853,9453293104,509137464
98.05660408,682179923,7554907441,439831542
99.057389921,1343323338,7685020232,702548437
100.058058358,2286108039,11667072395,1177871167
101.058617572,3153306195,16130501267,1405717506
102.059276381,3148327356,17099187560,1445404723
103.059918339,1837871700,12619285438,980496196
104.06047385,1446549025,11964366218,762919481
105.061018969,985304980,10892745288,586121671
106.06160169,829274879,9926240241,522923516
107.062170497,759807361,9757771439,499402376
108.062828613,752150755,9688833359,503050067
109.063448101,730930620,9539094374,502514617
110.06396995,726152603,8755105977,475325067
111.064587753,559865293,6366195890,350488695
112.065309558,1399623120,8951679949,734249324
113.065955429,2518411992,12267050679,1203548136
114.066518047,3201420209,17020567631,1418064712
115.067200803,3124457056,16748512386,1391553051
116.067775405,1525200830,10376217241,784492554
117.068345011,1629657190,12583284547,862535239
118.068895388,1139701235,11383969226,666115056
119.069456368,836389273,10121679653,538435873
120.070062754,779320834,9606324198,522145968
121.070624404,764493717,9528546929,524301176
122.071185878,771999285,9831149403,528226953
123.071705721,819867818,8905042879,535742435
124.072307168,534521294,5709876993,345977446
125.072912096,1391055073,9168406488,732576543
126.073619442,4804550304,22298921759,1923999427
127.077705613,4182890829,19720458495,1743902173
128.078335585,4927534891,23998903791,1897049730
129.078991595,5187444165,24738890724,1977999688
130.079641714,5743485395,26396653899,2123634296
131.080293743,4873581064,23046330000,1939158397
132.081009996,4199972403,20903264917,1691405340
133.081648298,3561082777,16990672181,1429034247
134.082259435,4790616393,22357571213,1913308031
135.082975521,3952112966,19307853568,1584078080
136.083717745,3328251771,17748872527,1343868225
137.084388581,4068830977,20046446552,1610396842
138.084998102,5162134128,23276291658,2034393549
139.08553159,3963410879,20466539541,1702077316
140.086143164,4407794576,20620735146,1851523641
141.086865739,3357235015,17029387800,1312827135
142.087653795,3117649930,17231867906,1220992423
143.088290735,4471239105,22141854953,1670576816
144.088928114,6086654408,26524133517,2231274283
145.08951132,4733363672,21965846436,1947210864
146.09014274,3820528344,19721551976,1652433877
147.090798603,3921668124,20100652581,1593246554
148.091442342,4924746857,22287412491,1878346136
149.092118038,4856635543,23022513163,1839519558
150.092826039,5288890395,25850685285,2019151234
151.093546717,5047466660,23954073549,1976889779
152.094162002,4482671595,21791945844,1829798265
153.094837643,4188394532,20849601044,1776438167
154.095303644,3373197864,16258622543,1394704736
155.095895889,3501050921,17495131086,1594406596
156.096386635,1986508407,9930724799,941905030
157.096823601,1075625870,5347737870,554627414
158.097375662,293142369,956368802,138938033
159.097882039,24999799,144446638,13397658
160.098378991,247614,3347467,165500
161.098751001,265386,3318697,152811
162.099204709,3139830,25317437,1422065
163.099604057,188179,3040087,125933
164.100038381,23691602,108512556,10742146
165.100614661,257995294,1610489664,123885240
166.101044193,836156296,4761921669,456992634
167.101371271,896356096,4727520938,503713539
168.101709627,895933156,5166432338,487137839
169.102235945,251305951,1461182804,140913098
170.102759483,9050592,43256984,5349591
171.103176551,306839517,1994411148,159943051
172.103539132,1181572782,6832982848,580215241
173.103950569,1033445481,5328659591,477956112
174.104470513,704313148,3547062300,321586452
175.105003211,6736572,26219535,2381194
