time,Total Resource Stalls,cycles,RS Resource Stalls
1.000261621,194171,2688410,141352
2.000564403,349194,3402158,202554
3.000860407,342183,3377799,206258
4.001258164,230650,2651770,161964
5.001693198,109442,2197227,84340
6.002163475,183828,2567008,118245
7.002479652,318861,3147881,183951
8.002763505,304276,2983375,178258
9.003035447,311861,2965168,176521
10.003316353,289525,3018786,166104
11.003734067,163245,2441648,122957
12.004106186,166927,2551214,125160
13.004388584,320842,3036032,197321
14.004770394,267113,3018570,174005
15.005050611,229264,2837577,151845
16.005338086,295985,3005873,190353
17.005808379,184331739,1028298722,85635781
18.006236483,913106019,5211125195,489260259
19.006553466,703770702,3609529399,393655215
20.006861706,894197609,4851486544,482678732
21.007388576,487753638,2794277097,263818312
22.007940123,16148777,82642890,10080495
23.008785088,2017382905,13101982163,781199860
24.009544366,3368636877,19599138722,1187489693
25.010199835,7539640156,27622163369,2673823730
26.010877371,8059678818,30389341328,2836810927
27.011561445,3870241817,22983445065,1546032085
28.01230427,3963269895,20296556931,1621513374
29.013149891,3486153246,19361115464,1560204055
30.013790953,3310382301,23761136622,1262928463
31.01439979,1728660474,21918674590,660571671
32.015037018,872860574,17763545410,358794337
33.015566081,1063668463,20708685432,400621224
34.016193643,977065736,18103556466,376271776
35.016760777,4364556759,18708793477,986359014
36.017290753,4947597641,19330160275,1265655764
37.017745745,3815926313,14425185883,1747113932
38.01855964,1440937709,7593565308,676438668
39.019056995,2858598359,13146035117,1371629967
40.019545702,2537571565,13717126820,1195308949
41.020157392,3505810814,17914813653,1571636265
42.020753645,3760698834,21677568858,1555235366
43.021315885,3020401265,17449421107,1166378850
44.021862404,2856955414,14882197464,1115323282
45.022308869,2698709957,11250356664,1163415038
46.022721488,1675843199,6833823540,806097722
47.023156297,2027409725,10485229473,1077237575
48.023600443,1545830065,10412602534,844175653
49.024056639,422845857,4863211064,260283671
50.024585735,580768153,6757600382,360331838
51.025028335,508820248,6043588195,338324508
52.025457619,513192651,6670848932,338628846
53.025857596,483714771,5121316336,289998500
54.026383061,245940690,1924501916,130325309
55.026871649,15221591,83032251,6359364
56.027383157,12192583,52745071,5434828
57.027871558,291636,3449147,177582
58.028337279,3178383,25458021,1435473
59.02873771,197362,3170491,133184
60.029178707,15966996,73064578,8066757
61.029839652,137048696,672741826,52961248
62.030282318,469383940,3181186321,224107780
63.030614389,1601939067,7930859440,702173048
64.030953232,954381553,4917414722,483262325
65.031491415,589007935,3433546226,339467574
66.032044293,74867315,382351452,42483446
67.033011934,434717237,2828960580,183589043
68.033907012,1530733023,10984525005,564238400
69.037460827,1806534266,11958200721,684927919
70.038276163,6700624759,26821911223,2376932379
71.038976605,7942240989,30019417457,2830880221
72.039645574,5688345759,27167359198,2047347380
73.040355486,4370140645,22592820618,1775695036
74.041151455,3385959429,20312180269,1537955569
75.041823762,3990048300,24996763625,1541947119
76.042460234,1873974908,22928032444,670446176
77.043012892,1062833227,20070502844,417849577
78.043586143,935982339,19445936986,375711943
79.044116138,1026758053,20659937121,386758750
80.044763376,1326197873,19383618286,579118488
81.045397939,2688745306,19100521257,1254513814
82.046020571,3597966925,18522575779,1655680532
83.046452325,3018240440,14357083436,1570197708
84.047039291,2643937488,14639333042,1168912251
